"gene","logFC","FDR","add_variable","start","end","width","strand","data_name"
"predicted RNA",4.05960721330496,0,"PS04M145",NA,NA,NA,NA,"szafran2019"
"predicted RNA",4.0493499163827,0,"PS04M145",NA,NA,NA,NA,"szafran2019"
"predicted RNA",-4.34813797421021,0,"PS04M145",NA,NA,NA,NA,"szafran2019"
"predicted RNA",-4.79627142292859,0,"PS04M145",NA,NA,NA,NA,"szafran2019"
"predicted RNA",3.81075750627844,0,"PS04M145",NA,NA,NA,NA,"szafran2019"
"predicted RNA",4.4594316186373,0,"PS04M145",NA,NA,NA,NA,"szafran2019"
"predicted RNA",5.41953889151378,0,"PS04M145",NA,NA,NA,NA,"szafran2019"
"predicted RNA",4.467605550083,0,"PS04M145",NA,NA,NA,NA,"szafran2019"
"predicted RNA",3.72861825145269,0,"PS04M145",NA,NA,NA,NA,"szafran2019"
"predicted RNA",4.0400954055778,0,"PS04M145",NA,NA,NA,NA,"szafran2019"
"predicted RNA",-6.14159627838382,0,"PS04M145",NA,NA,NA,NA,"szafran2019"
"predicted RNA",-6.96413454744299,0,"PS04M145",NA,NA,NA,NA,"szafran2019"
"predicted RNA",3.94470914486144,0,"PS04M145",NA,NA,NA,NA,"szafran2019"
"predicted RNA",5.70043971814109,0,"PS04M145",NA,NA,NA,NA,"szafran2019"
"predicted RNA",6.13955135239879,0,"PS04M145",NA,NA,NA,NA,"szafran2019"
"predicted RNA",4.579487370655,0,"PS04M145",NA,NA,NA,NA,"szafran2019"
"predicted RNA",4.35049724708413,0,"PS04M145",NA,NA,NA,NA,"szafran2019"
"predicted RNA",5.20945336562895,0,"PS04M145",NA,NA,NA,NA,"szafran2019"
"predicted RNA",6.71424551766612,0,"PS04M145",NA,NA,NA,NA,"szafran2019"
"predicted RNA",4.47248777146274,0,"PS04M145",NA,NA,NA,NA,"szafran2019"
"predicted RNA",4.45758082294936,0,"PS04M145",NA,NA,NA,NA,"szafran2019"
"predicted RNA",3.69743722997957,0,"PS04M145",NA,NA,NA,NA,"szafran2019"
"predicted RNA",5.12377654063842,0,"PS04M145",NA,NA,NA,NA,"szafran2019"
"predicted RNA",4.71708546945108,0,"PS04M145",NA,NA,NA,NA,"szafran2019"
"predicted RNA",4.10619940383193,0,"PS04M145",NA,NA,NA,NA,"szafran2019"
"predicted RNA",5.97727992349992,0,"PS04M145",NA,NA,NA,NA,"szafran2019"
"predicted RNA",4.59778654107874,0,"PS04M145",NA,NA,NA,NA,"szafran2019"
"predicted RNA",4.2394228556694,0,"PS04M145",NA,NA,NA,NA,"szafran2019"
"predicted RNA",6.48784003382305,0,"PS04M145",NA,NA,NA,NA,"szafran2019"
"predicted RNA",4.05110434094801,0,"PS04M145",NA,NA,NA,NA,"szafran2019"
"predicted RNA",4.0251600738984,0,"PS04M145",NA,NA,NA,NA,"szafran2019"
"predicted RNA",3.65270710735699,0,"PS04M145",NA,NA,NA,NA,"szafran2019"
"predicted RNA",-5.39657680055636,0,"PS04M145",NA,NA,NA,NA,"szafran2019"
"predicted RNA",5.04330075436418,0,"PS04M145",NA,NA,NA,NA,"szafran2019"
"predicted RNA",3.79358093885078,0,"PS04M145",NA,NA,NA,NA,"szafran2019"
"predicted RNA",-4.02065947056609,3.38e-241,"PS04M145",NA,NA,NA,NA,"szafran2019"
"predicted RNA",-3.07445899220044,3.76e-238,"PS04M145",NA,NA,NA,NA,"szafran2019"
"predicted RNA",4.14101230952707,2.08e-231,"PS04M145",NA,NA,NA,NA,"szafran2019"
"predicted RNA",4.66837850890879,9.1e-200,"PS04M145",NA,NA,NA,NA,"szafran2019"
"predicted RNA",-3.16992500144231,6.02e-197,"PS04M145",NA,NA,NA,NA,"szafran2019"
"predicted RNA",-3.9584208962486,5.23e-156,"PS04M145",NA,NA,NA,NA,"szafran2019"
"predicted RNA",2.89114785906277,7.14e-132,"PS04M145",NA,NA,NA,NA,"szafran2019"
"predicted RNA",3.48996598678541,1.67e-119,"PS04M145",NA,NA,NA,NA,"szafran2019"
"predicted RNA",3.58496250072116,4.97e-114,"PS04M145",NA,NA,NA,NA,"szafran2019"
"predicted RNA",3.31034012061215,4.78e-101,"PS04M145",NA,NA,NA,NA,"szafran2019"
"predicted RNA",-4.03747470541866,1.07e-96,"PS04M145",NA,NA,NA,NA,"szafran2019"
"predicted RNA",3.12553088208386,1.03e-95,"PS04M145",NA,NA,NA,NA,"szafran2019"
"predicted RNA",-2.60164124186779,2.86e-95,"PS04M145",NA,NA,NA,NA,"szafran2019"
"predicted RNA",3.68182403997375,5.72e-90,"PS04M145",NA,NA,NA,NA,"szafran2019"
"predicted RNA",-2.95729554904576,2.05e-81,"PS04M145",NA,NA,NA,NA,"szafran2019"
"predicted RNA",2.60011265946836,8.15e-79,"PS04M145",NA,NA,NA,NA,"szafran2019"
"predicted RNA",-3.75132088714328,1.18e-62,"PS04M145",NA,NA,NA,NA,"szafran2019"
"predicted RNA",3.13302541863078,2.39e-60,"PS04M145",NA,NA,NA,NA,"szafran2019"
"predicted RNA",-2.22239242133645,1.18e-59,"PS04M145",NA,NA,NA,NA,"szafran2019"
"predicted RNA",-2.22239242133645,1.18e-59,"PS04M145",NA,NA,NA,NA,"szafran2019"
"predicted RNA",-2.22239242133645,1.18e-59,"PS04M145",NA,NA,NA,NA,"szafran2019"
"predicted RNA",-2.22010060982846,1.43e-59,"PS04M145",NA,NA,NA,NA,"szafran2019"
"predicted RNA",-2.22010060982846,1.43e-59,"PS04M145",NA,NA,NA,NA,"szafran2019"
"predicted RNA",-2.22010060982846,1.43e-59,"PS04M145",NA,NA,NA,NA,"szafran2019"
"predicted RNA",2.56519924589973,1.88e-55,"PS04M145",NA,NA,NA,NA,"szafran2019"
"predicted RNA",3,2.87e-55,"PS04M145",NA,NA,NA,NA,"szafran2019"
"predicted RNA",2.55551872282867,1.1e-53,"PS04M145",NA,NA,NA,NA,"szafran2019"
"predicted RNA",-2.33003314452442,3e-51,"PS04M145",NA,NA,NA,NA,"szafran2019"
"predicted RNA",-2.16046467219325,6.72e-51,"PS04M145",NA,NA,NA,NA,"szafran2019"
