gene	logFC	FDR
SVEN_5979	16,79	2,21759E-89
SVEN_2878	4,48	2,86738E-10
SVEN_2871	4,44	3,6592E-06
SVEN_2879	4,29	0,00014787
SVEN_5978	4,13	1,29338E-18
SVEN_2863	4,08	1,47505E-07
SVEN_2880	4,04	3,17185E-08
SVEN_4522	3,86	0
SVEN_2874	3,7	7,03732E-06
SVEN_5622	3,54	0,0436904
SVEN_2873	3,38	3,10088E-09
SVEN_2118	3,29	0,04101289
SVEN_6743	3,26	0,03595786
SVEN_0747	3,24	0,01917054
EBG00001120583	3,23	0,07268773
SVEN_2867	3,04	7,3436E-07
SVEN_2866	3,01	6,31435E-07
SVEN_2868	2,85	0,00055195
SVEN_5639	2,83	0,1447582
SVEN_1983	2,83	0,1640522
SVEN_2872	2,82	1,25898E-05
SVEN_2097	2,82	0,1488616
SVEN_2474	2,82	0,1577436
SVEN_5793	2,8	0,1466568
SVEN_2865	2,71	1,23781E-08
SVEN_0450	2,6	0,1040205
SVEN_6259	2,59	0,1476585
SVEN_2875	2,58	1,36401E-05
SVEN_1465	2,39	0,01257631
SVEN_1982	2,36	0,09114358
SVEN_6769	2,29	0,2557411
SVEN_2864	2,28	1,75073E-05
SVEN_1814	2,28	0,2965323
SVEN_2862	2,25	1,93416E-06
SVEN_1363	2,25	0,0467627
SVEN_2124	2,24	0,2316389
SVEN_5629	2,23	0,2484278
EBG00001120667	2,23	0,2916528
SVEN_5626	2,23	0,3313257
SVEN_2086	2,23	0,343388
SVEN_6762	2,18	0,1155547
SVEN_2877	2,04	0,01711866
SVEN_1613	1,98	1,76361E-08
SVEN_0489	1,98	0,1827065
EBG00001120666	1,9	0,3367596
SVEN_6375	1,9	0,3405359
SVEN_3978	1,89	0,02097218
SVEN_2991	1,88	1,13898E-08
SVEN_3166	1,87	8,39052E-10
SVEN_7137	1,87	0,3126337
SVEN_6137	1,86	0,1011509
SVEN_6257	1,85	0,09081841
SVEN_6915	1,83	0,3388902
SVEN_2076	1,83	0,3554145
SVEN_6010	1,81	0,1827922
SVEN_2858	1,8	0,000321986
SVEN_6098	1,78	0,005440696
SVEN_2861	1,77	0,1432753
SVEN_5641	1,77	0,2260318
SVEN_7105	1,77	0,3355922
