gene logFC FDR add_variable
vnz_21495 9.57438297657938 2.89762565068109e-12 MMC
vnz_05700 9.54667112530563 3.90010136882035e-15 MMC
vnz_21480 9.49599529261611 1.18680010856999e-13 MMC
vnz_21535 9.40228652670438 1.03139063024462e-15 MMC
vnz_21555 9.37042985200739 3.64086101482725e-16 MMC
vnz_21565 9.31278234230728 2.53175165562784e-16 MMC
vnz_21505 9.20766408366353 7.95275052051682e-16 MMC
vnz_21490 9.20544377119497 4.5102347999594e-15 MMC
vnz_21540 9.15557579568402 4.13303295155945e-16 MMC
vnz_21530 9.11500672671175 1.24231455446694e-15 MMC
vnz_21570 9.08352419083857 2.28095582849248e-15 MMC
vnz_21520 9.07200174411979 4.17511279368977e-17 MMC
vnz_29465 9.06019852709919 2.5559918834199e-13 MMC
vnz_21525 9.04178244282011 7.94187982972223e-17 MMC
vnz_21510 9.01046442499389 8.03761854357193e-15 MMC
vnz_21515 8.8854165363239 4.17511279368977e-17 MMC
vnz_14095 8.82606493539087 2.60651216973187e-15 MMC
vnz_06120 8.55821299846887 2.8661131749639e-12 MMC
vnz_25280 8.44505573875097 5.84155000631589e-10 MMC
vnz_27575 8.40126665196515 5.27417263626741e-13 MMC
vnz_02930 8.26747661556055 8.0176172316617e-11 MMC
vnz_04405 7.78420644141624 1.72185546950544e-11 MMC
vnz_16245 7.70871074823189 1.49146715734644e-09 MMC
vnz_21550 7.57286982093127 3.11952774906189e-14 MMC
vnz_29620 7.51073738154239 1.68581926747872e-10 MMC
vnz_23230 7.50300790038647 3.97587594284034e-12 MMC
vnz_05735 7.44974112397151 8.41531314758533e-11 MMC
vnz_29580 7.38777567313547 3.93864749805962e-12 MMC
vnz_26695 7.35241855535359 5.85151493376632e-12 MMC
vnz_20675 7.31198212617329 8.16405620750728e-09 MMC
vnz_29575 7.31118986111478 5.30409229496192e-10 MMC
vnz_05745 7.27965530907822 5.11769401849922e-11 MMC
vnz_06610 7.20142210041731 1.83355462809275e-10 MMC
vnz_26875 7.15824856642674 5.46895033479283e-11 MMC
vnz_29595 6.91841130250782 1.09732791024011e-09 MMC
vnz_29605 6.86490965092505 1.74231487021563e-09 MMC
vnz_29600 6.64315977943102 1.05137775585733e-10 MMC
vnz_16220 6.45351912209195 1.12812275705984e-10 MMC
