gene	logFC	FDR	add_variable
SCO0644	-2.1	3.0E-03	
SCO1105	2.5	1.5E-05	
SCO1294	2.4	1.1E-02	
SCO1528	2.9	1.9E-02	
SCO1550	-2.2	3.0E-03	
SCO1573	-2.1	2.8E-02	
SCO1611	2.2	2.1E-05	
SCO1612	2.3	2.2E-04	
SCO1613	2.3	1.3E-04	
SCO1700	-2.0	2.5E-02	
SCO1705	2.2	2.8E-02	
SCO1706	2.9	3.0E-03	
SCO1746	3.0	6.0E-05	
SCO2113	-2.9	8.0E-03	
SCO2165	-18.8	1.3E-10	
SCO2166	-39.6	3.9E-17	
SCO2275	2.1	2.1E-02	
SCO2360	-4.0	2.0E-03	
SCO2494	4.0	1.0E-03	
SCO2517	2.4	4.9E-02	
SCO2518	2.5	2.1E-02	
SCO2519	4.7	5.0E-03	
SCO2616	3.0	1.0E-03	
SCO2722	-5.3	5.6E-13	
SCO2723	-6.6	9.3E-20	
SCO2783	-2.1	8.0E-03	
SCO2785	-2.1	8.0E-03	
SCO2967	-2.1	1.0E-02	
SCO2979	2.3	8.0E-03	
SCO2980	2.3	8.0E-03	
SCO3589	-2.2	2.0E-03	
SCO3590	-2.5	9.4E-04	
SCO3592	-3.9	6.0E-03	
SCO3593	-4.2	2.4E-04	
SCO3594	-4.0	2.4E-04	
SCO3595	-4.3	4.5E-05	
SCO3596	-3.6	7.0E-03	
SCO3657	2.9	1.5E-05	
SCO3731	-2.3	5.0E-03	
SCO4002	2.5	7.0E-03	
SCO4011	-2.5	7.7E-06	
SCO4043	-2.0	2.7E-02	
SCO4189	3.0	2.0E-03	
SCO4214	-2.2	2.1E-02	
SCO4224	-2.3	1.0E-02	
SCO4979	3.7	8.0E-03	
SCO5031	-3.1	1.0E-03	
SCO5142	-2.2	3.9E-02	
SCO5207	4.2	3.2E-04	
SCO5232	-2.4	7.0E-03	
SCO5249	3.1	7.4E-07	
SCO5250	2.3	3.1E-02	
SCO5402	-3.4	1.0E-03	
SCO5403	-3.3	3.6E-04	
SCO5404	-3.0	1.0E-03	
SCO5447	5.5	2.7E-12	
SCO5575	-2.0	4.2E-02	
SCO5883	2.5	3.9E-02	
SCO5884	3.3	5.1E-06	
SCO5885	3.9	1.1E-11	
SCO5888	3.4	3.7E-04	
SCO5889	3.7	1.6E-04	
SCO5890	3.0	5.3E-05	
SCO5891	3.0	1.5E-05	
SCO5892	2.8	8.4E-06	
SCO5893	3.3	2.7E-06	
SCO5894	3.1	2.3E-05	
SCO5895	3.5	1.1E-06	
SCO5896	3.2	1.7E-07	
SCO5897	2.5	2.0E-03	
SCO6026	2.4	2.3E-02	
SCO6027	2.6	8.0E-03	
SCO6045	2.7	3.8E-05	
SCO6282	2.8	6.0E-03	
SCO6286	2.1	5.0E-03	
SCO6414	3.2	3.0E-05	
SCO6415	3.3	8.0E-07	
SCO6416	3.1	1.3E-05	
SCO6440	9.9	5.6E-13	
SCO6441	9.8	2.2E-14	
SCO6442	9.4	2.7E-13	
SCO6443	9.4	4.2E-10	
SCO6543	4.0	4.0E-03	
SCO6728	-2.6	1.9E-02	
SCO7229	-2.2	3.9E-02	
SCO7460	-2.3	6.8E-05	
SCO7536	-26.6	1.2E-51	
SCO7612	-2.4	2.1E-05	
