gene	logFC	FDR	add_variable
vnz_28920	6.93296049722979	3.62731309046543e-13	wt13-wt20
vnz_28895	6.72332415353404	3.62731309046543e-13	wt13-wt20
vnz_28935	6.40806086296573	3.62731309046543e-13	wt13-wt20
vnz_28875	6.34208950606894	3.62731309046543e-13	wt13-wt20
vnz_23555	-7.43317092796828	3.62731309046543e-13	wt13-wt20
vnz_28925	6.53449452652073	5.87794742307319e-13	wt13-wt20
vnz_35030	-5.41726955469226	8.02402563652789e-13	wt13-wt20
vnz_35020	-7.42119544798604	9.09969709648946e-13	wt13-wt20
vnz_04885	-8.88796675373772	1.08420224327036e-12	wt13-wt20
vnz_22985	-8.19773141488995	1.25772955013687e-12	wt13-wt20
vnz_02660	-8.58155580986418	1.47533360066499e-12	wt13-wt20
vnz_36070	-6.60828337418914	1.70885765975418e-12	wt13-wt20
vnz_04890	-7.38994427319119	1.76312142816414e-12	wt13-wt20
vnz_28910	7.17436637221455	1.8996291190446e-12	wt13-wt20
vnz_35015	-9.00049082824891	1.98777164298301e-12	wt13-wt20
vnz_00080	-7.55384054763979	2.01994891577635e-12	wt13-wt20
vnz_06210	-7.61120691626055	2.01994891577635e-12	wt13-wt20
vnz_22680	-4.74551063638355	2.43902560031549e-12	wt13-wt20
vnz_35825	-7.26891135945574	2.67253009568141e-12	wt13-wt20
vnz_17440	-7.01673355747408	3.38056434624207e-12	wt13-wt20
vnz_05545	-6.60565178783526	4.36410720185391e-12	wt13-wt20
vnz_28915	6.67757727560166	4.7101690958251e-12	wt13-wt20
vnz_02645	-7.01600864322585	4.98322645141741e-12	wt13-wt20
vnz_35820	-8.45407835080706	5.40725472524548e-12	wt13-wt20
vnz_04455	-5.3719866372601	5.78210799109113e-12	wt13-wt20
vnz_32420	-6.42634009921446	5.78210799109113e-12	wt13-wt20
vnz_15655	-6.40711287461906	5.78210799109113e-12	wt13-wt20
vnz_10905	-5.590125576941	5.78210799109113e-12	wt13-wt20
vnz_09460	-5.8215122434605	5.78210799109113e-12	wt13-wt20
vnz_06175	-5.98973060099414	5.78210799109113e-12	wt13-wt20
vnz_17435	-7.04561195032388	5.78740649072877e-12	wt13-wt20
vnz_22100	-4.49686239435776	6.32910274167583e-12	wt13-wt20
vnz_21155	-4.64981498590513	8.00859152176502e-12	wt13-wt20
vnz_35815	-7.90058352273597	8.00859152176502e-12	wt13-wt20
vnz_28945	6.21736281584614	8.18995371543253e-12	wt13-wt20
vnz_16085	-5.11961390092789	1.23023637249856e-11	wt13-wt20
vnz_33490	-7.06026574266589	1.29635750819409e-11	wt13-wt20
vnz_07275	-8.5112709247276	1.29898812494756e-11	wt13-wt20
vnz_22995	-8.17304093005941	1.32191223520317e-11	wt13-wt20
vnz_15660	-5.44607511202269	1.47333469384672e-11	wt13-wt20
vnz_32910	-5.96062084692933	1.47333469384672e-11	wt13-wt20
vnz_01495	-6.61940519687089	1.49616025196026e-11	wt13-wt20
vnz_00640	-6.22492670289369	1.57865065628934e-11	wt13-wt20
vnz_32195	-5.60576134266878	1.98600372556037e-11	wt13-wt20
vnz_05805	-4.42954702946651	2.02395185738066e-11	wt13-wt20
vnz_33360	-4.87203788060974	2.02425289043336e-11	wt13-wt20
vnz_33465	-6.49422432219889	2.02425289043336e-11	wt13-wt20
vnz_07270	-6.95078678980118	2.08704062372627e-11	wt13-wt20
vnz_03570	5.86648506891397	2.08704062372627e-11	wt13-wt20
vnz_33655	-6.90365629933382	2.36279865991158e-11	wt13-wt20
vnz_31540	-4.71368079427241	2.49079498126892e-11	wt13-wt20
vnz_00800	6.96905199392558	2.49079498126892e-11	wt13-wt20
vnz_25720	-6.82107597435659	2.49926749346027e-11	wt13-wt20
vnz_10995	-6.71577885810376	2.53052192518867e-11	wt13-wt20
vnz_06565	-5.49111147221072	2.55001224097785e-11	wt13-wt20
vnz_03780	-4.51841509096111	2.58461202725228e-11	wt13-wt20
vnz_02650	-7.94077070503709	2.86084239597014e-11	wt13-wt20
vnz_18205	-4.48794633631707	2.86330902712958e-11	wt13-wt20
vnz_21180	5.35407163180695	2.99526898072601e-11	wt13-wt20
vnz_12675	-7.35143712519342	3.06330724635182e-11	wt13-wt20
vnz_35830	-6.80127867480754	3.06330724635182e-11	wt13-wt20
vnz_22000	-8.08707900575321	3.27129908297446e-11	wt13-wt20
vnz_27205	-5.35628536161792	3.35880404667003e-11	wt13-wt20
vnz_06820	-5.75583560712377	3.35880404667003e-11	wt13-wt20
vnz_04475	-4.84152078796227	3.35880404667003e-11	wt13-wt20
vnz_02640	-6.43883015428804	3.50673756850907e-11	wt13-wt20
vnz_24375	-6.54238298810558	3.51732727625617e-11	wt13-wt20
vnz_28900	6.0976765486346	3.695501992757e-11	wt13-wt20
vnz_26130	-3.86337379406205	3.70428650418919e-11	wt13-wt20
vnz_28820	-6.63327992944012	3.80399507234527e-11	wt13-wt20
vnz_01270	-7.29787465396817	3.96072860378405e-11	wt13-wt20
vnz_14330	6.06066727854088	3.98106326765048e-11	wt13-wt20
vnz_00810	6.7827750665995	4.003671872011e-11	wt13-wt20
vnz_01265	-5.17591677307597	4.003671872011e-11	wt13-wt20
vnz_33485	-4.80628670322152	4.003671872011e-11	wt13-wt20
