gene	FC	FDR	add_variable			
SCO0039	3,22E+00	0,00000652	downregulated			
SCO0070	3,16E+00	0,000124	downregulated			
SCO0124	1,72E+00	0,00791	downregulated			
SCO0125	2,12E+00	0,00111	downregulated			
SCO0126	1,98E+00	0,0000754	downregulated			
SCO0127	2,29E+00	0,000000285	downregulated			
SCO0224	1,34E+01	8,36E-08	downregulated			
SCO0269	3,20E+00	0,0000217	downregulated			
SCO0270	3,07E+00	0,00000374	downregulated			
SCO0320	2,37E+01	2,81E-11	downregulated			
SCO0321	3,74E+00	0,000000238	downregulated			
SCO0381	2,12E+01	3,32E-30	downregulated			
SCO0382	1,68E+01	5,05E-25	downregulated			
SCO0383	1,41E+01	8,63E-20	downregulated			
SCO0384	1,54E+01	8,31E-23	downregulated			
SCO0385	1,52E+01	1,32E-23	downregulated			
SCO0386	1,37E+01	5,03E-30	downregulated			
SCO0387	1,37E+01	7,64E-29	downregulated			
SCO0388	1,57E+01	7,12E-27	downregulated			
SCO0389	1,17E+01	1,22E-31	downregulated			
SCO1053	3,24E+00	0,0000594	downregulated			
SCO1063	3,67E+00	0,000000672	downregulated			
SCO1065	3,67E+00	6E-11	downregulated			
SCO1072	3,33E+00	0,00000884	downregulated			
SCO1100	3,20E+00	1,57E-10	downregulated			
SCO1160	3,03E+00	0,0000386	downregulated			
SCO1178	2,21E+01	3,08E-14	downregulated			
SCO1227	3,35E+00	7,38E-08	downregulated			
SCO1266	3,11E+00	0,0000782	downregulated			
SCO1281	3,05E+00	0,000132	downregulated			
SCO1356	3,62E+00	2,38E-19	downregulated			
SCO1357	3,45E+00	1,6E-09	downregulated			
SCO1358	3,07E+00	5,37E-08	downregulated			
SCO1364	5,81E+00	1,1E-17	downregulated			
SCO1366	3,38E+00	6,17E-19	downregulated			
SCO1367	2,56E+01	1,68E-62	downregulated			
SCO1368	1,69E+01	1,38E-60	downregulated			
SCO1369	5,85E+00	9,08E-29	downregulated			
SCO1370	4,58E+00	3,85E-31	downregulated			
SCO1456	3,40E+00	0,000156	downregulated			
SCO1550	8,48E+00	2,27E-15	downregulated			
SCO1573	4,37E+00	1,14E-20	downregulated			
SCO1574	3,27E+00	1,11E-12	downregulated			
SCO1575	3,00E+00	2,63E-09	downregulated			
SCO1722	3,17E+00	0,0000241	downregulated			
SCO1723	3,40E+00	0,0000261	downregulated			
SCO1740	3,37E+00	0,000249	downregulated			
SCO0390	1,09E+01	1,02E-24	downregulated			
SCO0391	1,88E+01	2,23E-40	downregulated			
SCO0392	1,52E+01	1,04E-34	downregulated			
SCO0393	1,39E+01	1,46E-30	downregulated			
SCO0394	1,23E+01	4,74E-35	downregulated			
SCO0395	1,11E+01	7,61E-27	downregulated			
SCO0396	1,02E+01	2,13E-29	downregulated			
SCO0397	1,11E+01	7,31E-28	downregulated			
SCO0398	6,80E+00	7,58E-19	downregulated			
SCO0399	9,83E+00	5,68E-24	downregulated			
SCO0400	7,75E+00	4,26E-28	downregulated			
SCO0401	9,66E+00	8,87E-23	downregulated			
SCO0409	5,64E+00	8,74E-28	downregulated			
SCO0532	3,08E+00	0,0000125	downregulated			
SCO0548	3,37E+00	0,000418	downregulated			
SCO0554	3,15E+00	0,00000228	downregulated			
SCO0644	4,13E+00	4,7E-13	downregulated			
SCO0656	3,39E+00	0,00000122	downregulated			
SCO0685	3,28E+00	0,00000471	downregulated			
SCO0729	3,28E+00	9,57E-18	downregulated			
SCO0752	4,47E+00	9,62E-21	downregulated			
SCO0882	3,35E+00	0,0000261	downregulated			
SCO0909	3,62E+00	8,02E-19	downregulated			
SCO0930	5,49E+00	1,55E-19	downregulated			
SCO0944	4,77E+00	4,59E-27	downregulated			
SCO0973	9,18E+00	5,58E-22	downregulated			
SCO0991	3,34E+00	0,000000157	downregulated			
SCO1767	3,87E+00	3,77E-13	downregulated			
SCO1801	4,59E+00	8,86E-10	downregulated			
SCO1802	4,14E+00	2,25E-10	downregulated			
