	32hlogFC	42hlogFC	49hlogFC	56hlogFC	66hlogFC	32h	42h	49h	56h	66h
SCO0043	0,033	1,552	0,65	0,156	0,095	0,999071	0	0,008696	0,71905	0,855517
SCO0053	-0,139	-0,465	-0,502	-0,361	-0,083	0,684814	0,002854	0,002136	0,040632	0,770634
SCO0056	-0,032	-0,067	-1,671	-0,217	-0,214	0,999071	0,931947	0,004959	0,853064	0,8644
SCO0058	0,581	0,453	0,538	0,804	0,918	0,00628	0,017776	0,006606	0,000244	0,000024
SCO0064	-0,382	-0,552	-0,231	-0,188	-0,491	0,127237	0,006197	0,249241	0,553246	0,017771
SCO0065	0,016	-0,214	-0,789	0,154	0,006	0,999071	0,496627	0,00594	0,765273	0,993225
SCO0097	-0,302	-0,496	-0,688	-0,194	-0,076	0,479228	0,049891	0,008196	0,641004	0,898175
SCO0119	0,823	0,507	0,133	-0,114	0,234	0,001099	0,021259	0,569564	0,786109	0,416685
SCO0121	0,498	1,065	0,331	0,131	-0,245	0,306791	0,001964	0,333844	0,84935	0,65087
SCO0125	0,47	0,719	0,379	0,053	0,028	0,157155	0,005845	0,136498	0,934534	0,968416
SCO0126	0,437	0,693	0,153	0,134	-0,12	0,051233	0,000514	0,441123	0,680225	0,716676
SCO0127	0,297	0,422	-0,052	0,01	-0,106	0,139827	0,008297	0,776976	0,981889	0,69255
SCO0131	0,164	-0,819	0,037	0,137	1,295	0,956479	0,028143	0,938993	0,858649	0,001
SCO0139	-1,576	-0,422	-0,436	0,192	-1,025	0,000216	0,286833	0,23569	0,784704	0,00739
SCO0141	0,18	0,788	-0,754	-1,285	-2,986	0,999071	0,245844	0,236311	0,091462	0,000037
SCO0160	-0,047	1,346	1,28	1,377	1,122	0,999071	0,003618	0,006908	0,007481	0,0175
SCO0182	0,042	0,332	0,924	0,549	-0,023	0,999071	0,282843	0,002528	0,118256	0,977973
SCO0186	0,254	0,578	0,179	-0,077	-0,197	0,358656	0,00197	0,335759	0,834163	0,408025
SCO0224	-1,651	-0,687	-0,605	-1,915	-1,104	0,009861	0,25927	0,291694	0,002864	0,06888
SCO0225	-0,297	-0,411	-1,456	-0,372	0,134	0,900989	0,481506	0,006409	0,665215	0,915528
SCO0228	-0,207	-0,25	-1,209	-2,599	-2,352	0,999071	0,824753	0,152053	0,0072	0,008023
SCO0247	-0,441	-0,797	-0,728	-0,543	0,456	0,160124	0,001455	0,004581	0,056467	0,080578
SCO0254	-0,033	-0,427	-0,007	-0,02	-0,136	0,999071	0,007282	0,97373	0,961817	0,552324
SCO0269	0,134	-0,102	-0,454	-0,482	-0,215	0,746242	0,594595	0,007143	0,008484	0,263407
SCO0277	-0,111	-0,047	-0,655	-0,476	-0,424	0,946839	0,884988	0,007429	0,08905	0,093896
SCO0278	-0,106	-0,239	-0,867	-0,077	-0,139	0,975951	0,435405	0,002601	0,899566	0,788734
SCO0281	1,055	0,287	1,109	0,79	0,689	0,002503	0,405643	0,00093	0,024478	0,031838
SCO0287	-0,108	-0,359	-0,465	-0,284	-0,123	0,869187	0,036281	0,008335	0,199633	0,654238
SCO0290	-0,265	-0,258	-0,946	-0,359	-0,697	0,672823	0,426048	0,001997	0,396127	0,018694
SCO0291	-0,376	-0,173	-0,44	-0,324	-0,648	0,138714	0,446433	0,026349	0,223258	0,002114
SCO0292	-0,493	0,012	-0,534	-0,071	-0,792	0,03323	0,967259	0,010089	0,871004	0,000295
SCO0293	0,375	0,129	0,341	0,472	0,217	0,031579	0,455002	0,023483	0,005957	0,213235
SCO0297	-0,687	-1,014	-1,246	-1,225	0,27	0,161455	0,008025	0,002151	0,004353	0,663409
SCO0305	-0,436	-0,502	-0,695	-0,522	-0,382	0,163629	0,038946	0,006001	0,066775	0,157825
SCO0308	0,053	-0,136	-0,01	-0,065	-0,593	0,986839	0,435249	0,961486	0,832083	0,000351
SCO0310	-0,268	-0,597	-0,225	-0,242	0,181	0,217919	0,000413	0,158664	0,277336	0,378806
SCO0314	0,028	0,042	-0,564	0,12	-0,121	0,999071	0,8807	0,008268	0,752733	0,739158
SCO0315	0,3	2,353	-0,35	0,68	-0,452	0,929576	0,000139	0,569564	0,43082	0,610003
SCO0320	-3,041	-0,464	-2,134	-2,291	-1,364	0,00308	0,676101	0,019482	0,028428	0,189576
SCO0323	1,779	0,325	0,126	0,369	0,659	0,000606	0,531201	0,808473	0,615741	0,206223
SCO0330	-0,015	0,091	0,752	0,138	0,528	0,999071	0,764064	0,002994	0,755595	0,034398
SCO0332	-0,062	-0,429	-0,024	0,03	0,017	0,976183	0,007822	0,904218	0,940518	0,969054
SCO0337	-0,223	-0,531	-0,058	-0,129	-0,027	0,296052	0,000627	0,731868	0,596575	0,948067
SCO0352	-0,079	-0,036	0,236	0,564	0,386	0,966475	0,887604	0,204236	0,007581	0,049701
SCO0358	-0,629	-0,144	0,819	0,117	0,179	0,021077	0,612985	0,001473	0,801982	0,634889
SCO0365	0,183	-0,502	-0,03	0,086	-0,032	0,575929	0,004137	0,889439	0,797815	0,946896
SCO0378	0,057	1,734	0,372	-0,426	-0,009	0,999071	0,000005	0,250551	0,359477	0,992342
SCO0379	-0,648	1,89	0,088	-0,374	-0,666	0,230847	0,000023	0,856482	0,555932	0,129663
SCO0381	-1,295	0,252	0,114	-0,1	0,54	0,004315	0,597477	0,808686	0,918415	0,258312
SCO0383	-1,376	0,126	-0,019	-0,091	0,73	0,009314	0,842569	0,974565	0,938689	0,168194
SCO0385	-1,105	-0,234	0,025	-0,047	0,476	0,004218	0,562838	0,955398	0,958389	0,237416
SCO0386	-0,91	-0,176	0,14	-0,061	0,374	0,002819	0,581351	0,63254	0,927904	0,2345
SCO0387	-1,228	-0,24	0,032	0,062	0,497	0,001077	0,532465	0,939576	0,941763	0,185239
SCO0389	-0,933	-0,176	-0,067	0,02	0,472	0,008476	0,640316	0,86166	0,981269	0,189232
SCO0390	-0,967	-0,309	-0,031	-0,074	0,345	0,004401	0,354991	0,937045	0,919317	0,371853
SCO0400	-1,014	-0,045	0,152	0	0,638	0,008491	0,926751	0,688153	0,999569	0,082307
SCO0402	-0,77	-0,556	-1,116	-0,653	-0,188	0,03329	0,084013	0,001065	0,080482	0,736166
SCO0408	-0,708	-0,089	-0,39	-0,747	-0,111	0,010602	0,778738	0,106425	0,007276	0,826654
SCO0416	-0,152	-0,312	-0,72	0,049	-0,123	0,877845	0,229044	0,005187	0,93663	0,796141
SCO0417	0,139	-0,203	-0,861	-0,115	-0,218	0,945197	0,54789	0,004746	0,845188	0,632896
SCO0426	-1,751	-2,216	-1,1	-0,912	0,788	0,000819	0,000019	0,017367	0,099945	0,118181
SCO0431	0,043	0,066	-0,42	-0,584	-1,226	0,999071	0,812825	0,044146	0,016123	0,000002
SCO0439	0,135	0,537	-0,373	0,276	0,181	0,831416	0,005834	0,048055	0,307836	0,502995
SCO0441	0,118	0,396	-1,916	-0,244	0,469	0,990001	0,312135	0,000009	0,697921	0,277057
SCO0442	0,067	0,235	-1,276	-0,07	0,339	0,999071	0,381805	0,000009	0,898021	0,229183
SCO0449	-0,19	-0,43	-1,115	-0,15	-0,207	0,913668	0,240843	0,002426	0,82747	0,732443
SCO0457	0,026	-0,423	-0,372	-0,022	-0,158	0,999071	0,001062	0,004741	0,94611	0,295059
SCO0464	0,264	0,936	1,967	1,684	1,565	0,636764	0,000808	0	0,000001	0,000002
SCO0465	0,635	1,895	2,929	2,398	3,08	0,271629	0,000033	0	0,000003	0
SCO0508	-0,429	-0,325	-0,529	-0,328	-0,164	0,017983	0,043898	0,002074	0,086217	0,447174
SCO0509	0,285	2,45	1,733	0,604	0,421	0,651522	0	0,000002	0,088031	0,219155
SCO0516	-0,183	-0,283	-0,516	-0,227	-0,25	0,573346	0,107733	0,004294	0,357963	0,202487
SCO0522	-0,157	-0,339	-0,523	-0,313	0,008	0,50809	0,013273	0,000479	0,050663	0,983135
SCO0524	0,466	0,464	0,494	0,53	0,758	0,017129	0,007666	0,006285	0,006785	0,000084
SCO0536	-0,574	-0,796	-0,443	-0,719	-0,206	0,115257	0,007144	0,125064	0,032892	0,669032
SCO0542	0	0,39	0,249	0,167	0,075	0,99992	0,0087	0,085365	0,457842	0,791479
SCO0543	-1,42	-1,722	-0,773	-0,314	0,141	0,000416	0,000014	0,026162	0,579225	0,85367
SCO0549	0,198	-0,432	-0,041	-0,396	-0,941	0,865995	0,1819	0,91571	0,411368	0,003638
SCO0569	-0,316	2,079	0,931	-0,365	-0,847	0,913431	0,000512	0,097705	0,720701	0,195207
SCO0570	-0,25	1,364	0,871	-0,327	-0,803	0,935674	0,00668	0,073738	0,709032	0,147539
SCO0574	-0,015	-0,388	0,069	-0,022	-0,084	0,999071	0,006332	0,651638	0,951605	0,737096
SCO0577	-0,339	-0,126	-0,009	0,111	-0,818	0,326937	0,655109	0,976078	0,812301	0,001065
SCO0583	-0,146	-0,258	-0,782	-0,517	-0,665	0,786081	0,198019	0,000247	0,017702	0,001036
SCO0584	0,449	1,913	-0,181	0,102	-1,5	0,649522	0,000131	0,730095	0,929785	0,002157
SCO0585	0,683	1,96	-0,334	0,082	-1,54	0,52499	0,001589	0,608497	0,959005	0,014229
SCO0586	0,655	2,15	-0,059	0,169	-1,591	0,492025	0,000251	0,934483	0,89178	0,00595
SCO0587	0,266	1,817	-0,095	0,015	-1,603	0,904895	0,000216	0,867687	0,990364	0,001065
SCO0588	0,395	1,364	-0,016	0,119	-1,363	0,492025	0,000142	0,970833	0,865289	0,000198
SCO0591	0,47	3,153	0,787	0,164	-0,079	0,466188	0	0,037134	0,832083	0,937553
SCO0595	0,018	1,28	0,005	0,35	0,711	0,999071	0,00346	0,994177	0,62142	0,134826
SCO0596	0,016	0,13	-0,001	0,121	0,897	0,999071	0,754004	0,998001	0,859603	0,008396
SCO0600	-0,042	0,865	0,127	-0,185	0,022	0,999071	0,001858	0,667808	0,690006	0,976792
SCO0601	0,218	0,873	0,434	0,213	-0,208	0,81693	0,004577	0,152041	0,680774	0,679465
SCO0615	0,045	2,048	2,231	1,183	1,239	0,999071	0,000004	0,000002	0,005694	0,001825
SCO0621	0,454	0,205	0,341	0,294	0,582	0,014413	0,24043	0,034789	0,158318	0,000874
SCO0624	-0,38	-0,202	0,942	-0,031	0,656	0,47831	0,586386	0,00456	0,970319	0,0481
SCO0626	0,752	0,584	0,613	0,361	0,279	0,000438	0,002214	0,002152	0,113652	0,188759
SCO0629	0,326	0,043	0,652	0,282	0,101	0,379539	0,897628	0,008712	0,432878	0,842531
SCO0640	-0,282	0,789	0,076	0,027	0,238	0,469933	0,00089	0,772195	0,964635	0,436908
SCO0649	0,328	3,008	1,143	0,467	-0,183	0,856301	0,000001	0,021475	0,55742	0,869699
SCO0650	0,274	3,122	1,713	0,522	1,138	0,868297	0	0,000335	0,414414	0,011104
SCO0651	0,23	1,843	0,51	0,216	0,035	0,798855	0,000001	0,091528	0,681333	0,96667
SCO0652	0,632	2,872	1,248	0,227	0,106	0,381049	0,000001	0,009421	0,803462	0,928725
SCO0653	0,023	1,157	-0,16	0,047	-0,012	0,999071	0,003663	0,714863	0,964487	0,992213
