gene logFC FDR add_variable
vnz_00005 -0.00262975154117893 0.996130597693696 dbldBvsWT_10hr
vnz_00005 0.926263432199531 0.000839980089678227 dbldBvsWT_14hr
vnz_00005 0.901231929111385 0.000813797984522891 dbldBvsWT_22hr
vnz_00010 0.131620375904273 0.879985369649569 dbldBvsWT_10hr
vnz_00010 0.0840212825579186 0.840067467149851 dbldBvsWT_14hr
vnz_00010 -0.500033748525397 0.187458021763943 dbldBvsWT_22hr
vnz_00015 -0.536764848587998 0.428735182146093 dbldBvsWT_10hr
vnz_00015 -0.0347390130800542 0.974309796456623 dbldBvsWT_14hr
vnz_00015 -0.114734986647335 0.875022469546738 dbldBvsWT_22hr
vnz_00020 -0.331078535051844 0.285268476867672 dbldBvsWT_10hr
vnz_00020 -0.129584636517683 0.552642745018018 dbldBvsWT_14hr
vnz_00020 -0.598591035076666 0.00797034389559923 dbldBvsWT_22hr
vnz_00025 -0.505882940000995 0.571572549365584 dbldBvsWT_10hr
vnz_00025 -0.00696249042597698 0.989032117901158 dbldBvsWT_14hr
vnz_00025 -0.406691225392532 0.352077642372586 dbldBvsWT_22hr
vnz_00030 -0.2997454765486 0.426917494682364 dbldBvsWT_10hr
vnz_00030 0.548754715158903 0.0139343004006081 dbldBvsWT_14hr
vnz_00030 -0.702801350937097 0.0021465142332224 dbldBvsWT_22hr
vnz_00035 -0.421225400233323 0.749401842492602 dbldBvsWT_10hr
vnz_00035 -2.193204867659 0.00376091428399448 dbldBvsWT_14hr
vnz_00035 -0.403286521412755 0.563155382064587 dbldBvsWT_22hr
vnz_00040 0.227346484120158 0.887905605057893 dbldBvsWT_10hr
vnz_00040 -2.98663724446844 0.000552485611872326 dbldBvsWT_14hr
vnz_00040 -1.22435223364885 0.069309019407527 dbldBvsWT_22hr
vnz_00045 -0.364445764057563 0.376279858638787 dbldBvsWT_10hr
vnz_00045 -1.26016782100019 0.000316664948683168 dbldBvsWT_14hr
vnz_00045 -0.733598141014784 0.00873827526419373 dbldBvsWT_22hr
vnz_00050 -0.290564376756211 0.576671568971275 dbldBvsWT_10hr
vnz_00050 -0.679472080720076 0.0370136232483033 dbldBvsWT_14hr
vnz_00050 -0.82086069180671 0.0100137255951678 dbldBvsWT_22hr
vnz_00055 -0.088757614727812 0.872188923425438 dbldBvsWT_10hr
vnz_00055 -0.624956254462209 0.0218819636735942 dbldBvsWT_14hr
vnz_00055 -1.05890439931394 0.000470787303745579 dbldBvsWT_22hr
vnz_00060 0.850882586662312 0.0847164691269383 dbldBvsWT_10hr
vnz_00060 -0.286521234311128 0.355147291550069 dbldBvsWT_14hr
vnz_00060 -1.19046996138428 0.00055959902179676 dbldBvsWT_22hr
vnz_00065 -0.707877607051235 0.132685742662606 dbldBvsWT_10hr
vnz_00065 -0.556562029254403 0.0624832617281929 dbldBvsWT_14hr
