gene	logFC	FDR	add_variable
SCO0201	-6,0	0	bldD_scoe
SCO0206	-2,0	0	bldD_scoe
SCO0207	-3,0	0	bldD_scoe
SCO0216	-4,0	0	bldD_scoe
SCO0217	-3,0	0	bldD_scoe
SCO0218	-3,0	0	bldD_scoe
SCO0220	-3,0	0	bldD_scoe
SCO0231	-3,0	0	bldD_scoe
SCO0247	-19,0	0	bldD_scoe
SCO0268	-97,0	0	bldD_scoe
SCO0379	10,2	0	bldD_scoe
SCO0380	4,1	0	bldD_scoe
SCO0436	5,1	0	bldD_scoe
SCO0472	35,8	0	bldD_scoe
SCO0473	30,9	0	bldD_scoe
SCO0474	21,8	0	bldD_scoe
SCO0475	63,1	0	bldD_scoe
SCO0476	8,9	0	bldD_scoe
SCO0477	10,5	0	bldD_scoe
SCO0741	-2,0	0	bldD_scoe
SCO0762	-41,0	0	bldD_scoe
SCO0805	-3,0	0	bldD_scoe
SCO0834	2,1	0	bldD_scoe
SCO0863	2,8	0	bldD_scoe
SCO0922	-7,0	0	bldD_scoe
SCO0923	-6,0	0	bldD_scoe
SCO0924	-5,0	0	bldD_scoe
SCO0928	-2,0	0	bldD_scoe
SCO0929	-3,0	0	bldD_scoe
SCO0955	8,3	0	bldD_scoe
SCO0996	2,5	0	bldD_scoe
SCO0998	2,7	0	bldD_scoe
SCO1076	2,2	0	bldD_scoe
SCO1118	-24,0	0	bldD_scoe
SCO1134	-3,0	0	bldD_scoe
SCO1189	2,2	0	bldD_scoe
SCO1296	-3,0	0	bldD_scoe
SCO1334	2,1	0	bldD_scoe
SCO1335	-6,0	0	bldD_scoe
SCO1388	-4,0	0	bldD_scoe
SCO1392	3,5	0	bldD_scoe
SCO1400	-3,0	0	bldD_scoe
SCO1410	-3,0	0	bldD_scoe
SCO1489	-3,0	0	bldD_scoe
SCO1508	-2,0	0	bldD_scoe
SCO1509	-2,0	0	bldD_scoe
SCO1543	3,5	0	bldD_scoe
SCO1626	9,3	0	bldD_scoe
SCO1627	13,3	0	bldD_scoe
SCO1628	27,4	0	bldD_scoe
SCO1629	32,5	0	bldD_scoe
SCO1630	18,2	0	bldD_scoe
SCO1655	-3,0	0	bldD_scoe
SCO1674	14,0	0	bldD_scoe
SCO1675	44,7	0	bldD_scoe
SCO1749	3,7	0	bldD_scoe
SCO1753	5,2	0	bldD_scoe
SCO1800	6,1	0	bldD_scoe
SCO1824	-3,0	0	bldD_scoe
SCO1849	-3,0	0	bldD_scoe
SCO1852	-3,0	0	bldD_scoe
SCO1853	-4,0	0	bldD_scoe
SCO1855	-5,0	0	bldD_scoe
SCO1856	-3,0	0	bldD_scoe
SCO1857	-4,0	0	bldD_scoe
SCO1858	-5,0	0	bldD_scoe
SCO1860	24,6	0	bldD_scoe
SCO1870	-2,0	0	bldD_scoe
SCO1925	2,1	0	bldD_scoe
SCO1930	-2,0	0	bldD_scoe
SCO1935	-5,0	0	bldD_scoe
SCO1936	-3,0	0	bldD_scoe
SCO1946	-3,0	0	bldD_scoe
SCO1947	-3,0	0	bldD_scoe
SCO1980	2,4	0	bldD_scoe
SCO1982	2,2	0	bldD_scoe
SCO1993	3,8	0	bldD_scoe
SCO2080	-2,0	0	bldD_scoe
SCO2087	-2,0	0	bldD_scoe
SCO2132	-2,0	0	bldD_scoe
SCO2136	-5,0	0	bldD_scoe
SCO2148	-3,0	0	bldD_scoe
SCO2149	-3,0	0	bldD_scoe
SCO2150	-3,0	0	bldD_scoe
SCO2151	-2,0	0	bldD_scoe
SCO2154	-2,0	0	bldD_scoe
SCO2164	2,1	0	bldD_scoe
SCO2179	-2,0	0	bldD_scoe
SCO2180	-3,0	0	bldD_scoe
SCO2181	-2,0	0	bldD_scoe
SCO2183	-4,0	0	bldD_scoe
SCO2192	8,6	0	bldD_scoe
SCO2199	-2,0	0	bldD_scoe
SCO2318	-2,0	0	bldD_scoe
SCO2346	-2,0	0	bldD_scoe
SCO2373	2,5	0	bldD_scoe
SCO2383	-2,0	0	bldD_scoe
