gene logFC FDR add_variable
SCO0162 -5.814941062 0.0006735 dccr1vsWT
SCO0165 -7.5212729949 0.0004305 dccr1vsWT
SCO0166 -8.6239776941 4.319e-05 dccr1vsWT
SCO0167 -7.7545337763 0.0003395 dccr1vsWT
SCO0168 -5.1458363942 0.003595 dccr1vsWT
SCO0170 -5.7987480662 0.0008111 dccr1vsWT
SCO0172 -6.0758001223 0.0001643 dccr1vsWT
SCO0173 -6.0621875841 0.000929 dccr1vsWT
SCO0174 -6.0160916592 0.0006504 dccr1vsWT
SCO0177 -5.6847966774 0.0005933 dccr1vsWT
SCO0180 -6.2554797831 0.0007242 dccr1vsWT
SCO0181 -7.7658525328 0.000666 dccr1vsWT
SCO0224 -6.000223269 4.267e-05 dccr1vsWT
SCO0243 -8.5530044067 0.0005094 dccr1vsWT
SCO0421 -5.610323244 0.001524 dccr1vsWT
SCO0498 6.2766000858 0.003357 dccr1vsWT
SCO0499 7.6510181786 0.0007638 dccr1vsWT
SCO0570 -14.5221996811 0.008863 dccr1vsWT
SCO0585 -5.8443215253 0.001424 dccr1vsWT
SCO0597 -5.8179888747 4.623e-05 dccr1vsWT
SCO0607 -5.8818267031 6.078e-05 dccr1vsWT
SCO0758 -6.9064116869 0.007169 dccr1vsWT
SCO0784 -19.0903354217 9.91e-06 dccr1vsWT
SCO0955 -8.5084610191 0.0005283 dccr1vsWT
SCO0973 -11.7996554612 1.465e-05 dccr1vsWT
SCO1045 -10.4965010896 5.163e-05 dccr1vsWT
SCO1124 5.4013570748 0.003198 dccr1vsWT
SCO1181 5.2277805781 0.001421 dccr1vsWT
SCO1178 -5.9047714847 0.0005714 dccr1vsWT
SCO1342 5.137118012 0.001356 dccr1vsWT
SCO1364 -11.701093494 9.744e-07 dccr1vsWT
SCO1373 -7.2988040326 5.974e-05 dccr1vsWT
SCO1375 -7.5840067838 0.000646 dccr1vsWT
SCO1405 6.5133969324 0.0001496 dccr1vsWT
SCO1406 5.0573220973 0.0008412 dccr1vsWT
SCO1411 -10.277725004 5.983e-05 dccr1vsWT
SCO1412 -15.5577312657 1.9e-06 dccr1vsWT
SCO1458 5.5205669446 0.004994 dccr1vsWT
SCO1528 -7.0168708638 0.0004938 dccr1vsWT
SCO1532 -5.222616902 0.001035 dccr1vsWT
SCO1533 -9.5468074503 5.321e-06 dccr1vsWT
SCO1541 -8.3610114174 4.56e-05 dccr1vsWT
SCO1550 -7.5870318249 2.682e-05 dccr1vsWT
SCO1557 19.5587601211 9.841e-06 dccr1vsWT
SCO1558 7.3822621327 0.00161 dccr1vsWT
SCO1559 8.0131126034 0.001509 dccr1vsWT
SCO1597 5.2471518786 0.0006696 dccr1vsWT
SCO1611 -8.3967725478 5.565e-06 dccr1vsWT
SCO1612 -7.152864779 8.233e-06 dccr1vsWT
SCO1613 -5.4224452093 0.001462 dccr1vsWT
SCO1620 11.9255927081 3.532e-05 dccr1vsWT
SCO1621 7.5928378049 0.000809 dccr1vsWT
SCO1737 7.323300244 0.009221 dccr1vsWT
SCO1739 8.2397457666 0.0001401 dccr1vsWT
SCO1776 5.2341827915 0.001304 dccr1vsWT
SCO1790 5.582490054 0.002539 dccr1vsWT
SCO1819 8.0534606114 0.0168881153 dccr1vsWT
SCO1865 5.1188916561 0.0007759 dccr1vsWT
SCO1876 9.9310686113 0.002844 dccr1vsWT
SCO1909 -12.3327651184 3.998e-08 dccr1vsWT
SCO2002 5.1733827157 0.00789 dccr1vsWT
SCO2037 5.2655969849 0.0002126 dccr1vsWT
SCO2055 -16.7966313116 4.776e-08 dccr1vsWT
SCO2167 -5.7867981157 0.0001105 dccr1vsWT
SCO2168 -5.3954089175 0.001155 dccr1vsWT
SCO2270 10.7351953052 0.000191 dccr1vsWT
SCO2256 -9.4506663879 3.023e-06 dccr1vsWT
SCO2315 -7.1781753432 2.217e-06 dccr1vsWT
SCO2346 8.6527451241 0.002932 dccr1vsWT
SCO2485 7.9492022946 4.846e-05 dccr1vsWT
SCO2513 -5.05995276 0.0002138 dccr1vsWT
SCO2519 -7.1061738892 0.000348 dccr1vsWT
SCO2524 -5.4486138685 0.00306 dccr1vsWT
SCO2529 -5.7309917853 0.001255 dccr1vsWT
SCO2682 5.5184436202 0.0002431 dccr1vsWT
SCO2695 -6.796132853 9.542e-07 dccr1vsWT
SCO2699 -6.2134223389 0.003986 dccr1vsWT
