gene	36h	48h	60h						
SCO5070	-2.430	-0.420	-1.350						
SCO5071	-6.565	-3.595	-3.765						
SCO5072	-7.485	-5.699	-4.705						
SCO5073	-7.715	-6.620	-4.970						
SCO5074	-7.415	-5.930	-4.415						
SCO5075	-6.975	-4.603	-3.950						
SCO5076	-5.715	-1.730	-2.765						
SCO5077	-3.820	-1.413	-1.845						
SCO5078	-6.790	-4.170	-3.850						
SCO5079	-7.020	-4.698	-4.275						
SCO5080	-7.405	-4.760	-4.155						
SCO5081	-5.830	-2.632	-3.070						
SCO5082	-2.775	-1.937	-2.080						
SCO5083	-6.935	-6.510	-5.170						
SCO5084	-6.800	-7.260	-6.490						
SCO5085	-5.075	-3.912	-3.660						
SCO5086	-5.275	-2.879	-3.195						
SCO5087	-7.070	-4.529	-4.730						
SCO5088	-3.420	-2.237	-4.125						
SCO5089	-6.185	-3.439	-3.365						
SCO5090	-8.510	-6.229	-4.925						
SCO5091	-6.600	-3.538	-3.560						
SCO5092	-4.507	-1.961	-1.959						
SCO5886	-1.555	0.232	2.325						
SCO5887	-1.775	0.458	2.110						
SCO5889	-0.945	0.668	2.110						
SCO5890	-1.830	0.358	2.220						
SCO5891	-1.475	-0.045	1.935						
SCO5892	-1.930	0.446	2.390						
SCO5893	-1.700	0.446	2.070						
SCO5895	-1.275	0.288	1.915						
SCO5896	-1.545	-0.297	2.130						
SCO5897	-1.770	0.247	2.105						
SCO6273	-0.370	1.585	-0.065						
SCO6275	0.040	3.081	0.600						
SCO6276	2.640	5.746	1.200						
SCO6277	2.375	5.716	1.220						
SCO6278	1.815	4.547	0.995						
SCO6279	2.525	5.430	1.180						
SCO6280	2.400	3.813	1.675						
SCO6281	1.230	4.712	1.815						
SCO6282	2.065	4.156	0.805						
SCO6283	1.595	4.850	0.810						
SCO6284	-1.645	3.013	0.675						
SCO6285	-1.115	2.120	0.960						
SCO6286	1.940	3.799	1.130						
SCO6287	1.030	1.068	0.655						
SCO7682	2.540	3.407	6.718						
SCO7683	3.430	3.876	7.693						
SCO7684	0.740	2.278	3.903						
SCO7685	0.040	2.297	4.189						
SCO7686	2.490	3.378	6.091						
SCO7687	2.230	3.307	5.860						
SCO7688	3.190	3.550	7.361						
SCO7689	1.620	2.849	5.698						
SCO7690	2.680	3.180	6.844						
SCO0185	2.001	-0.523	-0.090						
SCO0186	2.142	-0.392	0.616						
SCO0187	2.029	-0.604	0.891						
SCO0188	2.491	-0.548	0.801						
SCO0189	2.025	-0.294	0.878						
SCO0191	1.760	-0.495	0.282						
SCO1206	0.758	-1.810	-2.610						
SCO1207	1.117	-1.759	-2.960						
SCO1208	0.774	-1.904	-2.455						
SCO2782	0.935	-1.816	-3.808						
SCO2783	0.639	-1.613	-4.193						
SCO2784	0.595	-2.027	-4.234						
SCO2785	0.757	-1.679	-3.804						
SCO0217	-3.228	-3.695	-5.837						
SCO0218	-1.605	-0.858	-2.220						
SCO4947	-3.907	-4.147	-6.211						
SCO4948	-5.527	-5.874	-7.226						
SCO4949	-6.081	-5.716	-7.072						
SCO4950	-4.914	-5.063	-6.472						
SCO6532	0.968	-1.584	-2.135						
SCO6533	0.972	-1.984	-2.990						
SCO6534	-0.195	-2.028	-5.044						
SCO6535	0.215	-1.819	-4.697						
SCO1231	-1.602	-1.576	-1.628						
SCO1232	-2.201	-2.038	-2.023						
SCO1234	-2.877	-2.413	-3.320						
SCO1235	-3.070	-2.438	-3.001						
SCO1236	-2.916	-2.569	-3.415						
SCO4139	0.370	-2.073	-0.822						
SCO4140	0.364	-2.015	-0.862						
SCO4141	0.408	-2.942	-1.599						
SCO4142	0.398	-3.380	-2.207						
SCO1800	0.151	1.449	1.799						
SCO2716	0.000	-0.943	-2.322						
SCO2717	-0.059	-0.515	-2.184						
SCO2718	-0.074	-0.434	-2.737						
SCO2719	-0.434	-1.515	-1.786						
SCO6685	2.011	1.014	1.275						
SCO5314	1.333	-1.396	-3.322						
SCO5315	1.257	-1.556	-2.737						
SCO5316	1.470	-1.599	-2.644						
SCO5317	1.043	-1.434	-2.943						
SCO5318	1.104	-1.943	-2.322						
SCO5319	1.454	-1.556	-2.556						
SCO5320	1.350	-1.322	-2.737						
SCO5321	0.757	-1.837	-1.786						
SCO6029	-0.044	-1.474	-1.644						
SCO1541	0.748	-1.737	-1.286						
SCO5440	1.293	-1.252	-1.599						
SCO5442	1.189	-1.252	-1.644						
SCO5443	1.761	-1.059	-2.252						
SCO7332	1.590	-1.474	-2.000						
SCO7333	1.551	-1.474	-2.120						
SCO7335	1.799	-0.943	-2.322						
SCO7336	1.541	-1.556	-2.120						
SCO7337	3.770	-1.286	-1.889						
