gene logFC FDR add_variable
vnz_00010 -0.651095119172437 1 18h
vnz_00010 -0.528279742615152 1 24h
vnz_00010 -0.295139775562295 1 48h
vnz_00020 -1.01761718010124 0.05 18h
vnz_00020 -0.666967340012807 1 24h
vnz_00020 -0.563826857854614 1 48h
vnz_00030 -1.06358943769197 0.05 18h
vnz_00030 -0.713734498559099 1 24h
vnz_00030 -0.719495498642976 0.05 48h
vnz_00035 -0.583320352556903 1 18h
vnz_00035 -0.542757250907842 1 24h
vnz_00035 -0.422453789785043 1 48h
vnz_00040 -0.677467744686412 1 18h
vnz_00040 -0.624980623696786 1 24h
vnz_00040 -0.738276031793191 0.05 48h
vnz_00055 0.624855699766337 0.05 18h
vnz_00055 0.25803284729465 1 24h
vnz_00055 0.267622133035581 1 48h
vnz_00070 -0.340087632793445 1 18h
vnz_00070 -0.667029688009132 1 24h
vnz_00070 -0.350357319725481 1 48h
vnz_00075 -0.559931310272277 1 18h
vnz_00075 -0.743906266248401 1 24h
vnz_00075 -0.420492874411599 1 48h
vnz_00080 -1.29158987910798 0.05 18h
vnz_00080 -1.50880302842739 0.05 24h
vnz_00080 -1.09047376131509 0.05 48h
vnz_00085 -0.331412795640555 1 18h
vnz_00085 -0.654873239970217 1 24h
vnz_00085 -0.296615903210015 1 48h
vnz_00090 -0.434602041307137 1 18h
vnz_00090 -0.699183259027599 1 24h
vnz_00090 -0.442765367101525 1 48h
vnz_00095 -0.629742185266191 1 18h
vnz_00095 -0.747188810284807 1 24h
vnz_00095 -0.402069856734975 1 48h
vnz_00100 -0.261996551105946 1 18h
vnz_00100 -0.542519807445319 1 24h
vnz_00100 -0.510544348352924 1 48h
vnz_00105 -0.493159516820664 1 18h
vnz_00105 -0.558818091464766 1 24h
vnz_00105 -0.431991555699017 1 48h
vnz_00110 -0.451962856074096 1 18h
vnz_00110 -0.507309856922064 1 24h
vnz_00110 -0.546547423079748 1 48h
vnz_00115 -0.0901979848794625 1 18h
vnz_00115 -0.279393404396696 1 24h
vnz_00115 -0.333660454401651 1 48h
vnz_00120 -0.444775961022998 1 18h
vnz_00120 -0.524950544684474 1 24h
vnz_00120 -0.400448587782368 1 48h
vnz_00125 -0.618430067980733 1 18h
vnz_00125 -0.627277431901617 1 24h
vnz_00125 -0.351488757536746 1 48h
vnz_00130 -0.487747414325631 1 18h
vnz_00130 -0.69688199505774 1 24h
vnz_00130 -0.38061915065665 1 48h
vnz_00135 -0.606640765304498 1 18h
vnz_00135 -0.765229848626066 1 24h
vnz_00135 -0.52202484340317 1 48h
vnz_00140 -1.05899739112744 0.05 18h
vnz_00140 -0.827847566197068 1 24h
vnz_00140 -0.632540517000608 1 48h
vnz_00145 -0.537481372961942 1 18h
vnz_00145 -0.803880439272084 1 24h
vnz_00145 -0.649379401739562 1 48h
vnz_00150 -0.440231160486074 1 18h
vnz_00150 -0.928482159561293 0.05 24h
vnz_00150 -0.289277857307854 1 48h
vnz_00155 -0.537442293163377 1 18h
vnz_00155 -0.413325980987276 1 24h
vnz_00155 -0.500252076727017 1 48h
vnz_00160 -0.3725974953696 1 18h
vnz_00160 -0.756585169020754 1 24h
vnz_00160 -0.297842148877939 1 48h
vnz_00165 -0.118222535376976 1 18h
vnz_00165 -0.307548894476369 1 24h
vnz_00165 -0.154346288016765 1 48h
vnz_00170 -0.46652672254972 1 18h
vnz_00170 -0.695266921915209 1 24h
vnz_00170 -0.427364738218314 1 48h
vnz_00175 -0.27926253107814 1 18h
vnz_00175 -0.321347682629042 1 24h
vnz_00175 -0.547104657351003 1 48h
vnz_00180 -0.578092604895962 1 18h
vnz_00180 -0.403003484455643 1 24h
vnz_00180 -0.742798528954951 0.05 48h
vnz_00185 -0.697508678746135 1 18h
vnz_00185 -0.360083110302421 1 24h
vnz_00185 -0.448775941859936 1 48h
vnz_00190 -0.4327204270048 1 18h
vnz_00190 -0.439415282471682 1 24h
vnz_00190 0.135027069945725 1 48h
vnz_00195 -0.542380714709082 1 18h
vnz_00195 -0.499633392895705 1 24h
vnz_00195 -0.359606852464976 1 48h
vnz_00200 -0.678014077147062 1 18h
vnz_00200 -0.410716686127275 1 24h
vnz_00200 -0.430866252422838 1 48h
vnz_00205 -0.370566922577557 1 18h
vnz_00205 -0.477975694121428 1 24h
vnz_00205 -0.365833665680782 1 48h
vnz_00210 -0.557117402920908 1 18h
vnz_00210 -0.556105027212362 1 24h
vnz_00210 -0.336687338758987 1 48h
vnz_00215 -0.637744986395601 1 18h
vnz_00215 -0.200720804094748 1 24h
vnz_00215 -0.39655896250609 1 48h
vnz_00220 0.170867317016786 1 18h
vnz_00220 -0.0402932775624789 1 24h
vnz_00220 0.208507587701615 1 48h
vnz_00225 -0.218228907714994 1 18h
vnz_00225 -0.292799504451085 1 24h
vnz_00225 -0.152778897152601 1 48h
vnz_00230 -0.289493295906247 1 18h
