gene logFC FDR add_variable
SCO0001 0.058921548 0.737770191 delgbn24h
SCO0002 -0.014386746 0.963384142 delgbn24h
SCO0003 -0.051712134 0.817012991 delgbn24h
SCO0004 -0.094072784 0.618416969 delgbn24h
SCO0005 -0.011956795 0.96852158 delgbn24h
SCO0006 0.020593722 0.938951754 delgbn24h
SCO0007 0.094542226 1 delgbn24h
SCO0008 0.013071531 1 delgbn24h
SCO0009 0.065607674 1 delgbn24h
SCO0010 0.097964144 0.61048855 delgbn24h
SCO0011 -0.003709178 0.990166035 delgbn24h
SCO0012 0.128652081 0.493669952 delgbn24h
SCO0013 0.021060418 1 delgbn24h
SCO0014 -0.028165999 0.878504852 delgbn24h
SCO0015 0.003259041 1 delgbn24h
SCO0016 0.051334415 1 delgbn24h
SCO0017 -0.077422942 0.54268829 delgbn24h
SCO0018 -0.013487106 0.966556693 delgbn24h
SCO0019 0.143954412 0.306159731 delgbn24h
SCO0020 -0.027491682 0.887660627 delgbn24h
SCO0021 0.113006147 0.50114332 delgbn24h
SCO0022 0.039914323 1 delgbn24h
SCO0025 -0.019166089 1 delgbn24h
SCO0026 0.241474108 0.192687582 delgbn24h
SCO0027 0.188103651 0.271163597 delgbn24h
SCO0028 0.013477045 1 delgbn24h
SCO0029 -0.035266594 1 delgbn24h
SCO0030 0.034585449 1 delgbn24h
SCO0031 0.056927542 0.686463427 delgbn24h
SCO0033 0.02321558 0.864199722 delgbn24h
SCO0034 0.038234652 1 delgbn24h
SCO0035 0.00778567 1 delgbn24h
SCO0036 -0.034018521 0.804685151 delgbn24h
SCO0037 0.081708465 0.675579389 delgbn24h
SCO0038 0.121774182 0.477535013 delgbn24h
SCO0039 0.086782765 0.476250491 delgbn24h
SCO0040 -0.029809009 0.806156478 delgbn24h
SCO0041 0.005641009 1 delgbn24h
SCO0042 0.014089956 0.9370812 delgbn24h
SCO0043 0.103527315 0.564026956 delgbn24h
SCO0044 0.060531471 1 delgbn24h
SCO0045 -0.008270726 1 delgbn24h
SCO0046 -0.066121979 0.719841598 delgbn24h
SCO0047 -0.209811877 0.233917132 delgbn24h
SCO0048 0.014076944 1 delgbn24h
SCO0049 -0.015079326 0.893323802 delgbn24h
SCO0050 -0.059411119 1 delgbn24h
SCO0055 0.22374851 0.138287327 delgbn24h
SCO0056 0.027318174 1 delgbn24h
SCO0057 0.007413782 0.980526541 delgbn24h
SCO0058 0.018860933 0.940595386 delgbn24h
SCO0059 -0.09431367 0.638423481 delgbn24h
SCO0060 0.436201398 0.097298171 delgbn24h
SCO0061 0.188785519 0.283295082 delgbn24h
SCO0062 0.042393965 0.852166429 delgbn24h
SCO0063 0.14553735 0.396241573 delgbn24h
SCO0064 0.08342951 0.61308288 delgbn24h
SCO0065 -0.070656327 0.606823018 delgbn24h
SCO0066 0.072148321 0.657689167 delgbn24h
SCO0067 0.095572964 0.465618211 delgbn24h
SCO0068 -0.025742847 1 delgbn24h
SCO0069 -0.149895866 0.376984871 delgbn24h
SCO0070 0.022575278 1 delgbn24h
SCO0071 0.004041014 1 delgbn24h
SCO0072 0.095675915 0.624329558 delgbn24h
SCO0073 0.009415014 1 delgbn24h
SCO0074 0.005085362 1 delgbn24h
SCO0075 0.091220402 0.579822879 delgbn24h
SCO0079 0.01204523 0.96852158 delgbn24h
SCO0080 0.123525483 0.497950173 delgbn24h
SCO0083 -0.040868691 0.782234155 delgbn24h
SCO0084 0.009304109 0.972595405 delgbn24h
SCO0085 0.10938533 0.402149386 delgbn24h
SCO0086 0.050631231 0.816972112 delgbn24h
SCO0087 0.506853051 0.05603368 delgbn24h
SCO0088 0.06852763 0.714523109 delgbn24h
SCO0089 0.286765143 0.046859474 delgbn24h
