gene	FC in WT at T30	FC in WT at T45	FDR	
sven_5279	76.4	15.0	3.91E-05	
sven_5281	26.0	8.3	1.34E-05	
sven_2720	21.6	6.0	8.24E-03	
sven_5280	16.0	6.8	4.90E-04	
sven_2606	15.4	3.9	8.92E-06	
sven_0745	13.6	9.9	1.72E-04	
sven_4809	12.5	3.7	3.58E-07	
sven_0933	11.7	7.2	4.03E-02	
sven_6300	9.8	2.9	3.20E-02	
sven_4564	9.2	7.3	4.32E-06	
sven_1595	8.7	2.2	1.38E-05	
sven_3456	7.9	6.2	9.06E-04	
sven_1523	7.7	4.5	5.71E-04	
sven_2474	7.4	2.7	2.70E-03	
sven_3334	7.3	4.6	1.42E-06	
sven_0739	7.2	4.4	2.51E-08	
sven_3030	7.1	4.1	1.27E-07	
sven_0867	6.7	5.2	1.08E-04	
sven_1874	6.5	3.6	2.52E-02	
sven_3001	6.4	7.5	1.71E-06	
sven_5427	6.4	2.2	4.25E-02	
sven_1172	6.4	10.1	4.55E-05	
sven_6667	6.0	3.1	3.20E-04	
sven_3458	5.9	2.7	1.69E-02	
sven_3383	5.9	9.9	3.39E-04	
sven_0779	5.8	3.5	2.82E-02	
sven_4820	5.7	2.7	5.17E-04	
sven_6135	5.7	4.2	1.94E-03	
sven_2419	5.7	2.0	9.93E-03	
sven_3474	5.6	4.5	1.82E-07	
sven_1169	5.5	8.7	1.18E-03	
sven_3292	5.4	7.0	3.45E-03	
sven_4152	5.4	2.8	3.58E-07	
sven_6071	5.4	11.5	2.21E-02	
sven_1173	5.1	6.5	4.41E-05	
sven_2176	5.0	3.9	4.29E-02	
sven_2575	5.0	7.1	1.70E-08	
sven_4575	4.9	3.2	8.91E-06	
sven_2018	4.8	3.3	3.86E-03	
sven_4151	4.6	3.1	7.99E-08	
sven_1168	4.6	6.0	2.27E-04	
sven_3057	4.6	2.3	2.86E-08	
sven_0157	4.6	2.4	8.40E-06	
sven_7188	4.5	13.6	1.50E-02	
sven_2128	4.5	8.2	3.65E-02	
sven_2932	4.4	5.0	1.27E-02	
sven_5471	4.4	2.8	5.97E-09	
sven_5899	4.4	2.2	1.45E-07	
sven_2177	4.3	3.4	3.56E-04	
sven_1171	4.2	7.4	3.84E-05	
sven_3410	4.2	3.5	2.17E-06	
sven_5938	4.1	6.6	3.07E-02	
sven_3957	4.1	2.3	1.27E-02	
sven_0712	4.1	2.1	3.29E-02	
sven_2692	4.1	4.2	1.27E-07	
sven_6456	4.0	2.5	2.44E-04	
sven_2576	4.0	8.6	1.27E-07	
sven_1176	4.0	8.2	1.12E-04	
sven_1860	3.9	3.2	3.38E-02	
sven_2693	3.9	5.1	1.09E-04	
sven_7105	3.7	3.0	1.38E-04	
sven_0332	3.7	4.7	6.84E-04	
sven_0738	3.7	3.2	6.03E-03	
sven_0837	3.6	2.1	1.89E-02	
sven_3000	3.6	3.3	1.84E-06	
sven_1174	3.5	6.8	5.05E-04	
sven_3472	3.5	2.1	2.10E-04	
sven_0977	3.5	2.1	2.33E-05	
sven_4582	3.4	2.5	2.51E-08	
sven_5010	3.4	3.4	4.68E-09	
sven_3772	3.3	4.8	1.56E-03	
sven_1170	3.3	4.1	9.87E-06	
sven_6863	3.3	2.2	2.23E-07	
sven_1522	3.3	2.4	1.57E-03	
sven_3462	3.3	2.5	2.45E-06	
sven_3421	3.2	2.4	7.09E-05	
sven_1213	3.1	2.7	2.55E-03	
sven_1166	3.1	2.9	1.24E-02	
sven_3915	3.0	2.6	1.33E-04	
sven_3940	2.9	2.5	6.49E-06	
sven_3248	2.8	2.6	3.36E-06	
sven_3463	2.8	3.1	8.52E-03	
sven_0868	2.8	2.7	1.80E-03	
sven_3432	2.7	3.3	1.35E-04	
sven_1778	2.7	2.3	3.72E-03	
sven_6718	2.7	5.0	3.93E-02	
sven_0252	2.6	5.1	2.83E-02	
sven_1038	2.6	3.1	3.74E-04	
sven_4583	2.6	2.7	3.80E-02	
sven_4823	2.6	3.8	4.05E-02	
sven_1928	2.6	2.3	3.21E-03	
sven_2382	2.6	2.0	1.69E-02	
sven_3061	2.5	2.2	4.52E-05	
sven_1175	2.5	5.5	1.58E-03	
sven_0999	2.5	3.0	3.77E-02	
sven_1165	2.5	5.0	2.38E-02	
sven_3384	2.5	3.1	1.79E-05	
sven_3062	2.5	2.6	1.27E-07	
sven_3595	2.4	5.3	1.55E-02	
sven_4346	2.3	2.8	3.01E-06	
sven_1039	2.3	2.1	2.23E-04	
sven_2086	2.3	3.8	3.31E-02	
sven_5663	2.3	3.0	8.13E-03	
sven_0177	2.3	2.6	1.37E-03	
sven_3473	2.2	2.4	1.46E-02	
sven_3433	2.2	2.4	2.78E-07	
sven_3459	2.2	4.2	5.79E-03	
sven_6938	2.2	2.4	1.52E-02	
sven_2559	2.2	4.0	1.81E-02	
sven_5904	2.2	3.8	8.61E-04	
sven_5592	2.2	2.1	2.99E-02	
sven_2479	2.2	2.5	4.50E-02	
sven_0835	2.2	2.2	1.57E-04	
sven_5343	2.1	3.9	9.70E-03	
sven_7333	2.1	2.3	3.58E-03	
sven_4858	2.0	2.4	8.87E-04	
