gene	hupS13-hupS22_fdr	hupS13-wt13_fdr	hupS22-wt22_fdr	wt13-wt22_fdr	hupS13-hupS22	hupS13-wt13	hupS22-wt22	wt13-wt22
vnz_00010	0.963490906152473	0.678272754738406	0.331750377720955	0.152281436543732	NA	NA	NA	NA
vnz_00020	0.17765545974859	0.943024954490051	0.109902248581048	0.859779391523204	NA	NA	NA	NA
vnz_00025	0.0335639058065324	0.352335619426951	0.00707963021807254	0.0192309121938476	-2.1224868815473013	NA	7.545708705477825	6.532644642142641
vnz_00030	0.107959869690971	0.123098215721576	0.0101528844962154	0.00743362032739942	NA	NA	3.5902447746132413	3.724133512991962
vnz_00035	0.848262587819341	0.0778616845486712	0.0029975406733764	0.104285351249283	NA	NA	-2.309747136267285	NA
vnz_00040	1	0.0476598837022579	0.0022494884260407	0.25951155816919	NA	-1.8467067942572095	-2.678521922498669	NA
vnz_00045	0.0792859049516425	0.274699686398466	0.135499032299308	0.058530341002368	NA	NA	NA	NA
vnz_00055	0.619618401998248	0.271435768123424	0.810838781472772	0.375415155449365	NA	NA	NA	NA
vnz_00060	0.305487884965675	0.252848136031107	0.997182184348642	0.800771102673995	NA	NA	NA	NA
vnz_00065	0.691104152295047	0.886513344734586	0.801646361681345	0.655192194453431	NA	NA	NA	NA
vnz_00070	0.907039249295761	0.782156897640772	0.275990360358191	0.78852999733548	NA	NA	NA	NA
vnz_00075	0.359966930293323	0.939003051301302	0.000787873764745208	0.00149284664429168	NA	NA	4.511082735845064	3.869322656936091
vnz_00080	0.940177689210879	0.657246220407151	0.0524851638433367	0.0183663861342262	NA	NA	NA	8.055000983637287
vnz_00085	0.816531154961841	0.625431447374766	0.160959077019179	0.0898466933899591	NA	NA	NA	NA
vnz_00090	0.102537834867881	0.971880240371094	0.0169011638259156	0.23385195699882	NA	NA	2.502000241240711	NA
vnz_00095	0.303735188907549	0.468776734441492	0.799488875309724	0.888925416044946	NA	NA	NA	NA
vnz_00100	0.0257086272840725	0.287517403943848	0.889355348219495	0.446637900748281	-1.6650304714309416	NA	NA	NA
vnz_00105	0.244768738238496	0.792184622729891	0.66602643434785	0.83842153072944	NA	NA	NA	NA
vnz_00110	0.339766621864069	0.971337464011664	0.633078339600318	0.728960220504636	NA	NA	NA	NA
vnz_00115	0.209857268819083	0.262247801388701	0.663209798488173	0.625906369961685	NA	NA	NA	NA
vnz_00120	0.794556115549662	0.64539531701699	0.645957712398825	0.136538149386917	NA	NA	NA	NA
vnz_00125	0.576070742198254	0.44513290238905	0.120420121213065	0.0686369965629379	NA	NA	NA	NA
vnz_00130	0.494256432882053	0.605243641912166	0.155128016999877	0.15437200539779	NA	NA	NA	NA
vnz_00135	0.146764384371325	0.0454521258718332	0.221794818763917	0.0399096264530889	NA	-2.850906820519076	NA	2.688809390380477
vnz_00140	0.596842203547291	0.0743823420413173	0.118753246885286	0.0134838065884358	NA	NA	NA	5.3414958496469795
vnz_00145	0.324701551361884	0.0740105936289195	0.529866147143049	0.00732743772324044	NA	NA	NA	4.854968367305078
