gene	48h_logFC	64h_logFC	88h_logFC
SCO1674	0,08	0,06	0,09
SCO1675	0,08	0,06	0,12
SCO1800	0,21	0,13	0,21
SCO2699	0,09	0,08	0,14
SCO2705	0,11	0,08	0,16
SCO2716	0,09	0,08	0,15
SCO2717	0,03	0,03	0,05
SCO7257	0,05	0,06	0,07
SCO2718	0,01	0,01	0,03
SCO2719	0,04	0,06	0,1
SCO3167	0,16	0,44	0,43
SCO4767	1,53	0,24	0,32
SCO5621	0,19	0,22	0,24
SCO5819	0,17	0,11	0,09
SCO6029	0,44	0,29	0,35
SCO5314	1,85	0,16	0,44
SCO5315	1,81	0,08	0,17
SCO5316	0,61	0,05	0,06
SCO5318	1,53	0,3	0,56
SCO5319	0,95	0,14	0,26
SCO5320	1,61	0,14	0,42
SCO5321	1,12	0,42	0,74
SCO1489	0,62	0,3	0,33
SCO3323	0,18	0,09	0,1
SCO4768	0,38	0,32	0,37
SCO5723	0,41	0,48	0,47
SCO1541	0,41	0,09	0,14
SCO2924	0,87	0,33	0,34
SCO3158	1,27	0,41	0,44
SCO3925	0,32	0,42	0,71
SCO3926	0,29	0,27	0,4
SCO1088	1,54	0,37	0,49
SCO1089	2,61	0,34	0,47
SCO2804	0,33	0,17	0,17
SCO3714	0,12	0,16	0,15
SCO4002	0,22	0,19	0,31
SCO4239	0,36	0,27	0,33
SCO4772	0,27	0,21	0,46
SCO5174	0,14	0,3	0,31
SCO5218	0,25	0,32	0,38
SCO5803	0,26	0,25	0,18
SCO6440	0,14	0,2	0,41
SCO7449	0,43	0,02	0,04
SCO0584	0,19	0,22	0,33
SCO0585	0,14	0,19	0,2
SCO0586	0,45	0,43	0,5
SCO0587	0,46	0,88	0,48
SCO0588	0,37	0,4	0,22
SCO1157	0,23	0,63	0,93
SCO1158	0,11	0,32	0,34
SCO1159	0,11	0,24	0,29
SCO1160	0,48	1,07	0,8
SCO1626	0,14	0,13	0,13
SCO1627	0,28	0,32	0,39
SCO1628	0,14	0,21	0,21
SCO1629	0,14	0,13	0,13
SCO1630	0,15	0,17	0,16
SCO6794	0,09	0,2	0,22
SCO6795	0,15	0,27	0,35
SCO6796	0,29	0,36	0,44
SCO6797	0,14	0,24	0,25
SCO3579	0,05	0,05	0,06
SCO4035	0,48	0,27	0,43
SCO5582	0,42	0,34	0,36
SCO3210	3,24	1,35	1,8
SCO3211	2,05	1,95	2,16
SCO3212	2,04	1,43	2,28
SCO3213	3,96	2,44	2,13
SCO3215	3,8	2,51	2,4
SCO3217	2,31	2,22	1,54
SCO3218	6,24	4,18	3,63
SCO3220	4,55	2,16	2,63
SCO3221	5,59	1,33	1,74
SCO3222	5,65	2,69	2,24
SCO3228	2,59	1,58	2,25
SCO3229	5,46	2,58	3,01
SCO3230	4,26	2,61	2,71
SCO3231	2,47	1,6	2,36
SCO3232	2,37	1,75	1,88
SCO3233	6,94	2,81	2,96
SCO3234	2,13	1,52	1,82
SCO3235	3,1	2,93	1,82
SCO3236	6,78	3,05	2,97
SCO3237	2,16	1,38	1,35
SCO3238	3,07	1,38	1,87
SCO3239	4,33	2,22	2,3
SCO3240	2,37	1,78	1,62
SCO3241	3,8	1,97	2,36
SCO3242	1,59	0,84	0,93
SCO3243	10,14	1,79	2,74
SCO3244	5,89	2,49	2,68
SCO3245	3,48	1,55	1,6
SCO3246	2,43	1,57	1,92
SCO3247	3,7	2,18	2,15
SCO3248	3,21	1,35	2,01
SCO3249	5,24	1,88	2,14
SCO5070	1,88	2,47	2,42
SCO5071	5,49	4,17	5,28
SCO5072	4,1	1,8	3,83
SCO5073	8,46	7,25	9,94
SCO5074	7,07	5,65	8,95
SCO5075	5,38	3,63	6,93
SCO5076	4,17	3,52	4,97
SCO5077	6,18	5,35	7,03
SCO5078	6,51	5,33	8
SCO5079	8,53	9,11	11,79
SCO5080	8,4	20,16	19,78
SCO5081	5,64	5,65	6,56
SCO5082	2,34	2,88	1,84
SCO5083	3,3	4,42	3,3
SCO5084	4,02	5,31	3,96
SCO5085	5,65	13,65	8,5
SCO5086	6,99	6,02	8,87
SCO5087	2,94	2,06	3,01
SCO5088	5,97	4,74	7,25
SCO5089	8,34	8,79	13,16
SCO5090	6,65	5,93	8,59
SCO5091	4,81	4,09	5,6
SCO5092	3,71	2,7	4,01
SCO5877	2,93	1,62	1,5
SCO5878	2,09	1,88	1,33
SCO5880	2,4	1,89	1,63
SCO5884	3,29	2,23	2,07
SCO5885	2,12	1,97	1,97
SCO5886	2,36	1,54	1,53
SCO5887	2,44	1,23	1,43
SCO5890	3,23	1,69	1,47
SCO5891	2,6	1,86	1,84
SCO5892	3,51	2,77	2,23
SCO5893	2,3	1,38	1,66
SCO5895	3,14	1,81	1,91
SCO5897	6,81	2,97	2,57
SCO6273	2	1,84	1,81
SCO6275	2,53	1,96	2,28
SCO6276	2,24	1,67	1,68
SCO6277	1,38	2,07	1,86
SCO6280	2,33	1,77	2,19
SCO6284	3,28	7,67	5,93
SCO6285	1,92	2,54	2,76
SCO5222	2,58	2,66	1,52
SCO5223	2,02	2,29	1,5
SCO4921	2,33	2,92	2,96
SCO5535	4,95	3,18	3,67
SCO5536	4,1	2	2,64
SCO0999	6,89	4,05	5,02
SCO2633	7,57	4,2	5,52
SCO6266	2,21	3,74	4,02
SCO6681	2,9	2,37	2,82
SCO6682	4,31	7,42	9,44
			
