gene	logFC_24h	logFC_30h	logFC_36h	logFC_42h	logFC_54h	FDR									
SCO0001	0,49	0,87	0,91	1,92	1,45	1,0966									
SCO0008	1,69	1,84	2,44	1,07	2,26	0,0011									
SCO0016	2,12	0,84	1,47	0,77	1,16	0,4867									
SCO0036	2,48	1,49	1,35	1,03	1,32	0,0818									
SCO0038	0,65	1,07	0,39	0,84	0,67	0,0824									
SCO0056	0,37	1,24	0,59	2,26	1,95	0,2743									
SCO0057	0,74	0,46	1,02	1,26	1,51	0,4548									
SCO0060	0,99	1,04	1,58	2,63	4,07	0,002									
SCO0097	0,41	0,82	1,89	1,15	1,5	0,9002									
SCO0112	0,26	1,05	0,91	1,85	1,49	0,228									
SCO0117	1,33	0,91	0,32	0,97	0,56	0,15									
SCO0128	0,77	1,09	2,48	1,14	1,48	NA									
SCO0129	2,05	1,4	1,72	1,17	1,59	0,0204									
SCO0146	2,66	1,65	1,14	1,12	1,6	0,0314									
SCO0156	0,73	0,75	1,2	2,18	2,05	0,1042									
SCO0160	0,8	0,73	1,33	1,91	2,19	0,1442									
SCO0162	1,02	0,74	0,46	0,76	1,2	0,0187									
SCO0167	0,72	0,66	0,32	0,64	0,87	0,0059									
SCO0168	0,49	0,43	0,1	0,54	0,9	0									
SCO0169	0,69	0,43	0,13	0,37	0,55	0									
SCO0170	1,12	0,83	0,44	0,65	0,78	0,0658									
SCO0171	1,1	0,82	0,63	0,81	0,98	0,2394									
SCO0172	1,1	0,46	1,46	1,22	2,06	0,9469									
SCO0174	0,75	0,72	0,43	0,86	1,3	0,0304									
SCO0177	0,96	0,66	0,39	0,63	0,82	0,0195									
SCO0181	0,91	0,44	0,39	0,56	0,94	0,0068									
SCO0185	2,57	3,38	0,93	2,14	2,3	0									
SCO0186	2,18	3,62	1,07	2,69	2,82	0									
SCO0187	1,61	2,58	1,2	2,19	2,24	0,0006									
SCO0188	2,24	3,43	1,31	3,22	2,89	0									
SCO0189	2,05	2,8	0,89	2,01	1,42	0,0043									
SCO0190	1,98	3,16	0,87	1,86	1,37	0,0033									
SCO0191	2,8	3,04	0,89	2,13	1,49	0,0008									
SCO0194	1,16	2,2	0,83	0,86	1,92	0,1441									
SCO0195	1,42	2,56	0,99	1,19	2,61	0,0097									
SCO0196	1,82	2,03	0,89	1,53	2,14	0,0242									
SCO0199	0,95	0,79	0,32	0,64	0,93	0,0233									
SCO0200	0,68	0,61	0,25	0,48	0,65	0,0029									
SCO0201	0,64	0,46	0,3	0,5	0,64	0,0008									
SCO0204	0,45	0,39	0,18	0,34	0,45	0									
SCO0214	1,45	0,53	0,33	0,46	0,74	0,0083									
SCO0216	0,72	0,66	0,31	0,88	0,94	0,0275									
SCO0217	0,91	0,8	0,44	0,89	1,01	0,2193						NarJ2			
SCO0218	0,69	0,72	0,33	0,8	1,01	0,0664						NarI2			
SCO0219	1	0,53	0,24	0,65	0,83	0,0091									
SCO0223	0,95	1,51	0,48	1,62	1,55	1,2206									
SCO0224	2,22	1,31	1,02	1	1,12	0,4358									
SCO0226	1,61	1,82	1,36	1,69	1,95	0,0085									
SCO0251	0,31	0,78	0,95	1,67	1,72	0,4366									
SCO0252	2,07	1,16	1,21	1,11	1,18	0,2924									
SCO0355	0,9	1,09	1	2,39	1,69	0,0831									
SCO0375	0,66	0,55	1	0,46	0,49	0,0764									
SCO0379	0,41	0,89	0,53	0,29	0,39	0,0016									
SCO0380	0,49	0,91	1,05	0,58	0,71	0,2589									
SCO0381	0,42	0,78	1,05	0,7	0,63	0,2491									
SCO0382	0,42	0,73	0,86	0,79	0,63	0,2125									
SCO0383	0,44	0,71	0,82	0,63	0,56	0,0827									
SCO0392	0,37	0,71	1,05	0,77	0,7	0,1683									
SCO	#	Fold	Change*	pfp	Protein	Annotation									
SCO0393	0,39	0,8	0,82	0,7	0,59	0,0869									
SCO0415	0,64	0,8	2,14	1,61	2,83	0,036									
SCO0426	2,66	1,37	1,15	1,13	1,27	0,0639									
