gene	FDR	fold	add_variable	foldodwrot
SCO0006	1	1	PS04vsMGP10	1
SCO0008	1	1	PS04vsMGP10	1
SCO0013	1	1	PS04vsMGP10	1
SCO0022	1	1	PS04vsMGP10	1
SCO0028	1	1	PS04vsMGP10	1
SCO0030	1	1	PS04vsMGP10	1
SCO0040	1	1	PS04vsMGP10	1
SCO0042	1	1	PS04vsMGP10	1
SCO0064	1	1	PS04vsMGP10	1
SCO0073	1	1	PS04vsMGP10	1
SCO0085	1	1	PS04vsMGP10	1
SCO0124	1	1	PS04vsMGP10	1
SCO0149	1	1	PS04vsMGP10	1
SCO0157	1	1	PS04vsMGP10	1
SCO0158	1	1	PS04vsMGP10	1
SCO0159	1	1	PS04vsMGP10	1
SCO0161	1	1	PS04vsMGP10	1
SCO0183	1	1	PS04vsMGP10	1
SCO0228	1	1	PS04vsMGP10	1
SCO0292	1	1	PS04vsMGP10	1
SCO0313	1	1	PS04vsMGP10	1
SCO0324	1	1	PS04vsMGP10	1
SCO0334	1	1	PS04vsMGP10	1
SCO0355	1	1	PS04vsMGP10	1
SCO0363	1	1	PS04vsMGP10	1
SCO0369	1	1	PS04vsMGP10	1
SCO0370	1	1	PS04vsMGP10	1
SCO0372	1	1	PS04vsMGP10	1
SCO0374	1	1	PS04vsMGP10	1
SCO0389	1	1	PS04vsMGP10	1
SCO0390	1	1	PS04vsMGP10	1
SCO0398	1	1	PS04vsMGP10	1
SCO0453	1	1	PS04vsMGP10	1
SCO0480	1	1	PS04vsMGP10	1
SCO0518	1	1	PS04vsMGP10	1
SCO0534	1	1	PS04vsMGP10	1
SCO0545	1	1	PS04vsMGP10	1
SCO0547	1	1	PS04vsMGP10	1
SCO0548	1	1	PS04vsMGP10	1
SCO0564	1	1	PS04vsMGP10	1
SCO0614	1	1	PS04vsMGP10	1
SCO0627	1	1	PS04vsMGP10	1
SCO0643	1	1	PS04vsMGP10	1
SCO0650	1	1	PS04vsMGP10	1
SCO0651	1	1	PS04vsMGP10	1
SCO0652	1	1	PS04vsMGP10	1
SCO0706	1	1	PS04vsMGP10	1
SCO0708	1	1	PS04vsMGP10	1
SCO0709	1	1	PS04vsMGP10	1
SCO0710	1	1	PS04vsMGP10	1
SCO0711	1	1	PS04vsMGP10	1
SCO0712	1	1	PS04vsMGP10	1
SCO0713	1	1	PS04vsMGP10	1
SCO0752	1	1	PS04vsMGP10	1
SCO0774	1	1	PS04vsMGP10	1
SCO0829	1	1	PS04vsMGP10	1
SCO0830	1	1	PS04vsMGP10	1
SCO0880	1	1	PS04vsMGP10	1
SCO0890	1	1	PS04vsMGP10	1
SCO0894	1	1	PS04vsMGP10	1
SCO0949	1	1	PS04vsMGP10	1
SCO1031	1	1	PS04vsMGP10	1
SCO1044	1	1	PS04vsMGP10	1
SCO1052	1	1	PS04vsMGP10	1
SCO1061	1	1	PS04vsMGP10	1
SCO1062	1	1	PS04vsMGP10	1
SCO1063	1	1	PS04vsMGP10	1
SCO1064	1	1	PS04vsMGP10	1
SCO1065	1	1	PS04vsMGP10	1
SCO1100	1	1	PS04vsMGP10	1
SCO1157	1	1	PS04vsMGP10	1
SCO1158	1	1	PS04vsMGP10	1
SCO1187	1	1	PS04vsMGP10	1
SCO1226	1	1	PS04vsMGP10	1
SCO1271	1	1	PS04vsMGP10	1
SCO1281	1	1	PS04vsMGP10	1
SCO1282	1	1	PS04vsMGP10	1
SCO1284	1	1	PS04vsMGP10	1
SCO1285	1	1	PS04vsMGP10	1
SCO1287	1	1	PS04vsMGP10	1
SCO1288	1	1	PS04vsMGP10	1
SCO1328	1	1	PS04vsMGP10	1
SCO1354	1	1	PS04vsMGP10	1
SCO1355	1	1	PS04vsMGP10	1
SCO1694	1	1	PS04vsMGP10	1
SCO1757	1	1	PS04vsMGP10	1
SCO1823	1	1	PS04vsMGP10	1
SCO1879	1	1	PS04vsMGP10	1
SCO1880	1	1	PS04vsMGP10	1
SCO1884	1	1	PS04vsMGP10	1
SCO1899	1	1	PS04vsMGP10	1
SCO2029	1	1	PS04vsMGP10	1
SCO2030	1	1	PS04vsMGP10	1
SCO2031	1	1	PS04vsMGP10	1
SCO2222	1	1	PS04vsMGP10	1
SCO2327	1	1	PS04vsMGP10	1
SCO2348	1	1	PS04vsMGP10	1
SCO2403	1	1	PS04vsMGP10	1
SCO2410	1	1	PS04vsMGP10	1
SCO2412	1	1	PS04vsMGP10	1
SCO2418	1	1	PS04vsMGP10	1
SCO2421	1	1	PS04vsMGP10	1
SCO2425	1	1	PS04vsMGP10	1
SCO2432	1	1	PS04vsMGP10	1
SCO2433	1	1	PS04vsMGP10	1
SCO2434	1	1	PS04vsMGP10	1
SCO2480	1	1	PS04vsMGP10	1
SCO2500	1	1	PS04vsMGP10	1
SCO2502	1	1	PS04vsMGP10	1
SCO2519	1	1	PS04vsMGP10	1
SCO2567	1	1	PS04vsMGP10	1
SCO2698	1	1	PS04vsMGP10	1
SCO2702	1	1	PS04vsMGP10	1
SCO2710	1	1	PS04vsMGP10	1
SCO2711	1	1	PS04vsMGP10	1
SCO2712	1	1	PS04vsMGP10	1
SCO2720	1	1	PS04vsMGP10	1
SCO2926	1	1	PS04vsMGP10	1
SCO2982	1	1	PS04vsMGP10	1
SCO3213	1	1	PS04vsMGP10	1
SCO3221	1	1	PS04vsMGP10	1
SCO3228	1	1	PS04vsMGP10	1
SCO3237	1	1	PS04vsMGP10	1
SCO3238	1	1	PS04vsMGP10	1
SCO3242	1	1	PS04vsMGP10	1
SCO3252	1	1	PS04vsMGP10	1
SCO3253	1	1	PS04vsMGP10	1
SCO3254	1	1	PS04vsMGP10	1
SCO3256	1	1	PS04vsMGP10	1
SCO3266	1	1	PS04vsMGP10	1
SCO3514	1	1	PS04vsMGP10	1
SCO3515	1	1	PS04vsMGP10	1
SCO3516	1	1	PS04vsMGP10	1
SCO3517	1	1	PS04vsMGP10	1
SCO3518	1	1	PS04vsMGP10	1
SCO3519	1	1	PS04vsMGP10	1
SCO3526	1	1	PS04vsMGP10	1
SCO3527	1	1	PS04vsMGP10	1
SCO3528	1	1	PS04vsMGP10	1
SCO3531	1	1	PS04vsMGP10	1
SCO3532	1	1	PS04vsMGP10	1
SCO3533	1	1	PS04vsMGP10	1
SCO3584	1	1	PS04vsMGP10	1
SCO3588	1	1	PS04vsMGP10	1
SCO3642	1	1	PS04vsMGP10	1
SCO3752	1	1	PS04vsMGP10	1
SCO3936	1	1	PS04vsMGP10	1
SCO3938	1	1	PS04vsMGP10	1
SCO4064	1	1	PS04vsMGP10	1
SCO4380	1	1	PS04vsMGP10	1
SCO4382	1	1	PS04vsMGP10	1
SCO4622	1	1	PS04vsMGP10	1
SCO4842	1	1	PS04vsMGP10	1
SCO4843	1	1	PS04vsMGP10	1
SCO4844	1	1	PS04vsMGP10	1
SCO4874	1	1	PS04vsMGP10	1
SCO4880	1	1	PS04vsMGP10	1
SCO4937	1	1	PS04vsMGP10	1
SCO5053	1	1	PS04vsMGP10	1
SCO5054	1	1	PS04vsMGP10	1
SCO5067	1	1	PS04vsMGP10	1
SCO5108	1	1	PS04vsMGP10	1
SCO5118	1	1	PS04vsMGP10	1
SCO5119	1	1	PS04vsMGP10	1
SCO5301	1	1	PS04vsMGP10	1
SCO5319	1	1	PS04vsMGP10	1
SCO5340	1	1	PS04vsMGP10	1
SCO5341	1	1	PS04vsMGP10	1
SCO5342	1	1	PS04vsMGP10	1
SCO5343	1	1	PS04vsMGP10	1
SCO5344	1	1	PS04vsMGP10	1
SCO5346	1	1	PS04vsMGP10	1
SCO5347	1	1	PS04vsMGP10	1
SCO5653	1	1	PS04vsMGP10	1
SCO5690	1	1	PS04vsMGP10	1
SCO5800	1	1	PS04vsMGP10	1
SCO5884	1	1	PS04vsMGP10	1
SCO5892	1	1	PS04vsMGP10	1
SCO5924	1	1	PS04vsMGP10	1
SCO5939	1	1	PS04vsMGP10	1
SCO5944	1	1	PS04vsMGP10	1
SCO5985	1	1	PS04vsMGP10	1
SCO6089	1	1	PS04vsMGP10	1
SCO6145	1	1	PS04vsMGP10	1
SCO6164	1	1	PS04vsMGP10	1
SCO6181	1	1	PS04vsMGP10	1
SCO6182	1	1	PS04vsMGP10	1
SCO6183	1	1	PS04vsMGP10	1
SCO6185	1	1	PS04vsMGP10	1
SCO6186	1	1	PS04vsMGP10	1
SCO6187	1	1	PS04vsMGP10	1
SCO6189	1	1	PS04vsMGP10	1
SCO6190	1	1	PS04vsMGP10	1
SCO6214	1	1	PS04vsMGP10	1
SCO6275	1	1	PS04vsMGP10	1
SCO6338	1	1	PS04vsMGP10	1
SCO6365	1	1	PS04vsMGP10	1
SCO6372	1	1	PS04vsMGP10	1
SCO6392	1	1	PS04vsMGP10	1
SCO6417	1	1	PS04vsMGP10	1
SCO6420	1	1	PS04vsMGP10	1
SCO6436	1	1	PS04vsMGP10	1
SCO6533	1	1	PS04vsMGP10	1
SCO6547	1	1	PS04vsMGP10	1
SCO6567	1	1	PS04vsMGP10	1
SCO6568	1	1	PS04vsMGP10	1
SCO6572	1	1	PS04vsMGP10	1
SCO6574	1	1	PS04vsMGP10	1
SCO6575	1	1	PS04vsMGP10	1
SCO6576	1	1	PS04vsMGP10	1
SCO6578	1	1	PS04vsMGP10	1
SCO6579	1	1	PS04vsMGP10	1
SCO6584	1	1	PS04vsMGP10	1
SCO6601	1	1	PS04vsMGP10	1
SCO6602	1	1	PS04vsMGP10	1
SCO6603	1	1	PS04vsMGP10	1
SCO6716	1	1	PS04vsMGP10	1
SCO6786	1	1	PS04vsMGP10	1
SCO6787	1	1	PS04vsMGP10	1
SCO6793	1	1	PS04vsMGP10	1
SCO6809	1	1	PS04vsMGP10	1
SCO6818	1	1	PS04vsMGP10	1
SCO6819	1	1	PS04vsMGP10	1
SCO6820	1	1	PS04vsMGP10	1
SCO6831	1	1	PS04vsMGP10	1
SCO6839	1	1	PS04vsMGP10	1
SCO6842	1	1	PS04vsMGP10	1
SCO6843	1	1	PS04vsMGP10	1
SCO6845	1	1	PS04vsMGP10	1
SCO6846	1	1	PS04vsMGP10	1
SCO6847	1	1	PS04vsMGP10	1
SCO6848	1	1	PS04vsMGP10	1
SCO6849	1	1	PS04vsMGP10	1
SCO6850	1	1	PS04vsMGP10	1
SCO6851	1	1	PS04vsMGP10	1
SCO6852	1	1	PS04vsMGP10	1
SCO6854	1	1	PS04vsMGP10	1
SCO6856	1	1	PS04vsMGP10	1
SCO6857	1	1	PS04vsMGP10	1
SCO6858	1	1	PS04vsMGP10	1
SCO6864	1	1	PS04vsMGP10	1
SCO6866	1	1	PS04vsMGP10	1
SCO6867	1	1	PS04vsMGP10	1
SCO6868	1	1	PS04vsMGP10	1
SCO6869	1	1	PS04vsMGP10	1
SCO6870	1	1	PS04vsMGP10	1
SCO6871	1	1	PS04vsMGP10	1
SCO6872	1	1	PS04vsMGP10	1
SCO6873	1	1	PS04vsMGP10	1
SCO6874	1	1	PS04vsMGP10	1
SCO6875	1	1	PS04vsMGP10	1
SCO6876	1	1	PS04vsMGP10	1
SCO6878	1	1	PS04vsMGP10	1
SCO6879	1	1	PS04vsMGP10	1
SCO6880	1	1	PS04vsMGP10	1
SCO6882	1	1	PS04vsMGP10	1
SCO6883	1	1	PS04vsMGP10	1
SCO6885	1	1	PS04vsMGP10	1
SCO6887	1	1	PS04vsMGP10	1
SCO6888	1	1	PS04vsMGP10	1
SCO6889	1	1	PS04vsMGP10	1
SCO6892	1	1	PS04vsMGP10	1
SCO6893	1	1	PS04vsMGP10	1
SCO6894	1	1	PS04vsMGP10	1
SCO6895	1	1	PS04vsMGP10	1
SCO6897	1	1	PS04vsMGP10	1
SCO6898	1	1	PS04vsMGP10	1
SCO6899	1	1	PS04vsMGP10	1
SCO6900	1	1	PS04vsMGP10	1
SCO6901	1	1	PS04vsMGP10	1
SCO6902	1	1	PS04vsMGP10	1
SCO6903	1	1	PS04vsMGP10	1
SCO6919	1	1	PS04vsMGP10	1
SCO6921	1	1	PS04vsMGP10	1
SCO6938	1	1	PS04vsMGP10	1
SCO6946	1	1	PS04vsMGP10	1
SCO6949	1	1	PS04vsMGP10	1
SCO6959	1	1	PS04vsMGP10	1
SCO6963	1	1	PS04vsMGP10	1
SCO7029	1	1	PS04vsMGP10	1
SCO7035	1	1	PS04vsMGP10	1
SCO7064	1	1	PS04vsMGP10	1
SCO7068	1	1	PS04vsMGP10	1
SCO7082	1	1	PS04vsMGP10	1
SCO7094	1	1	PS04vsMGP10	1
SCO7096	1	1	PS04vsMGP10	1
SCO7103	1	1	PS04vsMGP10	1
SCO7115	1	1	PS04vsMGP10	1
SCO7116	1	1	PS04vsMGP10	1
SCO7117	1	1	PS04vsMGP10	1
SCO7118	1	1	PS04vsMGP10	1
SCO7119	1	1	PS04vsMGP10	1
SCO7122	1	1	PS04vsMGP10	1
SCO7155	1	1	PS04vsMGP10	1
SCO7176	1	1	PS04vsMGP10	1
SCO7177	1	1	PS04vsMGP10	1
SCO7180	1	1	PS04vsMGP10	1
SCO7182	1	1	PS04vsMGP10	1
SCO7204	1	1	PS04vsMGP10	1
