gene	WT	logFC_deltasigR
SCO0564	2,1	1,2
SCO0882	1	1,2
SCO0885	8	1,7
SCO1340	2	1,3
SCO1384	2,7	0,7
SCO1392	2	0,7
SCO1421	5,8	0,7
SCO1513	1,1	1,5
SCO1831	2,2	1,1
SCO1839	2,1	1
SCO1869	0,8	0,4
SCO1919	2,7	0,4
SCO1920	3,1	1
SCO1958	2,7	1,1
SCO1995	2,1	0,8
SCO1996	1,7	1,2
SCO1997	7,1	1,1
SCO2161	1,1	2,2
SCO2537	2,8	1,3
SCO2619	3,8	1,3
SCO2634	16,4	1,3
SCO2643	4,4	0,9
SCO2849	2,5	1,1
SCO2910	1,9	1,1
SCO2911	3,2	1,6
SCO2912	2,6	0,7
SCO3083	2,3	0,3
SCO3091	9,4	0,7
SCO3162	1,8	0,8
SCO3187	1,5	1,4
SCO3202	1,8	1,3
SCO3206	51,7	0,9
SCO3403	1,6	1,2
SCO3415	0,6	1,4
SCO3764	3,7	0,7
SCO3889	10,2	1
SCO3890	8,5	1,2
SCO4039	2,6	1
SCO4198	1,7	0,8
SCO4199	2,3	1,3
SCO4204	2,2	0,5
SCO4297	3,3	1,3
SCO4316	2,6	0,9
SCO4501	2,1	0,9
SCO4736	3,5	0,8
SCO4770	2,4	0,9
SCO4956	7,9	1,4
SCO4967	4,7	0,9
SCO4968	3,7	0,6
SCO5042	2,2	1,1
SCO5177	2,4	1,3
SCO5178	2,9	1,3
SCO5187	3,4	1,4
SCO5216	5,4	0,7
SCO5217	7,8	1
SCO5285	2,9	3
SCO5359	1,6	0,5
SCO5465	3,8	1,1
SCO5545	2,1	0,8
SCO5655	2,4	0,6
SCO5754	2,1	1,6
SCO5755	1,1	0,9
SCO5796	3,4	0,7
SCO6061	5,3	0,9
SCO6423	6,1	1,4
SCO6424	2	0,9
SCO6551	6,6	1,3
SCO6577	2,2	0,7
SCO6759	1,8	0,5
SCO7117	3,5	0,9
SCO7203	2,1	1,1
SCO7632	4,4	0,9
