ID	log2_fc_18h	log2_fc_24h	log2_fc_48h	FDR
WP_071892363.1	-1,179803036	-0,81623707	-0,914912887	0
WP_145953680.1	-0,651095119	-0,528279743	-0,295139776	0
WP_041661885.1	-1,01761718	-0,66696734	-0,563826858	0
WP_015031217.1	-1,063589438	-0,713734499	-0,719495499	0
WP_106433662.1	-0,583320353	-0,542757251	-0,42245379	0
WP_015031220.1	-0,677467745	-0,624980624	-0,738276032	0
WP_015031223.1	0,6248557	0,258032847	0,267622133	0
WP_041661890.1	-0,340087633	-0,667029688	-0,35035732	0
WP_106433791.1	-0,55993131	-0,743906266	-0,420492874	0
WP_015031228.1	-1,291589879	-1,508803028	-1,090473761	0
WP_015031231.1	-0,331412796	-0,65487324	-0,296615903	0
WP_015031232.1	-0,434602041	-0,699183259	-0,442765367	0
WP_015031233.1	-0,629742185	-0,74718881	-0,402069857	0
WP_106433792.1	-0,261996551	-0,542519807	-0,510544348	0
WP_106433793.1	-0,493159517	-0,558818091	-0,431991556	0
WP_015031237.1	-0,451962856	-0,507309857	-0,546547423	0
WP_015031238.1	-0,090197985	-0,279393404	-0,333660454	0
WP_015031239.1	-0,444775961	-0,524950545	-0,400448588	0
WP_015031240.1	-0,618430068	-0,627277432	-0,351488758	0
WP_041661892.1	-0,487747414	-0,696881995	-0,380619151	0
WP_041663351.1	-0,606640765	-0,765229849	-0,522024843	0
WP_015031243.1	-1,058997391	-0,827847566	-0,632540517	0
WP_015031244.1	-0,537481373	-0,803880439	-0,649379402	0
WP_015031245.1	-0,44023116	-0,92848216	-0,289277857	0
WP_015031246.1	-0,537442293	-0,413325981	-0,500252077	0
WP_015031247.1	-0,372597495	-0,756585169	-0,297842149	0
WP_041661893.1	-0,118222535	-0,307548894	-0,154346288	0
WP_041663357.1	-0,466526723	-0,695266922	-0,427364738	0
WP_015031251.1	-0,279262531	-0,321347683	-0,547104657	0
WP_078508564.1	-0,578092605	-0,403003484	-0,742798529	0
