gene	whiA18	whiA36	whiA48	whiH18	whiH36	whiH48	WT36	WT48
SCO0001	0,305969206	-0,026370988	-0,100696646	0,092305485	0,112217309	-0,005475039	0,417095263	0,597131509
SCO0017	0,179603489	0,042146707	-0,04036185	0,108937629	0,243647589	0,165145939	0,421387911	0,444472996
SCO0312	0,155270605	-0,144111727	-0,082149204	0,22598333		0,085944326	0,456026545	0,637089779
SCO0340	0,103051737		-0,604964448	0,148878038	-0,642803387	-0,809126031	0,524983546	0,442174531
SCO0361	0,269030434	0,4901408	0,594429781	-0,05363573		-0,066637331	0,035812852	-0,082785536
SCO0399	0,025956671	-0,128648899	-0,26083097	0,085729405	-0,607548574	-0,368045864	-0,479593072	-0,637540614
SCO0400	0,140596785			0,404470368	-0,032365183		-0,810886666	-0,569011637
SCO0550	0,042869352	0,278526279	0,574644488	0,401273932	-0,018941086	0,0733437	-0,693225376	-0,898723928
SCO0566	0,142413121	-0,849216385	-0,813752227	-0,019335658	-0,002633788	-0,024304504	0,685610124	0,695233461
SCO0591	0,019857483	-0,702766245	-1,250373819	0,118916314	-0,419771778	-0,549273207	0,450259953	0,683037301
SCO0593	0,158213773	-0,227756008	-0,843547872	-0,134614488	0,136229646	-0,291711598		-0,116264773
SCO0629	0,327934936	-0,038829591	-0,040916478	0,418981235	0,052301482	0,20742165	0,830051155	0,831572201
SCO0651		-1,001717204	-1,473052325		-0,86982694	-1,512747372		1,277700459
SCO0654		-2,660784665	-2,435999828		-2,345239479	-2,12485527	1,409633211	1,998551515
SCO0655	0,444970005	-1,625216235	-2,548040096		-1,223127528	-2,487872708	2,024791304	1,758422552
SCO0660	0,437510143	-0,162170696	-0,155870178	-0,405391434	-0,039790307	0,157839644	-0,388226601	-0,826776205
SCO0689	0,062667347	-0,319073183	-0,556987155	0,269743809	-0,127583918	-0,378823943	0,493248324	0,445997767
SCO0701	0,111209819	0,077435025	-0,119386383	0,246031376	0,286999753	0,085400991	0,587984246	0,861042668
SCO0736	0,417123596	-0,370271471	0,044055208	-0,446500149	-0,403744759	-0,213959644	-0,950886313	-1,288924503
SCO0743	-0,069844905	-0,784547594	-1,250964416	-0,19263079	0,00336498	-0,056677433	0,814221841	0,813734481
SCO0752	0,601919624	-0,388631261	-0,246512049	-0,398398341			-0,980788294	-1,418177996
SCO0834		-2,624706707	-4,098406591	-0,353272931	-1,595030954	-1,848641083	1,829872095	2,655275379
SCO0890	0,321399352	0,013114692	0,017035715	0,458263377	0,117422944	0,161222225	0,42621521	0,54607112
