logFC	FDR	gene	add_variable
4,9584	0	SCO5632	liquid culture
0,8492	0,002147	SCO2718	liquid culture
6,0526	0	SCO4174	liquid culture
4,7483	0	SCO0955	liquid culture
-0,5393	0,011965	SCO6164	liquid culture
4,7006	0	SCO6650	liquid culture
5,8134	0	SCO6992	liquid culture
3,446	0	SCO2717	liquid culture
3,8374	0	SCO3290	liquid culture
7,2064	0	SCO1800	liquid culture
3,6603	0	SCO3288	liquid culture
5,2439	0	SCO5521	liquid culture
4,9534	0	SCO2217	liquid culture
2,1796	1,00E-06	SCO3289	liquid culture
3,6271	0	SCO4440	liquid culture
5,3249	0	SCO4442	liquid culture
4,9097	0	SCO1675	liquid culture
5,1454	0	SCO0682	liquid culture
2,0577	0	SCO6995	liquid culture
3,7061	0	SCO1756	liquid culture
0,4798	0,034142	SCO2719	liquid culture
5,8345	0	SCO6682	liquid culture
5,2615	0	SCO2492	liquid culture
6,2711	0	SCO5826	liquid culture
1,7325	1,00E-06	SCO6440	liquid culture
6,5165	0	SCO1839	liquid culture
4,5054	0	SCO1674	liquid culture
1,5879	2,00E-06	SCO6441	liquid culture
4,6545	0	SCO0930	liquid culture
5,8041	0	SCO4175	liquid culture
4,8561	0	SCO3323	liquid culture
6,0891	0	SCO0683	liquid culture
3,0569	0	SCO7647	liquid culture
-0,0911	0,710901	SCO6165	liquid culture
6,737	0	SCO3328	liquid culture
5,2142	0	SCO4677	liquid culture
4,3335	0	SCO6652	liquid culture
3,7901	0	SCO1573	liquid culture
7,9333	0	SCO7251	liquid culture
0,1446	0,517057	SCO7434	liquid culture
0,1355	0,574995	SCO0934	liquid culture
1,9942	1,00E-06	SCO1474	liquid culture
4,6169	0	SCO4793	liquid culture
0,1275	0,550534	SCO5316	liquid culture
5,457	0	SCO1029	liquid culture
1,9791	0	SCO1541	liquid culture
5,9357	0	SCO2819	liquid culture
4,3514	0	SCO2954	liquid culture
3,855	0	SCO0644	liquid culture
5,551	0	SCO0383	liquid culture
0,0381	0,877696	SCO6162	liquid culture
4,7782	0	SCO2976	liquid culture
-1,0256	0,000845	SCO3487	liquid culture
3,6669	0	SCO6655	liquid culture
0,7797	0,001268	SCO0671	liquid culture
5,7625	0	SCO1630	liquid culture
5,5681	0	SCO5071	liquid culture
0,5116	0,009636	SCO7574	liquid culture
5,5332	0	SCO2804	liquid culture
5,9696	0	SCO5074	liquid culture
4,337	0	SCO1161	liquid culture
-1,0602	3,00E-06	SCO3863	liquid culture
4,9308	0	SCO4335	liquid culture
5,3037	0	SCO0381	liquid culture
