gene	MvsTFC	MvsTpval	MvsLFC	MvsLpval	MvsSFC	MvsSpval	TvsLFC	TvsLpval	TvsSFC	TvsSpval	LvsSFC	LvsSpval
SCO0026	2,12	8,E-04	1,31	2,E-01	0,59	1,E-02	0,62	3,E-02	0,28	3,E-09	0,45	2,E-04
SCO0033	62,29	1,E-09	62,35	9,E-10	201,57	1,E-13	1,00	1,E+00	3,24	2,E-02	3,23	2,E-02
SCO0044	0,46	1,E-02	0,25	8,E-05	0,13	4,E-08	0,55	1,E-01	0,29	2,E-03	0,53	2,E-01
SCO0055	1,58	2,E-02	1,05	7,E-01	0,44	1,E-04	0,66	5,E-02	0,28	1,E-09	0,42	3,E-05
SCO0058	1,20	4,E-01	0,78	2,E-01	0,33	1,E-07	0,66	4,E-02	0,28	7,E-10	0,42	4,E-05
SCO0064	0,96	8,E-01	0,62	4,E-02	1,50	8,E-02	0,65	6,E-02	1,57	4,E-02	2,40	1,E-04
SCO0065	2,35	8,E-02	2,02	1,E-01	3,14	1,E-02	0,86	7,E-01	1,34	5,E-01	1,56	3,E-01
SCO0066	1,93	1,E-01	1,17	8,E-01	3,28	7,E-03	0,60	3,E-01	1,70	2,E-01	2,81	2,E-02
SCO0072	2,36	9,E-05	2,97	1,E-06	2,24	2,E-04	1,26	3,E-01	0,95	8,E-01	0,76	2,E-01
SCO0075	1,02	1,E+00	1,81	9,E-02	3,12	5,E-04	1,77	9,E-02	3,04	3,E-04	1,72	7,E-02
SCO0079	1,69	4,E-01	3,62	3,E-03	7,91	7,E-08	2,14	3,E-02	4,69	2,E-06	2,19	1,E-02
SCO0080	0,71	2,E-01	0,78	4,E-01	2,05	2,E-02	1,10	7,E-01	2,90	2,E-04	2,64	1,E-03
SCO0084	0,90	8,E-01	1,22	6,E-01	2,16	1,E-02	1,35	3,E-01	2,39	3,E-03	1,77	6,E-02
SCO0096	1,25	3,E-01	0,60	3,E-02	0,69	1,E-01	0,48	1,E-03	0,55	7,E-03	1,14	6,E-01
SCO0102	0,84	4,E-01	0,38	1,E-05	0,31	2,E-07	0,45	5,E-04	0,37	1,E-05	0,81	4,E-01
SCO0103	0,82	3,E-01	0,34	1,E-07	0,24	2,E-11	0,41	2,E-05	0,29	8,E-09	0,72	1,E-01
SCO0104	0,89	5,E-01	0,35	5,E-06	0,11	9,E-18	0,39	7,E-05	0,13	4,E-16	0,33	2,E-05
SCO0106	1,42	4,E-01	6,04	1,E-05	4,69	1,E-04	4,25	1,E-04	3,30	1,E-03	0,78	5,E-01
SCO0107	2,32	1,E-03	4,44	6,E-09	4,86	8,E-10	1,92	6,E-03	2,10	2,E-03	1,09	7,E-01
SCO0110	1,66	8,E-02	2,02	9,E-03	2,83	6,E-05	1,22	4,E-01	1,71	2,E-02	1,40	2,E-01
SCO0119	1,18	7,E-01	26,57	5,E-22	4,45	6,E-06	22,45	6,E-22	3,76	2,E-05	0,17	6,E-10
SCO0120	1,71	3,E-01	11,66	7,E-11	7,09	4,E-07	6,83	5,E-09	4,15	1,E-05	0,61	9,E-02
SCO0121	1,50	5,E-01	17,17	3,E-14	10,11	2,E-09	11,47	1,E-13	6,75	1,E-08	0,59	5,E-02
SCO0124	1,35	9,E-01	14,35	5,E-05	14,40	5,E-05	10,64	8,E-05	10,68	5,E-05	1,00	1,E+00
SCO0126	1,30	5,E-01	8,41	4,E-06	8,13	5,E-06	6,45	3,E-05	6,23	3,E-05	0,97	1,E+00
SCO0127	0,73	3,E-01	4,46	4,E-09	3,49	6,E-07	6,07	2,E-12	4,75	5,E-10	0,78	3,E-01
SCO0131	18,29	2,E-09	197,89	8,E-23	210,59	2,E-23	10,82	2,E-08	11,51	3,E-09	1,06	8,E-01
SCO0132	1,11	5,E-01	1,67	1,E-02	3,76	7,E-10	1,50	7,E-02	3,38	1,E-08	2,25	1,E-04
SCO0135	1,42	4,E-01	7,21	8,E-09	6,14	8,E-08	5,08	1,E-07	4,33	9,E-07	0,85	6,E-01
SCO0141	1,73	2,E-01	4,20	4,E-04	18,07	4,E-11	2,42	2,E-02	10,42	8,E-09	4,30	2,E-04
SCO0147	0,75	1,E-01	0,70	7,E-02	0,46	3,E-04	0,93	7,E-01	0,61	3,E-02	0,66	7,E-02
SCO0150	0,69	1,E-01	0,59	2,E-02	0,47	1,E-03	0,85	5,E-01	0,68	1,E-01	0,80	4,E-01
SCO0151	0,65	2,E-01	0,33	3,E-03	0,18	1,E-05	0,51	8,E-02	0,28	1,E-03	0,56	2,E-01
SCO0152	0,59	8,E-02	0,60	8,E-02	0,24	9,E-06	1,01	1,E+00	0,40	5,E-03	0,40	8,E-03
SCO0154	1,19	4,E-01	1,01	9,E-01	0,12	3,E-08	0,85	6,E-01	0,10	2,E-10	0,12	1,E-08
SCO0162	0,82	8,E-01	0,85	8,E-01	8,76	4,E-03	1,03	1,E+00	10,68	1,E-03	10,33	1,E-03
SCO0165	0,76	5,E-01	1,76	1,E-01	3,44	2,E-04	2,33	1,E-02	4,55	2,E-06	1,96	3,E-02
SCO0166	1,33	3,E-01	2,06	6,E-03	4,71	5,E-09	1,55	9,E-02	3,54	4,E-07	2,28	1,E-03
SCO0167	1,17	9,E-01	1,03	1,E+00	14,74	4,E-03	0,87	9,E-01	12,58	4,E-03	14,38	3,E-03
SCO0171	2,18	6,E-01	0,84	8,E-01	12,78	3,E-02	0,38	4,E-01	5,85	9,E-02	15,27	2,E-02
SCO0174	0,74	8,E-01	0,22	1,E-01	7,33	3,E-02	0,30	2,E-01	9,92	1,E-02	32,88	6,E-04
SCO0175	0,34	3,E-03	0,16	2,E-05	0,13	9,E-07	0,48	1,E-01	0,38	3,E-02	0,79	7,E-01
SCO0178	0,63	7,E-02	0,23	2,E-07	0,13	3,E-12	0,37	4,E-04	0,20	6,E-08	0,54	9,E-02
