"gene","add_variable","logFC","FDR","start","end","width","strand"
"SCO0001","DosdRvsM512_24h",-1.02914634565952,1.0966,446,1123,678,"+"
"SCO0001","DosdRvsM512_30h",0.53605290024021,1.0966,446,1123,678,"+"
"SCO0001","DosdRvsM512_42h",-0.136061549576028,1.0966,446,1123,678,"+"
"SCO0001","DosdRvsM512_36h",-0.200912693925996,1.0966,446,1123,678,"+"
"SCO0001","DosdRvsM512_54h",0.941106310946431,1.0966,446,1123,678,"+"
"SCO0008","DosdRvsM512_24h",0.75702324650746,0.0011,11010,11360,351,"-"
"SCO0008","DosdRvsM512_30h",1.17632277264046,0.0011,11010,11360,351,"-"
"SCO0008","DosdRvsM512_42h",1.28688114778816,0.0011,11010,11360,351,"-"
"SCO0008","DosdRvsM512_36h",0.879705766282288,0.0011,11010,11360,351,"-"
"SCO0008","DosdRvsM512_54h",0.0976107966264223,0.0011,11010,11360,351,"-"
"SCO0016","DosdRvsM512_24h",1.08406426478847,0.4867,17715,17918,204,"+"
"SCO0016","DosdRvsM512_30h",0.214124805352847,0.4867,17715,17918,204,"+"
"SCO0016","DosdRvsM512_42h",0.55581615506164,0.4867,17715,17918,204,"+"
"SCO0016","DosdRvsM512_36h",-0.251538766995964,0.4867,17715,17918,204,"+"
"SCO0016","DosdRvsM512_54h",-0.377069649079823,0.4867,17715,17918,204,"+"
"SCO0036","DosdRvsM512_24h",1.31034012061215,0.0818,30116,30355,240,"-"
"SCO0036","DosdRvsM512_30h",0.400537929583729,0.0818,30116,30355,240,"-"
"SCO0036","DosdRvsM512_42h",0.432959407276106,0.0818,30116,30355,240,"-"
"SCO0036","DosdRvsM512_36h",0.575312330687437,0.0818,30116,30355,240,"-"
"SCO0036","DosdRvsM512_54h",0.0426443374084937,0.0818,30116,30355,240,"-"
"SCO0038","DosdRvsM512_24h",-0.62148837674627,0.0824,31146,31274,129,"-"
"SCO0038","DosdRvsM512_30h",-0.577766999316952,0.0824,31146,31274,129,"-"
"SCO0038","DosdRvsM512_42h",-1.35845397091248,0.0824,31146,31274,129,"-"
"SCO0038","DosdRvsM512_36h",0.0976107966264223,0.0824,31146,31274,129,"-"
"SCO0038","DosdRvsM512_54h",-0.251538766995964,0.0824,31146,31274,129,"-"
"SCO0056","DosdRvsM512_24h",-1.43440282414577,0.2743,43768,43857,90,"+"
"SCO0056","DosdRvsM512_30h",0.963474123974886,0.2743,43768,43857,90,"+"
"SCO0056","DosdRvsM512_42h",-0.761213140412883,0.2743,43768,43857,90,"+"
"SCO0056","DosdRvsM512_36h",0.31034012061215,0.2743,43768,43857,90,"+"
"SCO0056","DosdRvsM512_54h",1.17632277264046,0.2743,43768,43857,90,"+"
"SCO0057","DosdRvsM512_24h",-0.434402824145775,0.4548,43950,44090,141,"+"
"SCO0057","DosdRvsM512_30h",0.594548549550354,0.4548,43950,44090,141,"+"
"SCO0057","DosdRvsM512_42h",0.0285691521967709,0.4548,43950,44090,141,"+"
"SCO0057","DosdRvsM512_36h",-1.12029423371771,0.4548,43950,44090,141,"+"
"SCO0057","DosdRvsM512_54h",0.333423733725192,0.4548,43950,44090,141,"+"
"SCO0060","DosdRvsM512_24h",-0.0144995696951151,0.002,46064,46201,138,"+"
"SCO0060","DosdRvsM512_30h",2.02502879449152,0.002,46064,46201,138,"+"
"SCO0060","DosdRvsM512_42h",0.659924558402378,0.002,46064,46201,138,"+"
"SCO0060","DosdRvsM512_36h",0.0565835283663675,0.002,46064,46201,138,"+"
"SCO0060","DosdRvsM512_54h",1.39506279951758,0.002,46064,46201,138,"+"
"SCO0097","DosdRvsM512_24h",-1.28630418515664,0.9002,80845,81165,321,"-"
"SCO0097","DosdRvsM512_30h",0.584962500721156,0.9002,80845,81165,321,"-"
"SCO0097","DosdRvsM512_42h",0.918386234446348,0.9002,80845,81165,321,"-"
"SCO0097","DosdRvsM512_36h",-0.286304185156641,0.9002,80845,81165,321,"-"
"SCO0097","DosdRvsM512_54h",0.20163386116965,0.9002,80845,81165,321,"-"
"SCO0112","DosdRvsM512_24h",-1.94341647163363,0.228,92773,92928,156,"-"
"SCO0112","DosdRvsM512_30h",0.575312330687437,0.228,92773,92928,156,"-"
"SCO0112","DosdRvsM512_42h",-0.136061549576028,0.228,92773,92928,156,"-"
