"gene","add_variable","logFC","FDR","start","end","width","strand"
"SCO0043","DargRvsWT32h",0.033,0.999071,35179,35907,729,"-"
"SCO0043","DargRvsWT42h",1.552,0,35179,35907,729,"-"
"SCO0043","DargRvsWT49h",0.65,0.008696,35179,35907,729,"-"
"SCO0043","DargRvsWT56h",0.156,0.71905,35179,35907,729,"-"
"SCO0043","DargRvsWT66h",0.095,0.855517,35179,35907,729,"-"
"SCO0053","DargRvsWT32h",-0.139,0.684814,41354,42174,821,"+"
"SCO0053","DargRvsWT42h",-0.465,0.002854,41354,42174,821,"+"
"SCO0053","DargRvsWT49h",-0.502,0.002136,41354,42174,821,"+"
"SCO0053","DargRvsWT56h",-0.361,0.040632,41354,42174,821,"+"
"SCO0053","DargRvsWT66h",-0.083,0.770634,41354,42174,821,"+"
"SCO0056","DargRvsWT32h",-0.032,0.999071,43768,43857,90,"+"
"SCO0056","DargRvsWT42h",-0.067,0.931947,43768,43857,90,"+"
"SCO0056","DargRvsWT49h",-1.671,0.004959,43768,43857,90,"+"
"SCO0056","DargRvsWT56h",-0.217,0.853064,43768,43857,90,"+"
"SCO0056","DargRvsWT66h",-0.214,0.8644,43768,43857,90,"+"
"SCO0058","DargRvsWT32h",0.581,0.00628,44253,44975,723,"+"
"SCO0058","DargRvsWT42h",0.453,0.017776,44253,44975,723,"+"
"SCO0058","DargRvsWT49h",0.538,0.006606,44253,44975,723,"+"
"SCO0058","DargRvsWT56h",0.804,0.000244,44253,44975,723,"+"
"SCO0058","DargRvsWT66h",0.918,2.4e-05,44253,44975,723,"+"
"SCO0064","DargRvsWT32h",-0.382,0.127237,49821,51539,1719,"-"
"SCO0064","DargRvsWT42h",-0.552,0.006197,49821,51539,1719,"-"
"SCO0064","DargRvsWT49h",-0.231,0.249241,49821,51539,1719,"-"
"SCO0064","DargRvsWT56h",-0.188,0.553246,49821,51539,1719,"-"
"SCO0064","DargRvsWT66h",-0.491,0.017771,49821,51539,1719,"-"
"SCO0065","DargRvsWT32h",0.016,0.999071,51831,53144,1314,"+"
"SCO0065","DargRvsWT42h",-0.214,0.496627,51831,53144,1314,"+"
"SCO0065","DargRvsWT49h",-0.789,0.00594,51831,53144,1314,"+"
"SCO0065","DargRvsWT56h",0.154,0.765273,51831,53144,1314,"+"
"SCO0065","DargRvsWT66h",0.006,0.993225,51831,53144,1314,"+"
"SCO0097","DargRvsWT32h",-0.302,0.479228,80845,81165,321,"-"
"SCO0097","DargRvsWT42h",-0.496,0.049891,80845,81165,321,"-"
"SCO0097","DargRvsWT49h",-0.688,0.008196,80845,81165,321,"-"
"SCO0097","DargRvsWT56h",-0.194,0.641004,80845,81165,321,"-"
"SCO0097","DargRvsWT66h",-0.076,0.898175,80845,81165,321,"-"
"SCO0119","DargRvsWT32h",0.823,0.001099,97760,98281,522,"-"
"SCO0119","DargRvsWT42h",0.507,0.021259,97760,98281,522,"-"
"SCO0119","DargRvsWT49h",0.133,0.569564,97760,98281,522,"-"
"SCO0119","DargRvsWT56h",-0.114,0.786109,97760,98281,522,"-"
"SCO0119","DargRvsWT66h",0.234,0.416685,97760,98281,522,"-"
"SCO0121","DargRvsWT32h",0.498,0.306791,99335,99949,615,"-"
"SCO0121","DargRvsWT42h",1.065,0.001964,99335,99949,615,"-"
"SCO0121","DargRvsWT49h",0.331,0.333844,99335,99949,615,"-"
"SCO0121","DargRvsWT56h",0.131,0.84935,99335,99949,615,"-"
"SCO0121","DargRvsWT66h",-0.245,0.65087,99335,99949,615,"-"
"SCO0125","DargRvsWT32h",0.47,0.157155,105057,106640,1584,"+"
"SCO0125","DargRvsWT42h",0.719,0.005845,105057,106640,1584,"+"
"SCO0125","DargRvsWT49h",0.379,0.136498,105057,106640,1584,"+"
"SCO0125","DargRvsWT56h",0.053,0.934534,105057,106640,1584,"+"
"SCO0125","DargRvsWT66h",0.028,0.968416,105057,106640,1584,"+"
"SCO0126","DargRvsWT32h",0.437,0.051233,106637,112885,6249,"+"
"SCO0126","DargRvsWT42h",0.693,0.000514,106637,112885,6249,"+"
"SCO0126","DargRvsWT49h",0.153,0.441123,106637,112885,6249,"+"
"SCO0126","DargRvsWT56h",0.134,0.680225,106637,112885,6249,"+"
"SCO0126","DargRvsWT66h",-0.12,0.716676,106637,112885,6249,"+"
"SCO0127","DargRvsWT32h",0.297,0.139827,112932,119654,6723,"+"
"SCO0127","DargRvsWT42h",0.422,0.008297,112932,119654,6723,"+"
"SCO0127","DargRvsWT49h",-0.052,0.776976,112932,119654,6723,"+"
"SCO0127","DargRvsWT56h",0.01,0.981889,112932,119654,6723,"+"
"SCO0127","DargRvsWT66h",-0.106,0.69255,112932,119654,6723,"+"
"SCO0131","DargRvsWT32h",0.164,0.956479,121617,122456,840,"-"
"SCO0131","DargRvsWT42h",-0.819,0.028143,121617,122456,840,"-"
"SCO0131","DargRvsWT49h",0.037,0.938993,121617,122456,840,"-"
"SCO0131","DargRvsWT56h",0.137,0.858649,121617,122456,840,"-"
"SCO0131","DargRvsWT66h",1.295,0.001,121617,122456,840,"-"
"SCO0139","DargRvsWT32h",-1.576,0.000216,132327,132647,321,"+"
"SCO0139","DargRvsWT42h",-0.422,0.286833,132327,132647,321,"+"
"SCO0139","DargRvsWT49h",-0.436,0.23569,132327,132647,321,"+"
"SCO0139","DargRvsWT56h",0.192,0.784704,132327,132647,321,"+"
"SCO0139","DargRvsWT66h",-1.025,0.00739,132327,132647,321,"+"
"SCO0141","DargRvsWT32h",0.18,0.999071,133570,134121,552,"-"
"SCO0141","DargRvsWT42h",0.788,0.245844,133570,134121,552,"-"
"SCO0141","DargRvsWT49h",-0.754,0.236311,133570,134121,552,"-"
"SCO0141","DargRvsWT56h",-1.285,0.091462,133570,134121,552,"-"
"SCO0141","DargRvsWT66h",-2.986,3.7e-05,133570,134121,552,"-"
"SCO0160","DargRvsWT32h",-0.047,0.999071,149508,150209,702,"-"
"SCO0160","DargRvsWT42h",1.346,0.003618,149508,150209,702,"-"
"SCO0160","DargRvsWT49h",1.28,0.006908,149508,150209,702,"-"
"SCO0160","DargRvsWT56h",1.377,0.007481,149508,150209,702,"-"
"SCO0160","DargRvsWT66h",1.122,0.0175,149508,150209,702,"-"
"SCO0182","DargRvsWT32h",0.042,0.999071,170656,170880,225,"-"
"SCO0182","DargRvsWT42h",0.332,0.282843,170656,170880,225,"-"
"SCO0182","DargRvsWT49h",0.924,0.002528,170656,170880,225,"-"
"SCO0182","DargRvsWT56h",0.549,0.118256,170656,170880,225,"-"
"SCO0182","DargRvsWT66h",-0.023,0.977973,170656,170880,225,"-"
"SCO0186","DargRvsWT32h",0.254,0.358656,174943,176514,1572,"+"
"SCO0186","DargRvsWT42h",0.578,0.00197,174943,176514,1572,"+"
"SCO0186","DargRvsWT49h",0.179,0.335759,174943,176514,1572,"+"
"SCO0186","DargRvsWT56h",-0.077,0.834163,174943,176514,1572,"+"
"SCO0186","DargRvsWT66h",-0.197,0.408025,174943,176514,1572,"+"
"SCO0224","DargRvsWT32h",-1.651,0.009861,215807,216844,1038,"-"
"SCO0224","DargRvsWT42h",-0.687,0.25927,215807,216844,1038,"-"
"SCO0224","DargRvsWT49h",-0.605,0.291694,215807,216844,1038,"-"
"SCO0224","DargRvsWT56h",-1.915,0.002864,215807,216844,1038,"-"
"SCO0224","DargRvsWT66h",-1.104,0.06888,215807,216844,1038,"-"
"SCO0225","DargRvsWT32h",-0.297,0.900989,216834,217268,435,"-"
"SCO0225","DargRvsWT42h",-0.411,0.481506,216834,217268,435,"-"
"SCO0225","DargRvsWT49h",-1.456,0.006409,216834,217268,435,"-"
"SCO0225","DargRvsWT56h",-0.372,0.665215,216834,217268,435,"-"
"SCO0225","DargRvsWT66h",0.134,0.915528,216834,217268,435,"-"
"SCO0228","DargRvsWT32h",-0.207,0.999071,218973,219059,87,"+"
"SCO0228","DargRvsWT42h",-0.25,0.824753,218973,219059,87,"+"
"SCO0228","DargRvsWT49h",-1.209,0.152053,218973,219059,87,"+"
"SCO0228","DargRvsWT56h",-2.599,0.0072,218973,219059,87,"+"
"SCO0228","DargRvsWT66h",-2.352,0.008023,218973,219059,87,"+"
"SCO0247","DargRvsWT32h",-0.441,0.160124,236782,237807,1026,"+"
"SCO0247","DargRvsWT42h",-0.797,0.001455,236782,237807,1026,"+"
"SCO0247","DargRvsWT49h",-0.728,0.004581,236782,237807,1026,"+"
"SCO0247","DargRvsWT56h",-0.543,0.056467,236782,237807,1026,"+"
"SCO0247","DargRvsWT66h",0.456,0.080578,236782,237807,1026,"+"
"SCO0254","DargRvsWT32h",-0.033,0.999071,243022,243762,741,"-"
"SCO0254","DargRvsWT42h",-0.427,0.007282,243022,243762,741,"-"
"SCO0254","DargRvsWT49h",-0.007,0.97373,243022,243762,741,"-"
"SCO0254","DargRvsWT56h",-0.02,0.961817,243022,243762,741,"-"
"SCO0254","DargRvsWT66h",-0.136,0.552324,243022,243762,741,"-"
"SCO0269","DargRvsWT32h",0.134,0.746242,256526,259687,3162,"+"
"SCO0269","DargRvsWT42h",-0.102,0.594595,256526,259687,3162,"+"
"SCO0269","DargRvsWT49h",-0.454,0.007143,256526,259687,3162,"+"
"SCO0269","DargRvsWT56h",-0.482,0.008484,256526,259687,3162,"+"
"SCO0269","DargRvsWT66h",-0.215,0.263407,256526,259687,3162,"+"
"SCO0277","DargRvsWT32h",-0.111,0.946839,269020,269688,669,"-"
"SCO0277","DargRvsWT42h",-0.047,0.884988,269020,269688,669,"-"
"SCO0277","DargRvsWT49h",-0.655,0.007429,269020,269688,669,"-"
"SCO0277","DargRvsWT56h",-0.476,0.08905,269020,269688,669,"-"
"SCO0277","DargRvsWT66h",-0.424,0.093896,269020,269688,669,"-"
"SCO0278","DargRvsWT32h",-0.106,0.975951,269783,270397,615,"+"
"SCO0278","DargRvsWT42h",-0.239,0.435405,269783,270397,615,"+"
"SCO0278","DargRvsWT49h",-0.867,0.002601,269783,270397,615,"+"
"SCO0278","DargRvsWT56h",-0.077,0.899566,269783,270397,615,"+"
"SCO0278","DargRvsWT66h",-0.139,0.788734,269783,270397,615,"+"
"SCO0281","DargRvsWT32h",1.055,0.002503,272466,272834,369,"-"
"SCO0281","DargRvsWT42h",0.287,0.405643,272466,272834,369,"-"
"SCO0281","DargRvsWT49h",1.109,0.00093,272466,272834,369,"-"
"SCO0281","DargRvsWT56h",0.79,0.024478,272466,272834,369,"-"
"SCO0281","DargRvsWT66h",0.689,0.031838,272466,272834,369,"-"
"SCO0287","DargRvsWT32h",-0.108,0.869187,279691,280695,1005,"+"
"SCO0287","DargRvsWT42h",-0.359,0.036281,279691,280695,1005,"+"
"SCO0287","DargRvsWT49h",-0.465,0.008335,279691,280695,1005,"+"
"SCO0287","DargRvsWT56h",-0.284,0.199633,279691,280695,1005,"+"
"SCO0287","DargRvsWT66h",-0.123,0.654238,279691,280695,1005,"+"
"SCO0290","DargRvsWT32h",-0.265,0.672823,282491,283801,1311,"+"
"SCO0290","DargRvsWT42h",-0.258,0.426048,282491,283801,1311,"+"
"SCO0290","DargRvsWT49h",-0.946,0.001997,282491,283801,1311,"+"
"SCO0290","DargRvsWT56h",-0.359,0.396127,282491,283801,1311,"+"
"SCO0290","DargRvsWT66h",-0.697,0.018694,282491,283801,1311,"+"
