"gene","add_variable","logFC","FDR","start","end","width","strand"
"SCO0319","FC_decrease_in_soxR_mutant_versus_WT_day3",6.39231742277876,2e-28,319499,320008,510,"-"
"SCO0320","FC_decrease_in_soxR_mutant_versus_WT_day3",6.3037807481771,3e-21,320110,320583,474,"+"
"SCO1178","FC_decrease_in_soxR_mutant_versus_WT_day3",5.70043971814109,2e-21,1242334,1242783,450,"-"
"SCO4266","FC_decrease_in_soxR_mutant_versus_WT_day3",4.90689059560852,2e-28,4681886,4682866,981,"-"
"SCO7688","FC_decrease_in_soxR_mutant_versus_WT_day3",4.8073549220576,0.08,8523760,8524488,729,"+"
"SCO1177","FC_decrease_in_soxR_mutant_versus_WT_day3",4.52356195605701,7e-18,1241562,1242302,741,"+"
"SCO0321","FC_decrease_in_soxR_mutant_versus_WT_day3",4.16992500144231,7e-18,320699,322255,1557,"+"
"SCO1909","FC_decrease_in_soxR_mutant_versus_WT_day3",4.16992500144231,1e-22,2046252,2046959,708,"-"
"SCO1734","FC_decrease_in_soxR_mutant_versus_WT_day3",3.90689059560852,4e-11,1851848,1852918,1071,"+"
"SCO4021","FC_decrease_in_soxR_mutant_versus_WT_day3",3.4594316186373,0.06,4415941,4417515,1575,"+"
"SCO2478","FC_decrease_in_soxR_mutant_versus_WT_day3",2.8073549220576,0.3,2669524,2670111,588,"-"
"SCO7682","FC_decrease_in_soxR_mutant_versus_WT_day3",2.58496250072116,0.4,8506283,8512972,6690,"+"
"SCO4157","FC_decrease_in_soxR_mutant_versus_WT_day3",2.58496250072116,0.4,4573948,4574991,1044,"-"
"SCO020","FC_decrease_in_soxR_mutant_versus_WT_day3",2.58496250072116,0.003,NA,NA,NA,NA
"SCO6165","FC_decrease_in_soxR_mutant_versus_WT_day3",2.58496250072116,0.3,6768101,6768478,378,"+"
"SCO1697","FC_decrease_in_soxR_mutant_versus_WT_day3",2.32192809488736,0.008,1818351,1818878,528,"-"
"SCO2878","FC_decrease_in_soxR_mutant_versus_WT_day3",2.32192809488736,0.4,3131350,3133899,2550,"+"
"SCO7008","FC_decrease_in_soxR_mutant_versus_WT_day3",2.32192809488736,3e-09,7782661,7784535,1875,"+"
"SCO0319","FC_increase_in_WT_day3_vs_day1",6.64385618977472,9e-12,319499,320008,510,"-"
"SCO0320","FC_increase_in_WT_day3_vs_day1",5.70043971814109,5e-10,320110,320583,474,"+"
"SCO1178","FC_increase_in_WT_day3_vs_day1",5.61470984411521,1e-09,1242334,1242783,450,"-"
"SCO4266","FC_increase_in_WT_day3_vs_day1",3.8073549220576,4e-07,4681886,4682866,981,"-"
"SCO7688","FC_increase_in_WT_day3_vs_day1",0,1,8523760,8524488,729,"+"
"SCO1177","FC_increase_in_WT_day3_vs_day1",5,2e-07,1241562,1242302,741,"+"
"SCO0321","FC_increase_in_WT_day3_vs_day1",4.70043971814109,9e-08,320699,322255,1557,"+"
"SCO1909","FC_increase_in_WT_day3_vs_day1",3.4594316186373,7e-06,2046252,2046959,708,"-"
"SCO1734","FC_increase_in_WT_day3_vs_day1",4.58496250072116,2e-05,1851848,1852918,1071,"+"
"SCO4021","FC_increase_in_WT_day3_vs_day1",1,0.8,4415941,4417515,1575,"+"
"SCO2478","FC_increase_in_WT_day3_vs_day1",6.64385618977472,0.001,2669524,2670111,588,"-"
"SCO7682","FC_increase_in_WT_day3_vs_day1",0,0.8,8506283,8512972,6690,"+"
"SCO4157","FC_increase_in_WT_day3_vs_day1",2,0.4,4573948,4574991,1044,"-"
"SCO020","FC_increase_in_WT_day3_vs_day1",1,0.8,NA,NA,NA,NA
"SCO6165","FC_increase_in_WT_day3_vs_day1",6.64385618977472,8e-04,6768101,6768478,378,"+"
"SCO1697","FC_increase_in_WT_day3_vs_day1",0,1,1818351,1818878,528,"-"
"SCO2878","FC_increase_in_WT_day3_vs_day1",0,0.5,3131350,3133899,2550,"+"
"SCO7008","FC_increase_in_WT_day3_vs_day1",5.20945336562895,2e-09,7782661,7784535,1875,"+"
