"gene","add_variable","logFC","FDR","start","end","width","strand"
"SCO5070","DdraRKvsM145_36h",-2.43,0,5512268,5513452,1185,"-"
"SCO5070","DdraRKvsM145_48h",-0.42,0,5512268,5513452,1185,"-"
"SCO5070","DdraRKvsM145_60h",-1.35,0,5512268,5513452,1185,"-"
"SCO5071","DdraRKvsM145_36h",-6.565,0,5513809,5514249,441,"-"
"SCO5071","DdraRKvsM145_48h",-3.595,0,5513809,5514249,441,"-"
"SCO5071","DdraRKvsM145_60h",-3.765,0,5513809,5514249,441,"-"
"SCO5072","DdraRKvsM145_36h",-7.485,0,5514323,5515246,924,"+"
"SCO5072","DdraRKvsM145_48h",-5.699,0,5514323,5515246,924,"+"
"SCO5072","DdraRKvsM145_60h",-4.705,0,5514323,5515246,924,"+"
"SCO5073","DdraRKvsM145_36h",-7.715,0,5515243,5516232,990,"+"
"SCO5073","DdraRKvsM145_48h",-6.62,0,5515243,5516232,990,"+"
"SCO5073","DdraRKvsM145_60h",-4.97,0,5515243,5516232,990,"+"
"SCO5074","DdraRKvsM145_36h",-7.415,0,5516299,5516943,645,"+"
"SCO5074","DdraRKvsM145_48h",-5.93,0,5516299,5516943,645,"+"
"SCO5074","DdraRKvsM145_60h",-4.415,0,5516299,5516943,645,"+"
"SCO5075","DdraRKvsM145_36h",-6.975,0,5516977,5517897,921,"+"
"SCO5075","DdraRKvsM145_48h",-4.603,0,5516977,5517897,921,"+"
"SCO5075","DdraRKvsM145_60h",-3.95,0,5516977,5517897,921,"+"
"SCO5076","DdraRKvsM145_36h",-5.715,0,5517894,5519495,1602,"+"
"SCO5076","DdraRKvsM145_48h",-1.73,0,5517894,5519495,1602,"+"
"SCO5076","DdraRKvsM145_60h",-2.765,0,5517894,5519495,1602,"+"
"SCO5077","DdraRKvsM145_36h",-3.82,0,5519497,5519892,396,"+"
"SCO5077","DdraRKvsM145_48h",-1.413,0,5519497,5519892,396,"+"
"SCO5077","DdraRKvsM145_60h",-1.845,0,5519497,5519892,396,"+"
"SCO5078","DdraRKvsM145_36h",-6.79,0,5519987,5520832,846,"+"
"SCO5078","DdraRKvsM145_48h",-4.17,0,5519987,5520832,846,"+"
"SCO5078","DdraRKvsM145_60h",-3.85,0,5519987,5520832,846,"+"
"SCO5079","DdraRKvsM145_36h",-7.02,0,5520857,5521741,885,"+"
"SCO5079","DdraRKvsM145_48h",-4.698,0,5520857,5521741,885,"+"
"SCO5079","DdraRKvsM145_60h",-4.275,0,5520857,5521741,885,"+"
"SCO5080","DdraRKvsM145_36h",-7.405,0,5521738,5522883,1146,"+"
"SCO5080","DdraRKvsM145_48h",-4.76,0,5521738,5522883,1146,"+"
"SCO5080","DdraRKvsM145_60h",-4.155,0,5521738,5522883,1146,"+"
"SCO5081","DdraRKvsM145_36h",-5.83,0,5522876,5523217,342,"+"
"SCO5081","DdraRKvsM145_48h",-2.632,0,5522876,5523217,342,"+"
"SCO5081","DdraRKvsM145_60h",-3.07,0,5522876,5523217,342,"+"
"SCO5082","DdraRKvsM145_36h",-2.775,0,5523183,5523962,780,"-"
"SCO5082","DdraRKvsM145_48h",-1.937,0,5523183,5523962,780,"-"
"SCO5082","DdraRKvsM145_60h",-2.08,0,5523183,5523962,780,"-"
"SCO5083","DdraRKvsM145_36h",-6.935,0,5524073,5525809,1737,"+"
"SCO5083","DdraRKvsM145_48h",-6.51,0,5524073,5525809,1737,"+"
"SCO5083","DdraRKvsM145_60h",-5.17,0,5524073,5525809,1737,"+"
"SCO5084","DdraRKvsM145_36h",-6.8,0,5525809,5527944,2136,"+"
"SCO5084","DdraRKvsM145_48h",-7.26,0,5525809,5527944,2136,"+"
"SCO5084","DdraRKvsM145_60h",-6.49,0,5525809,5527944,2136,"+"
"SCO5085","DdraRKvsM145_36h",-5.075,0,5528094,5528861,768,"+"
"SCO5085","DdraRKvsM145_48h",-3.912,0,5528094,5528861,768,"+"
"SCO5085","DdraRKvsM145_60h",-3.66,0,5528094,5528861,768,"+"
"SCO5086","DdraRKvsM145_36h",-5.275,0,5528935,5529720,786,"-"
"SCO5086","DdraRKvsM145_48h",-2.879,0,5528935,5529720,786,"-"
"SCO5086","DdraRKvsM145_60h",-3.195,0,5528935,5529720,786,"-"
"SCO5087","DdraRKvsM145_36h",-7.07,0,5529801,5531204,1404,"+"
"SCO5087","DdraRKvsM145_48h",-4.529,0,5529801,5531204,1404,"+"
"SCO5087","DdraRKvsM145_60h",-4.73,0,5529801,5531204,1404,"+"
"SCO5088","DdraRKvsM145_36h",-3.42,0,5531201,5532424,1224,"+"
"SCO5088","DdraRKvsM145_48h",-2.237,0,5531201,5532424,1224,"+"
"SCO5088","DdraRKvsM145_60h",-4.125,0,5531201,5532424,1224,"+"
"SCO5089","DdraRKvsM145_36h",-6.185,0,5532449,5532709,261,"+"
"SCO5089","DdraRKvsM145_48h",-3.439,0,5532449,5532709,261,"+"
"SCO5089","DdraRKvsM145_60h",-3.365,0,5532449,5532709,261,"+"
"SCO5090","DdraRKvsM145_36h",-8.51,0,5532706,5533656,951,"+"
"SCO5090","DdraRKvsM145_48h",-6.229,0,5532706,5533656,951,"+"
"SCO5090","DdraRKvsM145_60h",-4.925,0,5532706,5533656,951,"+"
"SCO5091","DdraRKvsM145_36h",-6.6,0,5533653,5534546,894,"+"
"SCO5091","DdraRKvsM145_48h",-3.538,0,5533653,5534546,894,"+"
"SCO5091","DdraRKvsM145_60h",-3.56,0,5533653,5534546,894,"+"
"SCO5092","DdraRKvsM145_36h",-4.507,0,5534558,5535091,534,"+"
"SCO5092","DdraRKvsM145_48h",-1.961,0,5534558,5535091,534,"+"
"SCO5092","DdraRKvsM145_60h",-1.959,0,5534558,5535091,534,"+"
"SCO5886","DdraRKvsM145_36h",-1.555,0,6442753,6443976,1224,"-"
"SCO5886","DdraRKvsM145_48h",0.232,0,6442753,6443976,1224,"-"
"SCO5886","DdraRKvsM145_60h",2.325,0,6442753,6443976,1224,"-"
"SCO5887","DdraRKvsM145_36h",-1.775,0,6443973,6444218,246,"-"
"SCO5887","DdraRKvsM145_48h",0.458,0,6443973,6444218,246,"-"
"SCO5887","DdraRKvsM145_60h",2.11,0,6443973,6444218,246,"-"
"SCO5889","DdraRKvsM145_36h",-0.945,0,6445654,6445917,264,"+"
"SCO5889","DdraRKvsM145_48h",0.668,0,6445654,6445917,264,"+"
"SCO5889","DdraRKvsM145_60h",2.11,0,6445654,6445917,264,"+"
"SCO5890","DdraRKvsM145_36h",-1.83,0,6445914,6447836,1923,"+"
"SCO5890","DdraRKvsM145_48h",0.358,0,6445914,6447836,1923,"+"
"SCO5890","DdraRKvsM145_60h",2.22,0,6445914,6447836,1923,"+"
"SCO5891","DdraRKvsM145_36h",-1.475,0,6447950,6449548,1599,"+"
"SCO5891","DdraRKvsM145_48h",-0.045,0,6447950,6449548,1599,"+"
"SCO5891","DdraRKvsM145_60h",1.935,0,6447950,6449548,1599,"+"
"SCO5892","DdraRKvsM145_36h",-1.93,0,6449549,6456442,6894,"+"
"SCO5892","DdraRKvsM145_48h",0.446,0,6449549,6456442,6894,"+"
"SCO5892","DdraRKvsM145_60h",2.39,0,6449549,6456442,6894,"+"
"SCO5893","DdraRKvsM145_36h",-1.7,0,6456446,6457489,1044,"+"
"SCO5893","DdraRKvsM145_48h",0.446,0,6456446,6457489,1044,"+"
"SCO5893","DdraRKvsM145_60h",2.07,0,6456446,6457489,1044,"+"
"SCO5895","DdraRKvsM145_36h",-1.275,0,6458306,6459394,1089,"+"
"SCO5895","DdraRKvsM145_48h",0.288,0,6458306,6459394,1089,"+"
"SCO5895","DdraRKvsM145_60h",1.915,0,6458306,6459394,1089,"+"
"SCO5896","DdraRKvsM145_36h",-1.545,0,6459417,6462218,2802,"+"
"SCO5896","DdraRKvsM145_48h",-0.297,0,6459417,6462218,2802,"+"
"SCO5896","DdraRKvsM145_60h",2.13,0,6459417,6462218,2802,"+"
"SCO5897","DdraRKvsM145_36h",-1.77,0,6462296,6463483,1188,"+"
"SCO5897","DdraRKvsM145_48h",0.247,0,6462296,6463483,1188,"+"
"SCO5897","DdraRKvsM145_60h",2.105,0,6462296,6463483,1188,"+"
"SCO6273","DdraRKvsM145_36h",-0.37,0,6900898,6907356,6459,"-"
