"gene","logFC","FDR","add_variable","start","end","width","strand"
"SCO0162",-5.814941062,0.0006735,"dccr1vsWT",150579,151571,993,"+"
"SCO0165",-7.5212729949,0.0004305,"dccr1vsWT",155707,156120,414,"-"
"SCO0166",-8.6239776941,4.319e-05,"dccr1vsWT",156338,157141,804,"+"
"SCO0167",-7.7545337763,0.0003395,"dccr1vsWT",157189,158073,885,"-"
"SCO0168",-5.1458363942,0.003595,"dccr1vsWT",158732,159304,573,"+"
"SCO0170",-5.7987480662,0.0008111,"dccr1vsWT",160356,161027,672,"-"
"SCO0172",-6.0758001223,0.0001643,"dccr1vsWT",162661,163119,459,"+"
"SCO0173",-6.0621875841,0.000929,"dccr1vsWT",163235,164017,783,"-"
"SCO0174",-6.0160916592,0.0006504,"dccr1vsWT",164023,164994,972,"-"
"SCO0177",-5.6847966774,0.0005933,"dccr1vsWT",166033,166614,582,"+"
"SCO0180",-6.2554797831,0.0007242,"dccr1vsWT",168705,169556,852,"-"
"SCO0181",-7.7658525328,0.000666,"dccr1vsWT",169584,170570,987,"-"
"SCO0224",-6.000223269,4.267e-05,"dccr1vsWT",215807,216844,1038,"-"
"SCO0243",-8.5530044067,0.0005094,"dccr1vsWT",231475,231654,180,"+"
"SCO0421",-5.610323244,0.001524,"dccr1vsWT",438329,438988,660,"-"
"SCO0498",6.2766000858,0.003357,"dccr1vsWT",530970,532325,1356,"-"
"SCO0499",7.6510181786,0.0007638,"dccr1vsWT",532501,533448,948,"+"
"SCO0570",-14.5221996811,0.008863,"dccr1vsWT",612156,612320,165,"-"
"SCO0585",-5.8443215253,0.001424,"dccr1vsWT",627628,628164,537,"-"
"SCO0597",-5.8179888747,4.623e-05,"dccr1vsWT",637911,638306,396,"-"
"SCO0607",-5.8818267031,6.078e-05,"dccr1vsWT",647444,647731,288,"+"
"SCO0758",-6.9064116869,0.007169,"dccr1vsWT",803856,804035,180,"+"
"SCO0784",-19.0903354217,9.91e-06,"dccr1vsWT",831835,832518,684,"+"
"SCO0955",-8.5084610191,0.0005283,"dccr1vsWT",1004534,1004710,177,"-"
"SCO0973",-11.7996554612,1.465e-05,"dccr1vsWT",1024508,1025767,1260,"+"
"SCO1045",-10.4965010896,5.163e-05,"dccr1vsWT",1100965,1101198,234,"+"
"SCO1124",5.4013570748,0.003198,"dccr1vsWT",1181366,1181857,492,"-"
"SCO1181",5.2277805781,0.001421,"dccr1vsWT",1244920,1245774,855,"+"
"SCO1178",-5.9047714847,0.0005714,"dccr1vsWT",1242334,1242783,450,"-"
"SCO1342",5.137118012,0.001356,"dccr1vsWT",1418317,1418868,552,"-"
"SCO1364",-11.701093494,9.744e-07,"dccr1vsWT",1442209,1442748,540,"-"
"SCO1373",-7.2988040326,5.974e-05,"dccr1vsWT",1449695,1451212,1518,"-"
"SCO1375",-7.5840067838,0.000646,"dccr1vsWT",1452656,1452859,204,"+"
"SCO1405",6.5133969324,0.0001496,"dccr1vsWT",1494024,1495871,1848,"-"
"SCO1406",5.0573220973,0.0008412,"dccr1vsWT",1495964,1496950,987,"-"
"SCO1411",-10.277725004,5.983e-05,"dccr1vsWT",1505261,1506583,1323,"+"
"SCO1412",-15.5577312657,1.9e-06,"dccr1vsWT",1506580,1507413,834,"+"
"SCO1458",5.5205669446,0.004994,"dccr1vsWT",1555656,1556108,453,"-"
"SCO1528",-7.0168708638,0.0004938,"dccr1vsWT",1632106,1634304,2199,"+"
"SCO1532",-5.222616902,0.001035,"dccr1vsWT",1639131,1640408,1278,"-"
"SCO1533",-9.5468074503,5.321e-06,"dccr1vsWT",1640405,1640971,567,"-"
"SCO1541",-8.3610114174,4.56e-05,"dccr1vsWT",1650311,1650790,480,"+"
