"gene","add_variable","logFC","FDR","start","end","width","strand"
"SCO0026","MvsT",1.08406426478847,8e-04,23316,23831,516,"+"
"SCO0026","MvsL",0.389566811762726,0.2,23316,23831,516,"+"
"SCO0026","MvsS",-0.761213140412883,0.01,23316,23831,516,"+"
"SCO0026","TvsL",-0.689659879387849,0.03,23316,23831,516,"+"
"SCO0026","TvsS",-1.83650126771712,3e-09,23316,23831,516,"+"
"SCO0026","LvsS",-1.15200309344505,2e-04,23316,23831,516,"+"
"SCO0033","MvsT",5.9609286673117,1e-09,26527,28773,2247,"-"
"SCO0033","MvsL",5.96231765494231,9e-10,26527,28773,2247,"-"
"SCO0033","MvsS",7.65513712587521,1e-13,26527,28773,2247,"-"
"SCO0033","TvsL",0,1,26527,28773,2247,"-"
"SCO0033","TvsS",1.6959938131099,0.02,26527,28773,2247,"-"
"SCO0033","LvsS",1.6915341649192,0.02,26527,28773,2247,"-"
"SCO0044","MvsT",-1.12029423371771,0.01,36006,36674,669,"-"
"SCO0044","MvsL",-2,8e-05,36006,36674,669,"-"
"SCO0044","MvsS",-2.94341647163363,4e-08,36006,36674,669,"-"
"SCO0044","TvsL",-0.862496476250065,0.1,36006,36674,669,"-"
"SCO0044","TvsS",-1.78587519464715,0.002,36006,36674,669,"-"
"SCO0044","LvsS",-0.915935735211525,0.2,36006,36674,669,"-"
"SCO0055","MvsT",0.659924558402378,0.02,42171,43682,1512,"-"
"SCO0055","MvsL",0.070389327891398,0.7,42171,43682,1512,"-"
"SCO0055","MvsS",-1.18442457113743,1e-04,42171,43682,1512,"-"
"SCO0055","TvsL",-0.599462070416271,0.05,42171,43682,1512,"-"
"SCO0055","TvsS",-1.83650126771712,1e-09,42171,43682,1512,"-"
"SCO0055","LvsS",-1.25153876699596,3e-05,42171,43682,1512,"-"
"SCO0058","MvsT",0.263034405833794,0.4,44253,44975,723,"+"
"SCO0058","MvsL",-0.358453970912476,0.2,44253,44975,723,"+"
"SCO0058","MvsS",-1.59946207041627,1e-07,44253,44975,723,"+"
"SCO0058","TvsL",-0.599462070416271,0.04,44253,44975,723,"+"
"SCO0058","TvsS",-1.83650126771712,7e-10,44253,44975,723,"+"
"SCO0058","LvsS",-1.25153876699596,4e-05,44253,44975,723,"+"
"SCO0064","MvsT",-0.0588936890535686,0.8,49821,51539,1719,"-"
"SCO0064","MvsL",-0.689659879387849,0.04,49821,51539,1719,"-"
"SCO0064","MvsS",0.584962500721156,0.08,49821,51539,1719,"-"
"SCO0064","TvsL",-0.62148837674627,0.06,49821,51539,1719,"-"
"SCO0064","TvsS",0.650764559116902,0.04,49821,51539,1719,"-"
"SCO0064","LvsS",1.26303440583379,1e-04,49821,51539,1719,"-"
"SCO0065","MvsT",1.23266075679027,0.08,51831,53144,1314,"+"
"SCO0065","MvsL",1.01435529297707,0.1,51831,53144,1314,"+"
"SCO0065","MvsS",1.6507645591169,0.01,51831,53144,1314,"+"
