"gene","logFC","FDR","add_variable","start","end","strand"
"vnz_00010",-0.651095119172437,1,"18h",1093,1605,"+"
"vnz_00010",-0.528279742615152,1,"24h",1093,1605,"+"
"vnz_00010",-0.295139775562295,1,"48h",1093,1605,"+"
"vnz_00020",-1.01761718010124,0.05,"18h",2424,2711,"+"
"vnz_00020",-0.666967340012807,1,"24h",2424,2711,"+"
"vnz_00020",-0.563826857854614,1,"48h",2424,2711,"+"
"vnz_00030",-1.06358943769197,0.05,"18h",3606,4094,"-"
"vnz_00030",-0.713734498559099,1,"24h",3606,4094,"-"
"vnz_00030",-0.719495498642976,0.05,"48h",3606,4094,"-"
"vnz_00035",-0.583320352556903,1,"18h",5340,6278,"+"
"vnz_00035",-0.542757250907842,1,"24h",5340,6278,"+"
"vnz_00035",-0.422453789785043,1,"48h",5340,6278,"+"
"vnz_00040",-0.677467744686412,1,"18h",6281,6739,"+"
"vnz_00040",-0.624980623696786,1,"24h",6281,6739,"+"
"vnz_00040",-0.738276031793191,0.05,"48h",6281,6739,"+"
"vnz_00055",0.624855699766337,0.05,"18h",9319,9816,"+"
"vnz_00055",0.25803284729465,1,"24h",9319,9816,"+"
"vnz_00055",0.267622133035581,1,"48h",9319,9816,"+"
"vnz_00070",-0.340087632793445,1,"18h",11937,12506,"+"
"vnz_00070",-0.667029688009132,1,"24h",11937,12506,"+"
"vnz_00070",-0.350357319725481,1,"48h",11937,12506,"+"
"vnz_00075",-0.559931310272277,1,"18h",12689,14266,"-"
"vnz_00075",-0.743906266248401,1,"24h",12689,14266,"-"
"vnz_00075",-0.420492874411599,1,"48h",12689,14266,"-"
"vnz_00080",-1.29158987910798,0.05,"18h",14532,15020,"+"
"vnz_00080",-1.50880302842739,0.05,"24h",14532,15020,"+"
"vnz_00080",-1.09047376131509,0.05,"48h",14532,15020,"+"
"vnz_00085",-0.331412795640555,1,"18h",16108,17049,"-"
"vnz_00085",-0.654873239970217,1,"24h",16108,17049,"-"
"vnz_00085",-0.296615903210015,1,"48h",16108,17049,"-"
"vnz_00090",-0.434602041307137,1,"18h",17165,17935,"-"
"vnz_00090",-0.699183259027599,1,"24h",17165,17935,"-"
"vnz_00090",-0.442765367101525,1,"48h",17165,17935,"-"
"vnz_00095",-0.629742185266191,1,"18h",18030,18473,"-"
"vnz_00095",-0.747188810284807,1,"24h",18030,18473,"-"
"vnz_00095",-0.402069856734975,1,"48h",18030,18473,"-"
"vnz_00100",-0.261996551105946,1,"18h",18671,19219,"+"
"vnz_00100",-0.542519807445319,1,"24h",18671,19219,"+"
"vnz_00100",-0.510544348352924,1,"48h",18671,19219,"+"
"vnz_00105",-0.493159516820664,1,"18h",19286,20749,"-"
"vnz_00105",-0.558818091464766,1,"24h",19286,20749,"-"
"vnz_00105",-0.431991555699017,1,"48h",19286,20749,"-"
"vnz_00110",-0.451962856074096,1,"18h",20980,21546,"+"
"vnz_00110",-0.507309856922064,1,"24h",20980,21546,"+"
"vnz_00110",-0.546547423079748,1,"48h",20980,21546,"+"
"vnz_00115",-0.0901979848794625,1,"18h",21619,22425,"-"
"vnz_00115",-0.279393404396696,1,"24h",21619,22425,"-"
"vnz_00115",-0.333660454401651,1,"48h",21619,22425,"-"
"vnz_00120",-0.444775961022998,1,"18h",22514,23443,"-"
"vnz_00120",-0.524950544684474,1,"24h",22514,23443,"-"
"vnz_00120",-0.400448587782368,1,"48h",22514,23443,"-"
"vnz_00125",-0.618430067980733,1,"18h",23536,24972,"+"
"vnz_00125",-0.627277431901617,1,"24h",23536,24972,"+"
"vnz_00125",-0.351488757536746,1,"48h",23536,24972,"+"
"vnz_00130",-0.487747414325631,1,"18h",25432,26241,"+"
"vnz_00130",-0.69688199505774,1,"24h",25432,26241,"+"
"vnz_00130",-0.38061915065665,1,"48h",25432,26241,"+"
"vnz_00135",-0.606640765304498,1,"18h",26406,29378,"-"
"vnz_00135",-0.765229848626066,1,"24h",26406,29378,"-"
"vnz_00135",-0.52202484340317,1,"48h",26406,29378,"-"
"vnz_00140",-1.05899739112744,0.05,"18h",30415,31074,"-"
"vnz_00140",-0.827847566197068,1,"24h",30415,31074,"-"
"vnz_00140",-0.632540517000608,1,"48h",30415,31074,"-"
"vnz_00145",-0.537481372961942,1,"18h",31118,32122,"-"
"vnz_00145",-0.803880439272084,1,"24h",31118,32122,"-"
"vnz_00145",-0.649379401739562,1,"48h",31118,32122,"-"
"vnz_00150",-0.440231160486074,1,"18h",32126,32632,"-"
"vnz_00150",-0.928482159561293,0.05,"24h",32126,32632,"-"
"vnz_00150",-0.289277857307854,1,"48h",32126,32632,"-"
"vnz_00155",-0.537442293163377,1,"18h",32629,35982,"-"
"vnz_00155",-0.413325980987276,1,"24h",32629,35982,"-"
"vnz_00155",-0.500252076727017,1,"48h",32629,35982,"-"
"vnz_00160",-0.3725974953696,1,"18h",36317,37048,"+"
"vnz_00160",-0.756585169020754,1,"24h",36317,37048,"+"
"vnz_00160",-0.297842148877939,1,"48h",36317,37048,"+"
"vnz_00165",-0.118222535376976,1,"18h",37206,37946,"+"
"vnz_00165",-0.307548894476369,1,"24h",37206,37946,"+"
"vnz_00165",-0.154346288016765,1,"48h",37206,37946,"+"
"vnz_00170",-0.46652672254972,1,"18h",38111,39868,"+"
"vnz_00170",-0.695266921915209,1,"24h",38111,39868,"+"
"vnz_00170",-0.427364738218314,1,"48h",38111,39868,"+"
"vnz_00175",-0.27926253107814,1,"18h",39969,40571,"-"
"vnz_00175",-0.321347682629042,1,"24h",39969,40571,"-"
"vnz_00175",-0.547104657351003,1,"48h",39969,40571,"-"
"vnz_00180",-0.578092604895962,1,"18h",40688,41281,"-"
"vnz_00180",-0.403003484455643,1,"24h",40688,41281,"-"
"vnz_00180",-0.742798528954951,0.05,"48h",40688,41281,"-"
"vnz_00185",-0.697508678746135,1,"18h",41179,42522,"-"
"vnz_00185",-0.360083110302421,1,"24h",41179,42522,"-"
"vnz_00185",-0.448775941859936,1,"48h",41179,42522,"-"
"vnz_00190",-0.4327204270048,1,"18h",42604,43785,"-"
"vnz_00190",-0.439415282471682,1,"24h",42604,43785,"-"
"vnz_00190",0.135027069945725,1,"48h",42604,43785,"-"
"vnz_00195",-0.542380714709082,1,"18h",43880,44929,"+"
"vnz_00195",-0.499633392895705,1,"24h",43880,44929,"+"
"vnz_00195",-0.359606852464976,1,"48h",43880,44929,"+"
"vnz_00200",-0.678014077147062,1,"18h",44965,45336,"-"
"vnz_00200",-0.410716686127275,1,"24h",44965,45336,"-"
"vnz_00200",-0.430866252422838,1,"48h",44965,45336,"-"
"vnz_00205",-0.370566922577557,1,"18h",45506,46564,"-"
"vnz_00205",-0.477975694121428,1,"24h",45506,46564,"-"
"vnz_00205",-0.365833665680782,1,"48h",45506,46564,"-"
"vnz_00210",-0.557117402920908,1,"18h",46725,47096,"+"
"vnz_00210",-0.556105027212362,1,"24h",46725,47096,"+"
"vnz_00210",-0.336687338758987,1,"48h",46725,47096,"+"
"vnz_00215",-0.637744986395601,1,"18h",47146,48159,"+"
"vnz_00215",-0.200720804094748,1,"24h",47146,48159,"+"
"vnz_00215",-0.39655896250609,1,"48h",47146,48159,"+"
"vnz_00220",0.170867317016786,1,"18h",48369,51179,"+"
"vnz_00220",-0.0402932775624789,1,"24h",48369,51179,"+"
"vnz_00220",0.208507587701615,1,"48h",48369,51179,"+"
"vnz_00225",-0.218228907714994,1,"18h",51489,51767,"+"
"vnz_00225",-0.292799504451085,1,"24h",51489,51767,"+"
"vnz_00225",-0.152778897152601,1,"48h",51489,51767,"+"
"vnz_00230",-0.289493295906247,1,"18h",51760,52812,"+"
"vnz_00230",-0.488728299051499,1,"24h",51760,52812,"+"
"vnz_00230",-0.613374369745755,1,"48h",51760,52812,"+"
"vnz_00235",-0.405831704191978,1,"18h",52914,54080,"+"
"vnz_00235",-0.669252196935109,1,"24h",52914,54080,"+"
"vnz_00235",-0.433802316737798,1,"48h",52914,54080,"+"
"vnz_00240",-0.41004632996698,1,"18h",54125,54952,"-"
"vnz_00240",-0.434266093791361,1,"24h",54125,54952,"-"
"vnz_00240",-0.150148266959199,1,"48h",54125,54952,"-"
"vnz_00245",-0.181168194772546,1,"18h",55051,55959,"-"
"vnz_00245",-0.499143771089752,1,"24h",55051,55959,"-"
"vnz_00245",-0.220011975872151,1,"48h",55051,55959,"-"
"vnz_00250",0.702819733293482,0.05,"18h",56161,56364,"-"
"vnz_00250",0.86027561924377,0.05,"24h",56161,56364,"-"
"vnz_00250",1.32455684515514,0.05,"48h",56161,56364,"-"
"vnz_00255",-0.304027264193929,1,"18h",56497,57429,"-"
"vnz_00255",-0.473436658531395,1,"24h",56497,57429,"-"
"vnz_00255",-0.0934646828005824,1,"48h",56497,57429,"-"
"vnz_00260",0.0889576960084268,1,"18h",57635,58378,"-"
"vnz_00260",-0.56188148038868,1,"24h",57635,58378,"-"
"vnz_00260",-0.353919055177259,1,"48h",57635,58378,"-"
"vnz_00265",-0.347305144880616,1,"18h",58375,58953,"-"
"vnz_00265",-0.771206872619453,1,"24h",58375,58953,"-"
"vnz_00265",-0.145571843222371,1,"48h",58375,58953,"-"
"vnz_00270",-0.528187002868084,1,"18h",59062,60072,"-"
"vnz_00270",-1.15278514391176,0.05,"24h",59062,60072,"-"
"vnz_00270",-0.0850385427208976,1,"48h",59062,60072,"-"
"vnz_00275",1.7214882719154,0.05,"18h",60357,61556,"+"
"vnz_00275",1.03213370105756,0.05,"24h",60357,61556,"+"
"vnz_00275",0.370657474205325,1,"48h",60357,61556,"+"
"vnz_00280",-0.0127545809018798,1,"18h",61643,62470,"+"
"vnz_00280",-0.118583824511107,1,"24h",61643,62470,"+"
"vnz_00280",-0.105325595823846,1,"48h",61643,62470,"+"
"vnz_00285",-0.515053241773434,1,"18h",62433,62891,"-"
"vnz_00285",-0.192760781446562,1,"24h",62433,62891,"-"
"vnz_00285",-0.533704390214595,1,"48h",62433,62891,"-"
"vnz_00290",-0.536721516061049,1,"18h",62993,63979,"-"
"vnz_00290",-0.469505993981366,1,"24h",62993,63979,"-"
"vnz_00290",-0.311910626636549,1,"48h",62993,63979,"-"
"vnz_00295",-0.116851426093711,1,"18h",63886,64197,"-"
"vnz_00295",-0.550358202511236,1,"24h",63886,64197,"-"
"vnz_00295",-0.587574219255535,1,"48h",63886,64197,"-"
"vnz_00300",-0.664967569390854,1,"18h",64258,65310,"-"
"vnz_00300",-0.663937488868177,1,"24h",64258,65310,"-"
"vnz_00300",-0.418826367091774,1,"48h",64258,65310,"-"
"vnz_00305",-0.861024615938655,0.05,"18h",65307,66068,"-"
"vnz_00305",-0.897147039595361,0.05,"24h",65307,66068,"-"
"vnz_00305",0.00209253507302738,1,"48h",65307,66068,"-"
"vnz_00310",-0.757535250737123,1,"18h",66065,67396,"-"
"vnz_00310",-0.742610963086694,1,"24h",66065,67396,"-"
"vnz_00310",0.00516491374301963,1,"48h",66065,67396,"-"
"vnz_00315",-0.573962533180166,1,"18h",67709,68380,"-"
"vnz_00315",-0.454913557280523,1,"24h",67709,68380,"-"
"vnz_00315",-0.592844481830497,1,"48h",67709,68380,"-"
"vnz_00320",-0.657893106447051,1,"18h",68484,69944,"-"
"vnz_00320",-0.720327193373886,1,"24h",68484,69944,"-"
"vnz_00320",0.152922174719991,1,"48h",68484,69944,"-"
"vnz_00325",-0.743449450940505,1,"18h",70061,71371,"-"
"vnz_00325",-0.740072710203596,1,"24h",70061,71371,"-"
"vnz_00325",-0.200939476635498,1,"48h",70061,71371,"-"
"vnz_00330",-0.721205159624065,1,"18h",71416,72684,"-"
