"chrom","chromStart","chromEnd","name"
"FR845719.1",0,249,"SMC_14"
"FR845719.1",1250,1499,"SMC_14"
"FR845719.1",1500,1749,"SMC_14"
"FR845719.1",1750,1999,"SMC_14"
"FR845719.1",2000,2249,"SMC_14"
"FR845719.1",2250,2499,"SMC_14"
"FR845719.1",2500,2749,"SMC_14"
"FR845719.1",2750,2999,"SMC_14"
"FR845719.1",3000,3249,"SMC_14"
"FR845719.1",3250,3499,"SMC_14"
"FR845719.1",3500,3749,"SMC_14"
"FR845719.1",3750,3999,"SMC_14"
"FR845719.1",4000,4249,"SMC_14"
"FR845719.1",4250,4499,"SMC_14"
"FR845719.1",5250,5499,"SMC_14"
"FR845719.1",11750,11999,"SMC_14"
"FR845719.1",13000,13249,"SMC_14"
"FR845719.1",13250,13499,"SMC_14"
"FR845719.1",13500,13749,"SMC_14"
"FR845719.1",15750,15999,"SMC_14"
"FR845719.1",16000,16249,"SMC_14"
"FR845719.1",17000,17249,"SMC_14"
"FR845719.1",17750,17999,"SMC_14"
"FR845719.1",19750,19999,"SMC_14"
"FR845719.1",20000,20249,"SMC_14"
"FR845719.1",20250,20499,"SMC_14"
"FR845719.1",20500,20749,"SMC_14"
"FR845719.1",20750,20999,"SMC_14"
"FR845719.1",23750,23999,"SMC_14"
"FR845719.1",25250,25499,"SMC_14"
"FR845719.1",25500,25749,"SMC_14"
"FR845719.1",25750,25999,"SMC_14"
"FR845719.1",27000,27249,"SMC_14"
"FR845719.1",27750,27999,"SMC_14"
"FR845719.1",28000,28249,"SMC_14"
"FR845719.1",30750,30999,"SMC_14"
"FR845719.1",32500,32749,"SMC_14"
"FR845719.1",35500,35749,"SMC_14"
"FR845719.1",37750,37999,"SMC_14"
"FR845719.1",38000,38249,"SMC_14"
"FR845719.1",41500,41749,"SMC_14"
"FR845719.1",45500,45749,"SMC_14"
"FR845719.1",46750,46999,"SMC_14"
"FR845719.1",47000,47249,"SMC_14"
"FR845719.1",52250,52499,"SMC_14"
"FR845719.1",53250,53499,"SMC_14"
"FR845719.1",53500,53749,"SMC_14"
"FR845719.1",53750,53999,"SMC_14"
"FR845719.1",54000,54249,"SMC_14"
"FR845719.1",55750,55999,"SMC_14"
"FR845719.1",56000,56249,"SMC_14"
"FR845719.1",56250,56499,"SMC_14"
"FR845719.1",56750,56999,"SMC_14"
"FR845719.1",59000,59249,"SMC_14"
"FR845719.1",59250,59499,"SMC_14"
"FR845719.1",59750,59999,"SMC_14"
"FR845719.1",67500,67749,"SMC_14"
"FR845719.1",69250,69499,"SMC_14"
"FR845719.1",69500,69749,"SMC_14"
"FR845719.1",71250,71499,"SMC_14"
"FR845719.1",73750,73999,"SMC_14"
"FR845719.1",74000,74249,"SMC_14"
"FR845719.1",74250,74499,"SMC_14"
"FR845719.1",74500,74749,"SMC_14"
"FR845719.1",75500,75749,"SMC_14"
"FR845719.1",75750,75999,"SMC_14"
"FR845719.1",76000,76249,"SMC_14"
"FR845719.1",76250,76499,"SMC_14"
"FR845719.1",76500,76749,"SMC_14"
"FR845719.1",76750,76999,"SMC_14"
"FR845719.1",77000,77249,"SMC_14"
"FR845719.1",77250,77499,"SMC_14"
"FR845719.1",80000,80249,"SMC_14"
"FR845719.1",87500,87749,"SMC_14"
"FR845719.1",87750,87999,"SMC_14"
"FR845719.1",88750,88999,"SMC_14"
"FR845719.1",90250,90499,"SMC_14"
"FR845719.1",90500,90749,"SMC_14"
"FR845719.1",90750,90999,"SMC_14"
"FR845719.1",91000,91249,"SMC_14"
"FR845719.1",92250,92499,"SMC_14"
"FR845719.1",92500,92749,"SMC_14"
"FR845719.1",94500,94749,"SMC_14"
"FR845719.1",99500,99749,"SMC_14"
"FR845719.1",99750,99999,"SMC_14"
"FR845719.1",1e+05,100249,"SMC_14"
"FR845719.1",107750,107999,"SMC_14"
"FR845719.1",111000,111249,"SMC_14"
"FR845719.1",114500,114749,"SMC_14"
"FR845719.1",118750,118999,"SMC_14"
"FR845719.1",119000,119249,"SMC_14"
"FR845719.1",119500,119749,"SMC_14"
"FR845719.1",122500,122749,"SMC_14"
"FR845719.1",124750,124999,"SMC_14"
"FR845719.1",131750,131999,"SMC_14"
"FR845719.1",134750,134999,"SMC_14"
