"gene","logFC","FDR","add_variable","start","end","width","strand"
"SCO0001",0.058921548,0.737770191,"delgbn24h",446,1123,678,"+"
"SCO0002",-0.014386746,0.963384142,"delgbn24h",1252,3813,2562,"+"
"SCO0003",-0.051712134,0.817012991,"delgbn24h",3869,6220,2352,"+"
"SCO0004",-0.094072784,0.618416969,"delgbn24h",6226,7173,948,"+"
"SCO0005",-0.011956795,0.96852158,"delgbn24h",7187,9307,2121,"+"
"SCO0006",0.020593722,0.938951754,"delgbn24h",9304,10410,1107,"+"
"SCO0007",0.094542226,1,"delgbn24h",10554,11000,447,"-"
"SCO0008",0.013071531,1,"delgbn24h",11010,11360,351,"-"
"SCO0009",0.065607674,1,"delgbn24h",11617,11952,336,"-"
"SCO0010",0.097964144,0.61048855,"delgbn24h",12366,13457,1092,"+"
"SCO0011",-0.003709178,0.990166035,"delgbn24h",13214,14023,810,"-"
"SCO0012",0.128652081,0.493669952,"delgbn24h",14044,14454,411,"-"
"SCO0013",0.021060418,1,"delgbn24h",14739,15029,291,"-"
"SCO0014",-0.028165999,0.878504852,"delgbn24h",15317,15595,279,"-"
"SCO0015",0.003259041,1,"delgbn24h",16070,17302,1233,"-"
"SCO0016",0.051334415,1,"delgbn24h",17715,17918,204,"+"
"SCO0017",-0.077422942,0.54268829,"delgbn24h",17919,18263,345,"+"
"SCO0018",-0.013487106,0.966556693,"delgbn24h",18485,19351,867,"-"
"SCO0019",0.143954412,0.306159731,"delgbn24h",19517,19771,255,"-"
"SCO0020",-0.027491682,0.887660627,"delgbn24h",19974,21620,1647,"+"
"SCO0021",0.113006147,0.50114332,"delgbn24h",21617,22210,594,"+"
"SCO0025",-0.019166089,1,"delgbn24h",22843,23061,219,"+"
"SCO0026",0.241474108,0.192687582,"delgbn24h",23316,23831,516,"+"
"SCO0027",0.188103651,0.271163597,"delgbn24h",23977,24345,369,"-"
"SCO0028",0.013477045,1,"delgbn24h",24378,24521,144,"-"
"SCO0029",-0.035266594,1,"delgbn24h",24644,24943,300,"+"
"SCO0030",0.034585449,1,"delgbn24h",25251,25871,621,"+"
"SCO0031",0.056927542,0.686463427,"delgbn24h",25843,26385,543,"-"
"SCO0033",0.02321558,0.864199722,"delgbn24h",26527,28773,2247,"-"
"SCO0034",0.038234652,1,"delgbn24h",29040,29519,480,"+"
"SCO0035",0.00778567,1,"delgbn24h",29605,30054,450,"-"
"SCO0036",-0.034018521,0.804685151,"delgbn24h",30116,30355,240,"-"
"SCO0037",0.081708465,0.675579389,"delgbn24h",30379,31131,753,"-"
"SCO0038",0.121774182,0.477535013,"delgbn24h",31146,31274,129,"-"
"SCO0039",0.086782765,0.476250491,"delgbn24h",31520,32137,618,"+"
"SCO0040",-0.029809009,0.806156478,"delgbn24h",32134,33357,1224,"+"
"SCO0041",0.005641009,1,"delgbn24h",33360,33845,486,"+"
"SCO0042",0.014089956,0.9370812,"delgbn24h",33842,34777,936,"+"
"SCO0043",0.103527315,0.564026956,"delgbn24h",35179,35907,729,"-"
"SCO0044",0.060531471,1,"delgbn24h",36006,36674,669,"-"
"SCO0045",-0.008270726,1,"delgbn24h",36689,36817,129,"-"
"SCO0046",-0.066121979,0.719841598,"delgbn24h",36816,37478,663,"+"
"SCO0047",-0.209811877,0.233917132,"delgbn24h",37614,38768,1155,"-"
"SCO0048",0.014076944,1,"delgbn24h",39107,39490,384,"-"
"SCO0049",-0.015079326,0.893323802,"delgbn24h",39489,39812,324,"+"
"SCO0050",-0.059411119,1,"delgbn24h",39877,40212,336,"+"
"SCO0055",0.22374851,0.138287327,"delgbn24h",42171,43682,1512,"-"
"SCO0056",0.027318174,1,"delgbn24h",43768,43857,90,"+"
"SCO0057",0.007413782,0.980526541,"delgbn24h",43950,44090,141,"+"
"SCO0058",0.018860933,0.940595386,"delgbn24h",44253,44975,723,"+"
"SCO0059",-0.09431367,0.638423481,"delgbn24h",45267,46073,807,"+"
"SCO0060",0.436201398,0.097298171,"delgbn24h",46064,46201,138,"+"
"SCO0061",0.188785519,0.283295082,"delgbn24h",46430,47734,1305,"-"
"SCO0062",0.042393965,0.852166429,"delgbn24h",47789,48892,1104,"-"
"SCO0063",0.14553735,0.396241573,"delgbn24h",48889,49824,936,"-"
"SCO0064",0.08342951,0.61308288,"delgbn24h",49821,51539,1719,"-"
