"gene","add_variable","logFC","FDR","start","end","strand"
"vnz_02645","DbldCvsWT10h",-7.75435545788603,1.25346966330307e-07,635677,636300,"-"
"vnz_02645","DbldCcsWT14h",-8.4010685236378,1.32168006054505e-07,635677,636300,"-"
"vnz_02650","DbldCvsWT10h",-8.34468745914575,1.25346966330307e-07,636281,636637,"-"
"vnz_02650","DbldCcsWT14h",-8.48082849230766,1.32168006054505e-07,636281,636637,"-"
"vnz_02655","DbldCvsWT10h",-7.33950345474926,1.25346966330307e-07,636634,637023,"-"
"vnz_02655","DbldCcsWT14h",-7.59096701560753,1.32168006054505e-07,636634,637023,"-"
"vnz_15655","DbldCvsWT10h",-7.42768224719991,1.25346966330307e-07,3483556,3484341,"+"
"vnz_15655","DbldCcsWT14h",-7.41915691360259,1.32168006054505e-07,3483556,3484341,"+"
"vnz_18945","DbldCvsWT10h",-10.1486501558783,1.25346966330307e-07,4170709,4170915,"+"
"vnz_18945","DbldCcsWT14h",-7.33011830812145,1.69311389686171e-07,4170709,4170915,"+"
"vnz_23860","DbldCvsWT10h",-9.21031872978785,1.25346966330307e-07,5191096,5192067,"+"
"vnz_23860","DbldCcsWT14h",-10.4524538444312,1.32168006054505e-07,5191096,5192067,"+"
"vnz_23865","DbldCvsWT10h",-9.07308223963387,1.25346966330307e-07,5192055,5192792,"+"
"vnz_23865","DbldCcsWT14h",-9.1793169318277,1.32168006054505e-07,5192055,5192792,"+"
"vnz_24300","DbldCvsWT10h",-8.06222088912025,1.25346966330307e-07,5291023,5292438,"+"
"vnz_24300","DbldCcsWT14h",-8.01146466452286,1.32168006054505e-07,5291023,5292438,"+"
"vnz_28910","DbldCvsWT10h",-9.58172671856685,1.25346966330307e-07,6370064,6370558,"-"
"vnz_28910","DbldCcsWT14h",-4.33219931622363,1.61373389648823e-06,6370064,6370558,"-"
"vnz_28920","DbldCvsWT10h",-9.69565227864436,1.25346966330307e-07,6371031,6372584,"-"
"vnz_28920","DbldCcsWT14h",-5.13006612963859,6.0744638631422e-07,6371031,6372584,"-"
"vnz_28945","DbldCvsWT10h",-8.11961373877029,1.25346966330307e-07,6380025,6381305,"+"
"vnz_28945","DbldCcsWT14h",-4.83214689098106,3.14536513379732e-07,6380025,6381305,"+"
"vnz_05365","DbldCvsWT10h",-4.25966943929185,2.03616791984522e-07,1251700,1253985,"+"
"vnz_05365","DbldCcsWT14h",-5.89810513951688,1.32168006054505e-07,1251700,1253985,"+"
"vnz_09780","DbldCvsWT10h",-7.10528514978486,1.52885635747051e-07,2213664,2214809,"+"
"vnz_09780","DbldCcsWT14h",-8.38634454529807,1.32168006054505e-07,2213664,2214809,"+"
"vnz_27240","DbldCvsWT10h",-5.93631863328691,1.61456869500356e-07,5981685,5982173,"+"
"vnz_27240","DbldCcsWT14h",-7.86681579584996,1.32168006054505e-07,5981685,5982173,"+"
"vnz_27245","DbldCvsWT10h",-6.27994920999933,1.61456869500356e-07,5982170,5983762,"+"
"vnz_27245","DbldCcsWT14h",-7.28794143336552,1.32168006054505e-07,5982170,5983762,"+"
"vnz_28925","DbldCvsWT10h",-7.71723876578642,1.34648465245998e-07,6372821,6375013,"-"
"vnz_28925","DbldCcsWT14h",-4.46897123249971,5.2562248685298e-07,6372821,6375013,"-"
"vnz_02660","DbldCvsWT10h",-8.02989634378427,1.52885635747051e-07,637043,638386,"-"
"vnz_02660","DbldCcsWT14h",-7.4277476924464,1.4732885787413e-07,637043,638386,"-"
"vnz_06785","DbldCvsWT10h",-6.97820659295231,1.57371553009351e-07,1557642,1558424,"+"
"vnz_06785","DbldCcsWT14h",-7.62389540231184,1.4732885787413e-07,1557642,1558424,"+"
"vnz_09010","DbldCvsWT10h",-3.42885056978562,1.06901999924198e-06,2049388,2050917,"-"
"vnz_09010","DbldCcsWT14h",-7.12403313620091,1.4732885787413e-07,2049388,2050917,"-"
"vnz_09100","DbldCvsWT10h",-5.51676937943594,1.61456869500356e-07,2072844,2074382,"-"
"vnz_09100","DbldCcsWT14h",-5.78236532721247,1.4732885787413e-07,2072844,2074382,"-"
"vnz_12335","DbldCvsWT10h",-6.84440485808594,1.50820419863034e-07,2736721,2737440,"+"
"vnz_12335","DbldCcsWT14h",-6.44044945517971,1.4732885787413e-07,2736721,2737440,"+"
"vnz_15675","DbldCvsWT10h",-2.47946409495875,3.78324399084121e-06,3488557,3488766,"-"
"vnz_15675","DbldCcsWT14h",-5.83515022082877,1.4732885787413e-07,3488557,3488766,"-"
"vnz_16405","DbldCvsWT10h",-8.09388986423814,1.49782767910055e-07,3648759,3649745,"+"
"vnz_16405","DbldCcsWT14h",-7.42511974848422,1.4732885787413e-07,3648759,3649745,"+"
"vnz_16870","DbldCvsWT10h",-6.92957211909117,1.52885635747051e-07,3746496,3746816,"-"
"vnz_16870","DbldCcsWT14h",-6.85056355735159,1.4732885787413e-07,3746496,3746816,"-"
"vnz_22970","DbldCvsWT10h",-5.68558604207166,1.67319284140691e-07,5003022,5003285,"+"
"vnz_22970","DbldCcsWT14h",-6.37967927925678,1.4732885787413e-07,5003022,5003285,"+"
"vnz_26395","DbldCvsWT10h",-1.02867010605332,0.000949019553220532,5763874,5764344,"+"
"vnz_26395","DbldCcsWT14h",-6.4576015291148,1.4732885787413e-07,5763874,5764344,"+"
"vnz_27065","DbldCvsWT10h",-4.86600362413329,1.91446550056458e-07,5931985,5934375,"+"
"vnz_27065","DbldCcsWT14h",-5.78758672186688,1.4732885787413e-07,5931985,5934375,"+"
"vnz_31910","DbldCvsWT10h",-3.63374361362362,5.2343508954955e-07,7059200,7061212,"+"
"vnz_31910","DbldCcsWT14h",-6.22191490706832,1.4732885787413e-07,7059200,7061212,"+"
"vnz_35035","DbldCvsWT10h",-8.19458397920914,1.49782767910055e-07,7794030,7795442,"+"
"vnz_35035","DbldCcsWT14h",-5.26188891491259,3.02011619280576e-07,7794030,7795442,"+"
"vnz_07055","DbldCvsWT10h",-7.00459115161068,1.52885635747051e-07,1614798,1615043,"-"
"vnz_07055","DbldCcsWT14h",-5.80083883142019,2.11276082854542e-07,1614798,1615043,"-"
"vnz_16995","DbldCvsWT10h",-5.63864569412842,1.52885635747051e-07,3770122,3771144,"-"
"vnz_16995","DbldCcsWT14h",-1.743995806325,3.5388023316553e-05,3770122,3771144,"-"
"vnz_24305","DbldCvsWT10h",-7.14707172809567,1.52885635747051e-07,5292539,5293588,"+"
"vnz_24305","DbldCcsWT14h",-6.56024709601388,1.74204542820054e-07,5292539,5293588,"+"
"vnz_24310","DbldCvsWT10h",-5.98207156947334,1.52885635747051e-07,5293616,5294191,"-"
"vnz_24310","DbldCcsWT14h",-4.63526420835166,2.41516697026132e-07,5293616,5294191,"-"
"vnz_17000","DbldCvsWT10h",-5.63125145300053,1.58184206898495e-07,3771141,3771380,"-"
"vnz_17000","DbldCcsWT14h",-0.959712586188226,0.00174163536581733,3771141,3771380,"-"
"vnz_15155","DbldCvsWT10h",-5.27960527060216,1.61456869500356e-07,3376789,3377571,"+"
"vnz_15155","DbldCcsWT14h",-4.14366289597971,2.4513181132383e-07,3376789,3377571,"+"
"vnz_28935","DbldCvsWT10h",-7.45565690249323,1.61456869500356e-07,6375726,6378926,"-"
"vnz_28935","DbldCcsWT14h",-4.67026861138389,6.0744638631422e-07,6375726,6378926,"-"
"vnz_12340","DbldCvsWT10h",-6.08535387567966,1.63111681574657e-07,2737457,2738353,"-"
"vnz_12340","DbldCcsWT14h",-6.06548224289885,1.72367099263935e-07,2737457,2738353,"-"
"vnz_22680","DbldCvsWT10h",-6.10673878226715,3.17687210407721e-07,4942163,4943089,"+"
"vnz_22680","DbldCcsWT14h",-8.72913936369957,1.64011690101345e-07,4942163,4943089,"+"
"vnz_05090","DbldCvsWT10h",-4.92427593882342,2.1218716736501e-07,1195040,1195735,"+"
"vnz_05090","DbldCcsWT14h",-5.88590037507069,1.65756994602231e-07,1195040,1195735,"+"
"vnz_01270","DbldCvsWT10h",-9.24143745703819,1.67319284140691e-07,280031,281158,"+"
"vnz_01270","DbldCcsWT14h",-6.03764464748419,4.4499538805044e-07,280031,281158,"+"
"vnz_06210","DbldCvsWT10h",-7.50036428917751,1.67319284140691e-07,1435275,1435508,"-"
"vnz_06210","DbldCcsWT14h",-7.2815914729879,1.80790801257927e-07,1435275,1435508,"-"
"vnz_13890","DbldCvsWT10h",-6.48796411983556,1.67319284140691e-07,3104343,3105116,"+"
"vnz_13890","DbldCcsWT14h",-6.2174283818023,1.8977191935235e-07,3104343,3105116,"+"
"vnz_16990","DbldCvsWT10h",-4.86763608756789,1.67319284140691e-07,3768867,3770102,"-"
"vnz_16990","DbldCcsWT14h",-1.4212580469411,0.000110121600929148,3768867,3770102,"-"
"vnz_28905","DbldCvsWT10h",-8.46323042874398,1.67319284140691e-07,6366785,6369904,"-"
"vnz_28905","DbldCcsWT14h",-3.13474834619999,2.11301436629517e-05,6366785,6369904,"-"
"vnz_30770","DbldCvsWT10h",-7.29097227152279,1.67319284140691e-07,6790887,6791585,"-"
"vnz_30770","DbldCcsWT14h",-5.28963810642139,4.97571407591862e-07,6790887,6791585,"-"
"vnz_20905","DbldCvsWT10h",-5.29973677209607,2.62085974305232e-07,4579043,4579486,"+"
"vnz_20905","DbldCcsWT14h",-6.81544595826602,1.69311389686171e-07,4579043,4579486,"+"
"vnz_15150","DbldCvsWT10h",-6.4466478123856,2.13713898659649e-07,3375854,3376687,"-"
"vnz_15150","DbldCcsWT14h",-7.71880039479639,1.72367099263935e-07,3375854,3376687,"-"
"vnz_12705","DbldCvsWT10h",-3.5582326858213,1.46815875467929e-06,2830986,2831429,"-"
"vnz_12705","DbldCcsWT14h",-6.2074335397953,1.7280665600036e-07,2830986,2831429,"-"
"vnz_09000","DbldCvsWT10h",-3.6192734949372,8.76389480004796e-07,2047961,2048761,"-"
"vnz_09000","DbldCcsWT14h",-6.04556931222838,1.74204542820054e-07,2047961,2048761,"-"
"vnz_12745","DbldCvsWT10h",-6.29323768482437,2.43761846497438e-07,2839347,2839973,"+"
"vnz_12745","DbldCcsWT14h",-7.75473709873114,1.74204542820054e-07,2839347,2839973,"+"
"vnz_13140","DbldCvsWT10h",0.327820502686349,0.145447629838134,2918322,2918813,"+"
"vnz_13140","DbldCcsWT14h",-5.56481439466727,1.74204542820054e-07,2918322,2918813,"+"
"vnz_15660","DbldCvsWT10h",-5.15608067911901,2.03616791984522e-07,3484640,3485878,"+"
"vnz_15660","DbldCcsWT14h",-5.70589126938791,1.74204542820054e-07,3484640,3485878,"+"
"vnz_05805","DbldCvsWT10h",-7.12274952621868,1.78243501810695e-07,1340303,1341373,"-"
"vnz_05805","DbldCcsWT14h",-7.28785050158924,1.75519196491875e-07,1340303,1341373,"-"
"vnz_18530","DbldCvsWT10h",-4.82731252191575,1.78243501810695e-07,4092887,4093708,"+"
"vnz_18530","DbldCcsWT14h",-3.52680366147979,5.07101742738431e-07,4092887,4093708,"+"
"vnz_28115","DbldCvsWT10h",-5.29669435832837,1.78243501810695e-07,6168472,6170842,"-"
"vnz_28115","DbldCcsWT14h",-2.73564654783394,2.28808930649409e-06,6168472,6170842,"-"
"vnz_24095","DbldCvsWT10h",-5.15791708241637,2.29826114995846e-07,5245901,5247193,"+"
"vnz_24095","DbldCcsWT14h",-5.96532993065387,1.79274940053672e-07,5245901,5247193,"+"
"vnz_19620","DbldCvsWT10h",-2.8864158124059,9.44014224955566e-07,4311676,4313283,"+"
"vnz_19620","DbldCcsWT14h",-4.44675222757977,1.83349748365903e-07,4311676,4313283,"+"
"vnz_01280","DbldCvsWT10h",-8.39687952384003,1.86259168533493e-07,283605,285791,"+"
"vnz_01280","DbldCcsWT14h",-8.52491093124641,1.86805276273561e-07,283605,285791,"+"
"vnz_23650","DbldCvsWT10h",-7.19213626888506,1.88242732520558e-07,5147599,5148060,"-"
"vnz_23650","DbldCcsWT14h",-7.34675485610908,2.23973989797666e-07,5147599,5148060,"-"
"vnz_12710","DbldCvsWT10h",-4.57511004708756,3.77121696713585e-07,2831656,2832942,"+"
"vnz_12710","DbldCcsWT14h",-5.94808395450291,1.8977191935235e-07,2831656,2832942,"+"
"vnz_15145","DbldCvsWT10h",-6.06529351953973,2.29826114995846e-07,3375506,3375706,"+"
"vnz_15145","DbldCcsWT14h",-6.91851609597761,1.8977191935235e-07,3375506,3375706,"+"
"vnz_29850","DbldCvsWT10h",-5.02455924743689,2.03616791984522e-07,6573318,6574613,"+"
"vnz_29850","DbldCcsWT14h",-5.29545462040734,1.8977191935235e-07,6573318,6574613,"+"
"vnz_09095","DbldCvsWT10h",-4.41640876041198,1.90029316011332e-07,2071393,2072778,"+"
"vnz_09095","DbldCcsWT14h",-3.98558131016579,2.47667130477408e-07,2071393,2072778,"+"
"vnz_27105","DbldCvsWT10h",-6.18923310582531,1.90822323618469e-07,5945869,5947704,"+"
"vnz_27105","DbldCcsWT14h",-6.05533633225613,1.98005035526786e-07,5945869,5947704,"+"
"vnz_01265","DbldCvsWT10h",-7.44479129423649,1.91446550056458e-07,278304,279797,"-"
"vnz_01265","DbldCcsWT14h",-4.99533076577638,6.61900243879969e-07,278304,279797,"-"
"vnz_35485","DbldCvsWT10h",-6.66440158074274,1.91446550056458e-07,7911991,7913469,"-"
"vnz_35485","DbldCcsWT14h",-6.33244315212266,2.506626219088e-07,7911991,7913469,"-"
"vnz_25220","DbldCvsWT10h",-5.39308709424775,1.95012046078052e-07,5495407,5496513,"+"
"vnz_25220","DbldCcsWT14h",-2.42750879258462,8.6729464925428e-06,5495407,5496513,"+"
"vnz_28915","DbldCvsWT10h",-9.69982262876805,1.95012046078052e-07,6370555,6370995,"-"
"vnz_28915","DbldCcsWT14h",-4.22741594265629,5.37605621066427e-06,6370555,6370995,"-"
"vnz_22000","DbldCvsWT10h",6.84186561536877,1.96491313340729e-07,4789622,4790014,"-"
"vnz_22000","DbldCcsWT14h",2.51242934955975,1.50595947114992e-05,4789622,4790014,"-"
"vnz_28955","DbldCvsWT10h",-4.31378267632961,1.96491313340729e-07,6382178,6385315,"+"
"vnz_28955","DbldCcsWT14h",-4.1148253850179,2.41907334434094e-07,6382178,6385315,"+"
"vnz_07930","DbldCvsWT10h",-4.46822083225786,3.84700823426119e-07,1807521,1808318,"-"
"vnz_07930","DbldCcsWT14h",-5.639320605219,2.01963873024381e-07,1807521,1808318,"-"
"vnz_09540","DbldCvsWT10h",-4.19544102906571,2.82919379406737e-07,2170043,2170645,"+"
