"gene","logFC","FDR","add_variable","start","end","strand"
"vnz_28920",6.93296049722979,3.62731309046543e-13,"wt13-wt20",6371031,6372584,"-"
"vnz_28895",6.72332415353404,3.62731309046543e-13,"wt13-wt20",6365461,6366183,"-"
"vnz_28935",6.40806086296573,3.62731309046543e-13,"wt13-wt20",6375726,6378926,"-"
"vnz_28875",6.34208950606894,3.62731309046543e-13,"wt13-wt20",6360935,6362896,"-"
"vnz_23555",-7.43317092796828,3.62731309046543e-13,"wt13-wt20",5129123,5130751,"+"
"vnz_28925",6.53449452652073,5.87794742307319e-13,"wt13-wt20",6372821,6375013,"-"
"vnz_35030",-5.41726955469226,8.02402563652789e-13,"wt13-wt20",7792149,7793609,"-"
"vnz_35020",-7.42119544798604,9.09969709648946e-13,"wt13-wt20",7790238,7790741,"+"
"vnz_04885",-8.88796675373772,1.08420224327036e-12,"wt13-wt20",1151338,1151532,"+"
"vnz_22985",-8.19773141488995,1.25772955013687e-12,"wt13-wt20",5005446,5005721,"+"
"vnz_02660",-8.58155580986418,1.47533360066499e-12,"wt13-wt20",637043,638386,"-"
"vnz_36070",-6.60828337418914,1.70885765975418e-12,"wt13-wt20",8043133,8043381,"-"
"vnz_04890",-7.38994427319119,1.76312142816414e-12,"wt13-wt20",1151570,1153216,"+"
"vnz_28910",7.17436637221455,1.8996291190446e-12,"wt13-wt20",6370064,6370558,"-"
"vnz_35015",-9.00049082824891,1.98777164298301e-12,"wt13-wt20",7789627,7790220,"+"
"vnz_00080",-7.55384054763979,2.01994891577635e-12,"wt13-wt20",14532,15020,"+"
"vnz_06210",-7.61120691626055,2.01994891577635e-12,"wt13-wt20",1435275,1435508,"-"
"vnz_22680",-4.74551063638355,2.43902560031549e-12,"wt13-wt20",4942163,4943089,"+"
"vnz_35825",-7.26891135945574,2.67253009568141e-12,"wt13-wt20",7998616,7999050,"+"
"vnz_17440",-7.01673355747408,3.38056434624207e-12,"wt13-wt20",3848687,3849124,"+"
"vnz_05545",-6.60565178783526,4.36410720185391e-12,"wt13-wt20",1291476,1291889,"+"
"vnz_28915",6.67757727560166,4.7101690958251e-12,"wt13-wt20",6370555,6370995,"-"
"vnz_02645",-7.01600864322585,4.98322645141741e-12,"wt13-wt20",635677,636300,"-"
"vnz_04455",-5.3719866372601,5.78210799109113e-12,"wt13-wt20",1053790,1054809,"-"
"vnz_32420",-6.42634009921446,5.78210799109113e-12,"wt13-wt20",7180540,7181613,"+"
"vnz_15655",-6.40711287461906,5.78210799109113e-12,"wt13-wt20",3483556,3484341,"+"
"vnz_10905",-5.590125576941,5.78210799109113e-12,"wt13-wt20",2402491,2403726,"+"
"vnz_09460",-5.8215122434605,5.78210799109113e-12,"wt13-wt20",2151181,2151600,"+"
"vnz_06175",-5.98973060099414,5.78210799109113e-12,"wt13-wt20",1427781,1428566,"-"
"vnz_17435",-7.04561195032388,5.78740649072877e-12,"wt13-wt20",3848243,3848677,"+"
"vnz_22100",-4.49686239435776,6.32910274167583e-12,"wt13-wt20",4819561,4820676,"-"
"vnz_21155",-4.64981498590513,8.00859152176502e-12,"wt13-wt20",4638221,4639726,"-"
"vnz_35815",-7.90058352273597,8.00859152176502e-12,"wt13-wt20",7994401,7995234,"+"
"vnz_28945",6.21736281584614,8.18995371543253e-12,"wt13-wt20",6380025,6381305,"+"
"vnz_16085",-5.11961390092789,1.23023637249856e-11,"wt13-wt20",3578095,3578463,"+"
"vnz_33490",-7.06026574266589,1.29635750819409e-11,"wt13-wt20",7437598,7437930,"-"
"vnz_07275",-8.5112709247276,1.29898812494756e-11,"wt13-wt20",1663295,1663768,"-"
"vnz_22995",-8.17304093005941,1.32191223520317e-11,"wt13-wt20",5006652,5007062,"-"
"vnz_15660",-5.44607511202269,1.47333469384672e-11,"wt13-wt20",3484640,3485878,"+"
"vnz_32910",-5.96062084692933,1.47333469384672e-11,"wt13-wt20",7297508,7298116,"-"
"vnz_01495",-6.61940519687089,1.49616025196026e-11,"wt13-wt20",338306,338506,"-"
"vnz_00640",-6.22492670289369,1.57865065628934e-11,"wt13-wt20",140917,142437,"+"
"vnz_32195",-5.60576134266878,1.98600372556037e-11,"wt13-wt20",7127523,7130084,"+"
"vnz_05805",-4.42954702946651,2.02395185738066e-11,"wt13-wt20",1340303,1341373,"-"
"vnz_33360",-4.87203788060974,2.02425289043336e-11,"wt13-wt20",7405211,7407391,"-"
"vnz_33465",-6.49422432219889,2.02425289043336e-11,"wt13-wt20",7431972,7432601,"+"
"vnz_07270",-6.95078678980118,2.08704062372627e-11,"wt13-wt20",1663045,1663236,"-"
"vnz_03570",5.86648506891397,2.08704062372627e-11,"wt13-wt20",855152,856654,"-"
"vnz_33655",-6.90365629933382,2.36279865991158e-11,"wt13-wt20",7472221,7472778,"-"
"vnz_31540",-4.71368079427241,2.49079498126892e-11,"wt13-wt20",6977356,6978414,"-"
"vnz_00800",6.96905199392558,2.49079498126892e-11,"wt13-wt20",180705,181880,"+"
"vnz_25720",-6.82107597435659,2.49926749346027e-11,"wt13-wt20",5622945,5623985,"+"
"vnz_10995",-6.71577885810376,2.53052192518867e-11,"wt13-wt20",2426555,2426965,"+"
"vnz_06565",-5.49111147221072,2.55001224097785e-11,"wt13-wt20",1507299,1508129,"+"
"vnz_03780",-4.51841509096111,2.58461202725228e-11,"wt13-wt20",910192,911607,"+"
"vnz_02650",-7.94077070503709,2.86084239597014e-11,"wt13-wt20",636281,636637,"-"
"vnz_18205",-4.48794633631707,2.86330902712958e-11,"wt13-wt20",4020197,4020640,"+"
"vnz_21180",5.35407163180695,2.99526898072601e-11,"wt13-wt20",4645222,4645839,"+"
"vnz_12675",-7.35143712519342,3.06330724635182e-11,"wt13-wt20",2823453,2825102,"+"
"vnz_35830",-6.80127867480754,3.06330724635182e-11,"wt13-wt20",7999065,7999481,"+"
"vnz_22000",-8.08707900575321,3.27129908297446e-11,"wt13-wt20",4789622,4790014,"-"
"vnz_27205",-5.35628536161792,3.35880404667003e-11,"wt13-wt20",5972731,5973618,"+"
"vnz_06820",-5.75583560712377,3.35880404667003e-11,"wt13-wt20",1563639,1564073,"-"
"vnz_04475",-4.84152078796227,3.35880404667003e-11,"wt13-wt20",1057676,1059391,"+"
"vnz_02640",-6.43883015428804,3.50673756850907e-11,"wt13-wt20",634154,635680,"-"
"vnz_24375",-6.54238298810558,3.51732727625617e-11,"wt13-wt20",5306076,5306825,"+"
"vnz_28900",6.0976765486346,3.695501992757e-11,"wt13-wt20",6366290,6366715,"-"
"vnz_26130",-3.86337379406205,3.70428650418919e-11,"wt13-wt20",5712120,5714042,"+"
"vnz_28820",-6.63327992944012,3.80399507234527e-11,"wt13-wt20",6348238,6348903,"-"
"vnz_01270",-7.29787465396817,3.96072860378405e-11,"wt13-wt20",280031,281158,"+"
"vnz_14330",6.06066727854088,3.98106326765048e-11,"wt13-wt20",3176910,3177539,"+"
"vnz_00810",6.7827750665995,4.003671872011e-11,"wt13-wt20",182964,184094,"-"
"vnz_01265",-5.17591677307597,4.003671872011e-11,"wt13-wt20",278304,279797,"-"
"vnz_33485",-4.80628670322152,4.003671872011e-11,"wt13-wt20",7436474,7437502,"+"
"vnz_12665",-6.91558751873929,4.003671872011e-11,"wt13-wt20",2820028,2821710,"+"
"vnz_02665",-4.8334543887515,4.03766570223722e-11,"wt13-wt20",638865,640202,"-"
"vnz_35890",-5.55926590324292,4.03766570223722e-11,"wt13-wt20",8009720,8010133,"-"
"vnz_23565",-8.22788629332401,4.36589210212638e-11,"wt13-wt20",5131749,5132735,"+"
"vnz_28855",4.475692711781,4.58264071483139e-11,"wt13-wt20",6356063,6357109,"-"
"vnz_27090",-4.57570831723094,4.88352790388491e-11,"wt13-wt20",5941413,5942771,"+"
"vnz_01280",-5.65860083460724,4.88352790388491e-11,"wt13-wt20",283605,285791,"+"
"vnz_34905",-5.26205873785538,5.25425652777201e-11,"wt13-wt20",7762881,7764548,"+"
"vnz_06205",-5.507633136576,5.27083356905476e-11,"wt13-wt20",1434244,1435134,"-"
"vnz_28930",6.52182104469598,5.28628790930999e-11,"wt13-wt20",6375022,6375729,"-"
"vnz_35005",-7.59386838179588,5.41796234734495e-11,"wt13-wt20",7787846,7788349,"+"
"vnz_24295",-6.22832287811926,5.41796234734495e-11,"wt13-wt20",5290181,5290771,"-"
"vnz_23880",-4.71394869178283,5.41796234734495e-11,"wt13-wt20",5195712,5197286,"-"
"vnz_29405",3.49016238732348,6.28677552200751e-11,"wt13-wt20",6476952,6477647,"+"
"vnz_23570",-6.9974978135788,6.42222297002391e-11,"wt13-wt20",5132742,5133725,"+"
"vnz_28290",-3.94332896317868,6.6025918568961e-11,"wt13-wt20",6203781,6205163,"+"
"vnz_00140",-7.6593661583951,6.74921560653653e-11,"wt13-wt20",30415,31074,"-"
"vnz_33650",-10.5529393344931,7.06150858324675e-11,"wt13-wt20",7471592,7472077,"+"
"vnz_32920",-4.98607754577858,7.1508147622929e-11,"wt13-wt20",7299838,7300386,"+"
"vnz_23440",4.11830566359671,7.63798920643775e-11,"wt13-wt20",5099083,5100261,"+"
"vnz_32425",-5.58074106175753,7.86827000822398e-11,"wt13-wt20",7181674,7181964,"-"
"vnz_00795",5.55574715588983,7.86827000822398e-11,"wt13-wt20",178744,180531,"-"
"vnz_07145",-5.26079452963056,7.86827000822398e-11,"wt13-wt20",1640583,1640858,"-"
"vnz_06645",-8.01872220901685,8.19812524778637e-11,"wt13-wt20",1524387,1525436,"+"
"vnz_20990",5.62332795304907,8.44045074480002e-11,"wt13-wt20",4600222,4602477,"-"
"vnz_12875",-5.91926065763056,8.54954871830291e-11,"wt13-wt20",2867836,2868717,"-"
"vnz_01015",-5.12376543355884,8.57556171784981e-11,"wt13-wt20",227918,229297,"+"
"vnz_11000",-6.66881102902081,1.02368834214483e-10,"wt13-wt20",2426988,2428321,"+"
"vnz_04470",-4.16743848089622,1.03924879620176e-10,"wt13-wt20",1056127,1057572,"+"
"vnz_28890",7.22794522231729,1.03924879620176e-10,"wt13-wt20",6363647,6365464,"-"
"vnz_12810",-6.38450855078388,1.074769718213e-10,"wt13-wt20",2855437,2856831,"-"
"vnz_07365",-7.72595729747425,1.11299539100916e-10,"wt13-wt20",1683699,1684697,"-"
"vnz_16405",-4.16649393706129,1.12436757656647e-10,"wt13-wt20",3648759,3649745,"+"
"vnz_01275",-5.00550022239432,1.20258332813181e-10,"wt13-wt20",281525,283444,"+"
"vnz_00135",-5.87948690054681,1.24603639360127e-10,"wt13-wt20",26406,29378,"-"
"vnz_33580",-3.52200622787673,1.36242179758885e-10,"wt13-wt20",7456983,7459067,"+"
"vnz_19110",-4.04129310370275,1.36970564096505e-10,"wt13-wt20",4211804,4213168,"+"
"vnz_13030",-6.84181697202466,1.40402888851527e-10,"wt13-wt20",2896060,2897358,"+"
"vnz_14625",-4.87098630612774,1.44135390954441e-10,"wt13-wt20",3254517,3254936,"-"
"vnz_27240",-5.93409272377814,1.5002063027229e-10,"wt13-wt20",5981685,5982173,"+"
"vnz_16410",-6.57985265904004,1.56599622685485e-10,"wt13-wt20",3649723,3651030,"-"
"vnz_12705",-4.56822228719751,1.60435178474227e-10,"wt13-wt20",2830986,2831429,"-"
"vnz_35855",-4.12663693373209,1.65465873121929e-10,"wt13-wt20",8002465,8004012,"+"
"vnz_09465",-4.91127893287313,1.65465873121929e-10,"wt13-wt20",2151585,2152403,"-"
"vnz_32210",-7.85015914830123,1.70643314618201e-10,"wt13-wt20",7132295,7133149,"+"
"vnz_16835",-3.92887652900383,1.91249188584925e-10,"wt13-wt20",3738331,3740004,"-"
"vnz_33575",-7.90394025721299,1.93359260116117e-10,"wt13-wt20",7455800,7456933,"+"
"vnz_23560",-7.85394003657333,2.01570253913495e-10,"wt13-wt20",5130833,5131756,"+"
"vnz_32915",-5.28542379037003,2.11665320574972e-10,"wt13-wt20",7298183,7299559,"-"
"vnz_14775",-6.05237441483891,2.47887678046236e-10,"wt13-wt20",3287039,3287224,"-"
"vnz_30370",-6.66757768423967,2.50346346793191e-10,"wt13-wt20",6703106,6704023,"+"
"vnz_13185",-4.62595394448411,2.53097739912867e-10,"wt13-wt20",2926831,2927472,"-"
"vnz_23000",-4.0681898967991,2.78555703502013e-10,"wt13-wt20",5007272,5007715,"+"
"vnz_12670",-6.20348192957771,2.84825715211418e-10,"wt13-wt20",2821720,2823423,"+"
"vnz_17295",-4.54324387729143,3.03543555817738e-10,"wt13-wt20",3820513,3821487,"+"
"vnz_28860",4.86929983044653,3.03543555817738e-10,"wt13-wt20",6357117,6358517,"-"
"vnz_33520",-5.4278267580635,3.07666600375165e-10,"wt13-wt20",7441791,7442912,"-"
"vnz_22990",-6.75228178349854,3.19560518512598e-10,"wt13-wt20",5005802,5006668,"-"
"vnz_12800",-4.49957359429551,3.20885959413687e-10,"wt13-wt20",2851962,2852555,"-"
"vnz_17915",-5.32016994039161,3.26188887944228e-10,"wt13-wt20",3957169,3957555,"-"
"vnz_14440",3.64836510020203,3.41964510212099e-10,"wt13-wt20",3209419,3211680,"-"
"vnz_28870",5.55484145865797,3.58212523573372e-10,"wt13-wt20",6360360,6360938,"-"
