chrom	chromStart	chromEnd	name
Chromosome	1097	1400	25h
Chromosome	1109	1414	48h
Chromosome	3583	3816	25h
Chromosome	3570	3824	48h
Chromosome	11317	11677	25h
Chromosome	11366	11650	48h
Chromosome	19776	20035	25h
Chromosome	19526	20058	48h
Chromosome	19776	20035	25h
Chromosome	19526	20058	48h
Chromosome	21517	21721	25h
Chromosome	21489	21754	48h
Chromosome	23221	23392	25h
Chromosome	23200	23427	48h
Chromosome	36598	36811	25h
Chromosome	36588	36817	48h
Chromosome	36598	36811	25h
Chromosome	36588	36817	48h
Chromosome	41144	41473	25h
Chromosome	41134	41496	48h
Chromosome	53782	53951	25h
Chromosome	53743	53996	48h
Chromosome	66599	66773	25h
Chromosome	66607	66796	48h
Chromosome	68142	68324	25h
Chromosome	68137	68340	48h
Chromosome	68142	68324	25h
Chromosome	68137	68340	48h
Chromosome	70685	70921	25h
Chromosome	70702	70860	48h
Chromosome	74741	74995	25h
Chromosome	74733	74991	48h
Chromosome	78805	79172	25h
Chromosome	78784	79166	48h
Chromosome	79801	80035	25h
Chromosome	79705	80077	48h
Chromosome	80641	81040	25h
Chromosome	80628	81063	48h
Chromosome	90117	90447	25h
Chromosome	90085	90492	48h
Chromosome	90117	90447	25h
Chromosome	90085	90492	48h
Chromosome	94067	94272	25h
Chromosome	94061	94297	48h
Chromosome	104650	104924	25h
Chromosome	104657	104883	48h
Chromosome	120199	120706	25h
Chromosome	120194	120753	48h
Chromosome	122377	122702	25h
Chromosome	122330	122733	48h
Chromosome	122377	122702	25h
Chromosome	122330	122733	48h
Chromosome	137279	137518	25h
Chromosome	137253	137559	48h
Chromosome	138899	139092	25h
Chromosome	138898	139105	48h
Chromosome	138899	139092	25h
Chromosome	138898	139105	48h
Chromosome	158221	158417	25h
Chromosome	158203	158441	48h
Chromosome	174626	174830	25h
Chromosome	174660	174850	48h
Chromosome	214396	214792	25h
Chromosome	214391	214806	48h
Chromosome	214396	214792	25h
Chromosome	214391	214806	48h
Chromosome	221064	221407	25h
Chromosome	221052	221405	48h
Chromosome	222564	222747	25h
Chromosome	222485	222749	48h
Chromosome	222564	222747	25h
Chromosome	222485	222749	48h
Chromosome	243658	243865	25h
Chromosome	243623	243904	48h
Chromosome	249333	249626	25h
Chromosome	249323	249652	48h
Chromosome	308669	309107	25h
Chromosome	308666	309060	48h
Chromosome	320514	320757	25h
Chromosome	320565	320722	48h
Chromosome	359983	360313	25h
Chromosome	359930	360341	48h
Chromosome	369781	370008	25h
Chromosome	369760	370016	48h
Chromosome	395514	395854	25h
Chromosome	395517	395845	48h
Chromosome	416631	416787	25h
Chromosome	416592	416818	48h
Chromosome	459295	459567	25h
Chromosome	459279	459595	48h
Chromosome	460956	461207	25h
Chromosome	460938	461384	48h
Chromosome	460956	461207	25h
Chromosome	460938	461384	48h
Chromosome	466429	466614	25h
Chromosome	466395	466644	48h
Chromosome	475412	475586	25h
Chromosome	475399	475569	48h
Chromosome	482525	482747	25h
Chromosome	482495	482770	48h
Chromosome	487485	487623	25h
Chromosome	487395	487665	48h
Chromosome	487485	487623	25h
Chromosome	487395	487665	48h
Chromosome	498151	498347	25h
Chromosome	498135	498371	48h
Chromosome	564650	564865	25h
Chromosome	564587	564924	48h
Chromosome	569273	569578	25h
Chromosome	569241	569634	48h
Chromosome	569273	569578	25h
Chromosome	569241	569634	48h
Chromosome	573588	573910	25h
Chromosome	573532	573888	48h
Chromosome	592986	593183	25h
Chromosome	592922	593207	48h
Chromosome	611483	611727	25h
Chromosome	611468	611746	48h
Chromosome	656503	656767	25h
Chromosome	656478	656797	48h
Chromosome	661382	661547	25h
Chromosome	661369	661575	48h
Chromosome	694442	694699	25h
Chromosome	694429	694715	48h
Chromosome	699526	699788	25h
Chromosome	699259	699756	48h
Chromosome	700458	700702	25h
Chromosome	700442	700643	48h
Chromosome	701335	701561	25h
Chromosome	701307	701594	48h
Chromosome	711810	711960	25h
Chromosome	711770	712013	48h
Chromosome	738241	738455	25h
Chromosome	738216	738482	48h
Chromosome	738241	738455	25h
Chromosome	738216	738482	48h
Chromosome	769584	769791	25h
Chromosome	769614	769772	48h
Chromosome	783986	784216	25h
Chromosome	783945	784270	48h
Chromosome	802468	802722	25h
Chromosome	802429	802767	48h
Chromosome	806687	806925	25h
Chromosome	806669	806944	48h
Chromosome	806687	806925	25h
Chromosome	806669	806944	48h
Chromosome	809958	810164	25h
Chromosome	809922	810230	48h
Chromosome	877550	877689	25h
Chromosome	877512	877731	48h
Chromosome	893030	893262	25h
Chromosome	893026	893280	48h
Chromosome	893030	893262	25h
Chromosome	893026	893280	48h
Chromosome	922133	922381	25h
Chromosome	922102	922412	48h
Chromosome	922133	922381	25h
Chromosome	922102	922412	48h
Chromosome	924739	925111	25h
Chromosome	924705	925124	48h
Chromosome	925356	925560	25h
Chromosome	925347	925571	48h
Chromosome	926602	926865	25h
Chromosome	926564	926918	48h
Chromosome	931321	931526	25h
Chromosome	931294	931574	48h
Chromosome	942897	943110	25h
Chromosome	942889	943117	48h
Chromosome	950303	950485	25h
Chromosome	950285	950510	48h
Chromosome	950303	950485	25h
Chromosome	950285	950510	48h
Chromosome	965767	966063	25h
Chromosome	965732	966088	48h
Chromosome	970977	971325	25h
Chromosome	970947	971348	48h
Chromosome	983879	984029	25h
Chromosome	983874	984151	48h
Chromosome	999322	999544	25h
Chromosome	999310	999552	48h
Chromosome	1020522	1020872	25h
Chromosome	1020485	1020924	48h
Chromosome	1087750	1087888	25h
Chromosome	1087738	1087943	48h
Chromosome	1112927	1113148	25h
Chromosome	1112943	1113151	48h
Chromosome	1112927	1113148	25h
Chromosome	1112943	1113151	48h
Chromosome	1141767	1141966	25h
Chromosome	1141732	1142121	48h
Chromosome	1144998	1145294	25h
Chromosome	1144981	1145329	48h
Chromosome	1146300	1146502	25h
Chromosome	1146276	1146531	48h
Chromosome	1148524	1148737	25h
Chromosome	1148508	1148758	48h
Chromosome	1153230	1153423	25h
Chromosome	1153220	1153441	48h
Chromosome	1165166	1165484	25h
Chromosome	1165151	1165517	48h
Chromosome	1193128	1193283	25h
Chromosome	1193103	1193279	48h
Chromosome	1193128	1193283	25h
Chromosome	1193103	1193279	48h
Chromosome	1200081	1200454	25h
Chromosome	1200019	1200483	48h
Chromosome	1211386	1211948	25h
Chromosome	1211412	1211974	48h
Chromosome	1238988	1239162	25h
Chromosome	1238970	1239184	48h
Chromosome	1283236	1283424	25h
Chromosome	1283204	1283434	48h
Chromosome	1283236	1283424	25h
Chromosome	1283204	1283434	48h
Chromosome	1292164	1292433	25h
Chromosome	1292146	1292614	48h
Chromosome	1302669	1302886	25h
Chromosome	1302642	1302923	48h
Chromosome	1310177	1310500	25h
Chromosome	1310136	1310546	48h
Chromosome	1317110	1317262	25h
Chromosome	1317096	1317291	48h
Chromosome	1349331	1349645	25h
Chromosome	1349334	1349643	48h
Chromosome	1412526	1412865	25h
Chromosome	1412497	1412907	48h
Chromosome	1412526	1412865	25h
Chromosome	1412497	1412907	48h
Chromosome	1419705	1420078	25h
Chromosome	1419682	1420057	48h
Chromosome	1421347	1421623	25h
Chromosome	1421313	1421633	48h
Chromosome	1463038	1463360	25h
Chromosome	1463055	1463351	48h
Chromosome	1486104	1486444	25h
Chromosome	1486071	1486460	48h
Chromosome	1534865	1535028	25h
Chromosome	1534850	1535048	48h
Chromosome	1561135	1561898	25h
Chromosome	1561149	1561930	48h
Chromosome	1588450	1588722	25h
Chromosome	1588451	1588729	48h
Chromosome	1593475	1593657	25h
Chromosome	1593439	1593728	48h
Chromosome	1600748	1601178	25h
Chromosome	1600739	1601179	48h
Chromosome	1615037	1615181	25h
Chromosome	1615009	1615206	48h
Chromosome	1625262	1625433	25h
Chromosome	1625236	1625432	48h
