"gene","logFC","FDR","add_variable","start","end","strand"
"vnz_14155",4.48,2.86738e-10,"ECF42 sigma factor",3141529,3142404,"+"
"vnz_14120",4.44,3.6592e-06,"ECF42 sigma factor",3134681,3135019,"+"
"vnz_14160",4.29,0.00014787,"ECF42 sigma factor",3142417,3142644,"+"
"vnz_14080",4.08,1.47505e-07,"ECF42 sigma factor",3130043,3130744,"+"
"vnz_14165",4.04,3.17185e-08,"ECF42 sigma factor",3142608,3142886,"+"
"vnz_22345",3.86,0,"ECF42 sigma factor",4874442,4875668,"+"
"vnz_14135",3.7,7.03732e-06,"ECF42 sigma factor",3135903,3136205,"+"
"vnz_27795",3.54,0.0436904,"ECF42 sigma factor",6111508,6111939,"-"
"vnz_14130",3.38,3.10088e-09,"ECF42 sigma factor",3135469,3135882,"+"
"vnz_10355",3.29,0.04101289,"ECF42 sigma factor",2303944,2304171,"+"
"vnz_33245",3.26,0.03595786,"ECF42 sigma factor",7377205,7377861,"+"
"vnz_03580",3.24,0.01917054,"ECF42 sigma factor",857670,858836,"-"
"vnz_14100",3.04,7.3436e-07,"ECF42 sigma factor",3132903,3133487,"+"
"vnz_14095",3.01,6.31435e-07,"ECF42 sigma factor",3132544,3132903,"+"
"vnz_14105",2.85,0.00055195,"ECF42 sigma factor",3133484,3133816,"+"
"vnz_27880",2.83,0.1447582,"ECF42 sigma factor",6125402,6126091,"+"
"vnz_09700",2.83,0.1640522,"ECF42 sigma factor",2199343,2199603,"+"
"vnz_14125",2.82,1.25898e-05,"ECF42 sigma factor",3135021,3135452,"+"
"vnz_12125",2.82,0.1577436,"ECF42 sigma factor",2695122,2695319,"-"
"vnz_14090",2.71,1.23781e-08,"ECF42 sigma factor",3132081,3132458,"+"
"vnz_02135",2.6,0.1040205,"ECF42 sigma factor",484139,484897,"-"
"vnz_30890",2.59,0.1476585,"ECF42 sigma factor",6813904,6814776,"+"
"vnz_14140",2.58,1.36401e-05,"ECF42 sigma factor",3136202,3138238,"+"
"vnz_07190",2.39,0.01257631,"ECF42 sigma factor",1649283,1650002,"-"
"vnz_09695",2.36,0.09114358,"ECF42 sigma factor",2199063,2199269,"+"
"vnz_33375",2.29,0.2557411,"ECF42 sigma factor",7410097,7410372,"-"
"vnz_14085",2.28,1.75073e-05,"ECF42 sigma factor",3130801,3132030,"+"
"vnz_14075",2.25,1.93416e-06,"ECF42 sigma factor",3127844,3129856,"+"
"vnz_06675",2.25,0.0467627,"ECF42 sigma factor",1532646,1533695,"-"
"vnz_10385",2.24,0.2316389,"ECF42 sigma factor",2308869,2309267,"+"
"vnz_27830",2.23,0.2484278,"ECF42 sigma factor",6116846,6117250,"-"
"vnz_27815",2.23,0.3313257,"ECF42 sigma factor",6113935,6114447,"-"
"vnz_10200",2.23,0.343388,"ECF42 sigma factor",2289336,2289707,"+"
"vnz_33340",2.18,0.1155547,"ECF42 sigma factor",7401006,7401830,"+"
"vnz_14150",2.04,0.01711866,"ECF42 sigma factor",3141021,3141458,"+"
"vnz_07915",1.98,1.76361e-08,"ECF42 sigma factor",1805010,1806221,"+"
"vnz_02325",1.98,0.1827065,"ECF42 sigma factor",537012,537539,"+"
"vnz_31450",1.9,0.3405359,"ECF42 sigma factor",6960563,6961132,"+"
"vnz_19660",1.89,0.02097218,"ECF42 sigma factor",4318495,4319055,"+"
"vnz_15565",1.87,8.39052e-10,"ECF42 sigma factor",3464479,3464922,"-"
"vnz_35170",1.87,0.3126337,"ECF42 sigma factor",7832028,7833014,"-"
"vnz_30310",1.86,0.1011509,"ECF42 sigma factor",6687398,6687619,"-"
"vnz_30880",1.85,0.09081841,"ECF42 sigma factor",6812304,6813602,"+"
"vnz_34070",1.83,0.3388902,"ECF42 sigma factor",7559431,7560384,"+"
"vnz_10150",1.83,0.3554145,"ECF42 sigma factor",2284484,2284681,"+"
"vnz_29695",1.81,0.1827922,"ECF42 sigma factor",6537630,6538055,"+"
"vnz_30115",1.78,0.005440696,"ECF42 sigma factor",6640150,6640731,"-"
"vnz_14070",1.77,0.1432753,"ECF42 sigma factor",3127659,3127841,"+"
"vnz_27890",1.77,0.2260318,"ECF42 sigma factor",6126961,6127401,"+"
"vnz_35010",1.77,0.3355922,"ECF42 sigma factor",7788443,7789537,"+"
"vnz_23855",1.73,0.2357488,"ECF42 sigma factor",5189895,5190893,"+"
"vnz_14145",1.72,1.08463e-05,"ECF42 sigma factor",3138241,3141009,"+"
"vnz_04505",1.7,0.2703283,"ECF42 sigma factor",1063564,1064169,"-"
"vnz_25295",1.69,0.2482648,"ECF42 sigma factor",5523564,5524328,"+"
"vnz_34620",1.68,0.08612891,"ECF42 sigma factor",7683058,7684008,"-"
"vnz_14710",1.66,2.30734e-18,"ECF42 sigma factor",3272158,3272775,"+"
"vnz_14115",1.66,0.01650041,"ECF42 sigma factor",3134216,3134614,"+"
"vnz_17215",1.63,0.1538508,"ECF42 sigma factor",3809667,3810059,"+"
"vnz_13975",1.61,0.01730658,"ECF42 sigma factor",3116979,3117353,"+"
"vnz_35745",1.61,0.1993438,"ECF42 sigma factor",7973678,7974493,"+"
"vnz_22350",1.59,4.16123e-59,"ECF42 sigma factor",4875862,4877415,"+"
"vnz_07910",1.58,6.46773e-17,"ECF42 sigma factor",1804274,1804918,"-"
"vnz_15570",1.58,3.10287e-13,"ECF42 sigma factor",3464975,3465370,"-"
