"gene","FDR","logFC","add_variable","start","end","width","strand"
"SCO0039",6.52e-06,1.68706068833989,"Daor1vsWT",31520,32137,618,"+"
"SCO0070",0.000124,1.65992455840238,"Daor1vsWT",59558,60241,684,"+"
"SCO0124",0.00791,0.782408564927373,"Daor1vsWT",103628,104989,1362,"+"
"SCO0125",0.00111,1.08406426478847,"Daor1vsWT",105057,106640,1584,"+"
"SCO0126",7.54e-05,0.985500430304885,"Daor1vsWT",106637,112885,6249,"+"
"SCO0127",2.85e-07,1.19534759832222,"Daor1vsWT",112932,119654,6723,"+"
"SCO0224",8.36e-08,3.74416109557041,"Daor1vsWT",215807,216844,1038,"-"
"SCO0269",2.17e-05,1.67807190511264,"Daor1vsWT",256526,259687,3162,"+"
"SCO0270",3.74e-06,1.61823865559545,"Daor1vsWT",259684,261084,1401,"+"
"SCO0320",2.81e-11,4.5668151540109,"Daor1vsWT",320110,320583,474,"+"
"SCO0321",2.38e-07,1.90303827011291,"Daor1vsWT",320699,322255,1557,"+"
"SCO0381",3.32e-30,4.40599235967584,"Daor1vsWT",395939,397414,1476,"+"
"SCO0382",5.05e-25,4.0703893278914,"Daor1vsWT",397485,398810,1326,"+"
"SCO0383",8.63e-20,3.81762325751143,"Daor1vsWT",398881,400104,1224,"+"
"SCO0384",8.31e-23,3.94485844580754,"Daor1vsWT",400179,401468,1290,"+"
"SCO0385",1.32e-23,3.92599941855622,"Daor1vsWT",401465,403030,1566,"+"
"SCO0386",5.03e-30,3.77610398807316,"Daor1vsWT",403034,404968,1935,"+"
"SCO0387",7.64e-29,3.77610398807316,"Daor1vsWT",405070,407250,2181,"+"
"SCO0388",7.12e-27,3.97269265400426,"Daor1vsWT",407253,409214,1962,"+"
"SCO0389",1.22e-31,3.54843662469604,"Daor1vsWT",409237,410772,1536,"+"
"SCO1053",5.94e-05,1.6959938131099,"Daor1vsWT",1109004,1109432,429,"-"
"SCO1063",6.72e-07,1.87578006306849,"Daor1vsWT",1123067,1123960,894,"-"
"SCO1065",6e-11,1.87578006306849,"Daor1vsWT",1124895,1126256,1362,"-"
"SCO1072",8.84e-06,1.73552217729654,"Daor1vsWT",1132462,1132683,222,"+"
"SCO1100",1.57e-10,1.67807190511264,"Daor1vsWT",1158218,1158796,579,"+"
"SCO1160",3.86e-05,1.59931779369823,"Daor1vsWT",1218590,1221178,2589,"-"
"SCO1178",3.08e-14,4.46597446450407,"Daor1vsWT",1242334,1242783,450,"-"
"SCO1227",7.38e-08,1.74416109557041,"Daor1vsWT",1300601,1302070,1470,"-"
"SCO1266",7.82e-05,1.63691458035588,"Daor1vsWT",1336608,1337876,1269,"-"
"SCO1281",0.000132,1.60880924267552,"Daor1vsWT",1352088,1353410,1323,"-"
"SCO1356",2.38e-19,1.85598969730848,"Daor1vsWT",1434218,1434715,498,"+"
"SCO1357",1.6e-09,1.78659636189081,"Daor1vsWT",1434718,1435179,462,"+"
"SCO1358",5.37e-08,1.61823865559545,"Daor1vsWT",1435312,1436223,912,"-"
"SCO1364",1.1e-17,2.5385381636298,"Daor1vsWT",1442209,1442748,540,"-"
"SCO1366",6.17e-19,1.75702324650746,"Daor1vsWT",1443255,1443908,654,"-"
"SCO1367",1.68e-62,4.67807190511264,"Daor1vsWT",1443901,1444656,756,"-"
"SCO1368",1.38e-60,4.07895134139482,"Daor1vsWT",1444653,1445792,1140,"-"
"SCO1369",9.08e-29,2.54843662469604,"Daor1vsWT",1445966,1447180,1215,"+"
"SCO1370",3.85e-31,2.19534759832222,"Daor1vsWT",1447177,1447812,636,"+"
"SCO1456",0.000156,1.76553474636298,"Daor1vsWT",1553815,1554174,360,"-"
"SCO1550",2.27e-15,3.08406426478847,"Daor1vsWT",1658389,1658571,183,"-"
"SCO1573",1.14e-20,2.12763327972587,"Daor1vsWT",1683419,1684756,1338,"+"
"SCO1574",1.11e-12,1.70929063572336,"Daor1vsWT",1684919,1685587,669,"+"
"SCO1575",2.63e-09,1.58496250072116,"Daor1vsWT",1685643,1686383,741,"+"
"SCO1722",2.41e-05,1.66448284036468,"Daor1vsWT",1842282,1843034,753,"-"
"SCO1723",2.61e-05,1.76553474636298,"Daor1vsWT",1843031,1843588,558,"-"
"SCO1740",0.000249,1.75274859140713,"Daor1vsWT",1859718,1860782,1065,"+"
"SCO0390",1.02e-24,3.44625622988956,"Daor1vsWT",410774,412006,1233,"+"
"SCO0391",2.23e-40,4.23266075679027,"Daor1vsWT",412009,413250,1242,"+"
"SCO0392",1.04e-34,3.92599941855622,"Daor1vsWT",413247,414497,1251,"+"
"SCO0393",1.46e-30,3.79701297783614,"Daor1vsWT",414494,415303,810,"+"
"SCO0394",4.74e-35,3.62058641045188,"Daor1vsWT",415300,415947,648,"+"
"SCO0395",7.61e-27,3.47248777146274,"Daor1vsWT",415951,416976,1026,"+"
"SCO0396",2.13e-29,3.35049724708413,"Daor1vsWT",416973,418247,1275,"+"
"SCO0397",7.31e-28,3.47248777146274,"Daor1vsWT",418253,419542,1290,"+"
"SCO0398",7.58e-19,2.76553474636298,"Daor1vsWT",419539,420486,948,"+"
"SCO0399",5.68e-24,3.29719141656586,"Daor1vsWT",420492,421715,1224,"+"
"SCO0400",4.26e-28,2.95419631038688,"Daor1vsWT",421712,422263,552,"+"
"SCO0401",8.87e-23,3.27202318906105,"Daor1vsWT",422271,423596,1326,"+"
"SCO0409",8.74e-28,2.49569516262407,"Daor1vsWT",429492,429956,465,"-"
"SCO0532",1.25e-05,1.62293035092018,"Daor1vsWT",564141,565049,909,"+"
"SCO0548",0.000418,1.75274859140713,"Daor1vsWT",587985,589271,1287,"-"
"SCO0554",2.28e-06,1.65535182861255,"Daor1vsWT",593641,595338,1698,"-"
"SCO0644",4.7e-13,2.04614178164472,"Daor1vsWT",685288,687444,2157,"-"
"SCO0656",1.22e-06,1.76128527336162,"Daor1vsWT",694782,695624,843,"+"
"SCO0685",4.71e-06,1.71369581484336,"Daor1vsWT",726401,726808,408,"-"
"SCO0729",9.57e-18,1.71369581484336,"Daor1vsWT",772544,772966,423,"+"
"SCO0752",9.62e-21,2.16027483140859,"Daor1vsWT",794689,796002,1314,"-"
"SCO0882",2.61e-05,1.74416109557041,"Daor1vsWT",928670,929017,348,"+"
"SCO0909",8.02e-19,1.85598969730848,"Daor1vsWT",953440,954429,990,"-"
"SCO0930",1.55e-19,2.45680614923047,"Daor1vsWT",977491,978444,954,"-"
"SCO0944",4.59e-27,2.25398926623079,"Daor1vsWT",989560,990210,651,"+"
"SCO0973",5.58e-22,3.19849415363908,"Daor1vsWT",1024508,1025767,1260,"+"
"SCO0991",1.57e-07,1.73984810269933,"Daor1vsWT",1046251,1047114,864,"+"
"SCO1767",3.77e-13,1.95233356636969,"Daor1vsWT",1886499,1887218,720,"-"
"SCO1801",8.86e-10,2.19849415363908,"Daor1vsWT",1929011,1929643,633,"-"
"SCO1802",2.25e-10,2.0496307677246,"Daor1vsWT",1929645,1930823,1179,"-"
"SCO1803",6.4e-07,5.76818432477693,"Daor1vsWT",1931041,1931736,696,"+"
"SCO1804",3.13e-07,5.46270675067016,"Daor1vsWT",1931736,1932812,1077,"+"
"SCO1839",9.89e-10,2.02502879449152,"Daor1vsWT",1967236,1967457,222,"-"
"SCO1862",7.06e-17,2.38128337250378,"Daor1vsWT",1996351,1996833,483,"-"
"SCO1868",3.41e-19,2.10768786931437,"Daor1vsWT",2001886,2002980,1095,"-"
"SCO1892",4.68e-11,1.64154602908752,"Daor1vsWT",2026325,2027572,1248,"+"
"SCO1905",5.07e-13,1.72683121703249,"Daor1vsWT",2038879,2040480,1602,"-"
"SCO1909",7.38e-11,3.71149490665009,"Daor1vsWT",2046252,2046959,708,"-"
"SCO2028",0.000139,1.86789646399265,"Daor1vsWT",2177792,2179321,1530,"+"
"SCO2029",7.33e-06,1.59931779369823,"Daor1vsWT",2179318,2180595,1278,"+"
"SCO2056",0.000127,1.60407132366886,"Daor1vsWT",2204605,2205735,1131,"+"
"SCO2217",2.64e-15,2.16671544496642,"Daor1vsWT",2380490,2381995,1506,"+"
"SCO2218",5.96e-10,2.93357263826102,"Daor1vsWT",2382072,2382518,447,"-"
"SCO2309",2.55e-07,2.52606881166759,"Daor1vsWT",2478172,2479641,1470,"-"
"SCO2408",4.31e-13,1.95977015521147,"Daor1vsWT",2581080,2582705,1626,"+"
"SCO2477",1.71e-06,1.65535182861255,"Daor1vsWT",2668624,2669391,768,"-"
"SCO2478",1.95e-11,3.67807190511264,"Daor1vsWT",2669524,2670111,588,"-"
"SCO2492",7.55e-24,3.11935617703968,"Daor1vsWT",2682933,2683406,474,"+"
"SCO2495",8.77e-15,1.77820857639809,"Daor1vsWT",2688116,2689894,1779,"+"
"SCO2511",5.44e-08,1.79493566280354,"Daor1vsWT",2708946,2709167,222,"-"
"SCO2512",6.68e-16,2.36176835941915,"Daor1vsWT",2709164,2709370,207,"-"
"SCO2517",4.76e-39,2.77820857639809,"Daor1vsWT",2712740,2713423,684,"-"
"SCO2518",7.91e-48,2.99819550315325,"Daor1vsWT",2713432,2714775,1344,"-"
"SCO2519",2.15e-34,4.56071495447448,"Daor1vsWT",2714777,2716855,2079,"-"
"SCO2550",8.31e-16,1.89141918684608,"Daor1vsWT",2750935,2751450,516,"-"
"SCO2641",2e-11,1.72683121703249,"Daor1vsWT",2871981,2873168,1188,"+"
"SCO2695",1.83e-11,3.85798099512757,"Daor1vsWT",2940382,2941152,771,"+"
"SCO2696",3.98e-07,2.21101219348551,"Daor1vsWT",2941209,2942201,993,"+"
"SCO2706",2.1e-06,1.60880924267552,"Daor1vsWT",2947584,2948894,1311,"+"
"SCO2745",2.95e-11,1.64154602908752,"Daor1vsWT",2990408,2991451,1044,"+"
"SCO2861",2.76e-07,1.59931779369823,"Daor1vsWT",3117159,3117881,723,"+"
"SCO2909",1.05e-11,1.63691458035588,"Daor1vsWT",3161531,3161698,168,"+"
"SCO2937",1.19e-06,2.17312743348066,"Daor1vsWT",3189296,3190747,1452,"-"
"SCO2954",1.72e-16,1.58496250072116,"Daor1vsWT",3212154,3212738,585,"-"
"SCO2976",1.54e-12,2.90110824301451,"Daor1vsWT",3240815,3241444,630,"-"
"SCO2977",5.34e-17,1.59454854955035,"Daor1vsWT",3241532,3242731,1200,"+"
"SCO3111",5.79e-10,1.76128527336162,"Daor1vsWT",3411511,3412299,789,"-"
"SCO3134",2.58e-17,2.06350294230616,"Daor1vsWT",3434985,3435941,957,"-"
"SCO3210",5.7e-23,2.56315813040281,"Daor1vsWT",3519449,3520903,1455,"-"
"SCO3211",1.24e-23,2.84197311892718,"Daor1vsWT",3520900,3521676,777,"-"
"SCO3212",1.57e-25,2.51601514700366,"Daor1vsWT",3521673,3522680,1008,"-"
"SCO3213",2.09e-07,2.18269229751619,"Daor1vsWT",3522697,3523299,603,"-"
"SCO3214",2.58e-21,2.28095631383106,"Daor1vsWT",3523296,3524831,1536,"-"
"SCO3215",2.71e-32,2.74416109557041,"Daor1vsWT",3524828,3525844,1017,"-"
"SCO3217",0.000678,0.933572638261024,"Daor1vsWT",3529272,3531188,1917,"+"
"SCO3218",5.57e-11,3.8073549220576,"Daor1vsWT",3531250,3531465,216,"-"
"SCO3220",4.31e-14,4.46597446450407,"Daor1vsWT",3532971,3533399,429,"-"
"SCO3221",5.79e-13,3.88752527074159,"Daor1vsWT",3533492,3534346,855,"-"
"SCO3222",4.45e-06,3.52356195605701,"Daor1vsWT",3534444,3534899,456,"-"
"SCO3227",5.03e-13,2.88557436437143,"Daor1vsWT",3539337,3540671,1335,"-"
"SCO3228",1.26e-24,3.4594316186373,"Daor1vsWT",3540668,3541801,1134,"-"
"SCO3229",1.45e-10,3.68929916053589,"Daor1vsWT",3541951,3543066,1116,"-"
"SCO3230",1.23e-20,3.13914201914569,"Daor1vsWT",3543335,3565726,22392,"+"
"SCO3231",2.67e-23,2.93734439215023,"Daor1vsWT",3565723,3576735,11013,"+"
"SCO3232",1.63e-21,3.05137210172103,"Daor1vsWT",3576735,3583988,7254,"+"
"SCO3233",3.69e-17,2.88947354253111,"Daor1vsWT",3583992,3584810,819,"+"
"SCO3234",2.27e-15,2.89917563048051,"Daor1vsWT",3584822,3585724,903,"+"
"SCO3235",6.08e-15,3.1243281350022,"Daor1vsWT",3585800,3587647,1848,"-"
"SCO3236",1.13e-10,3.6667565918848,"Daor1vsWT",3587687,3588688,1002,"-"
"SCO3237",2.68e-13,2.75915583380027,"Daor1vsWT",3588746,3590134,1389,"-"
"SCO3238",8.38e-19,3.0036022366802,"Daor1vsWT",3590146,3591306,1161,"-"
"SCO3239",9.93e-19,3.09254574154357,"Daor1vsWT",3591313,3592182,870,"-"
"SCO3240",2.36e-36,3.57288966842058,"Daor1vsWT",3592179,3592889,711,"-"
"SCO3241",1.2e-18,3.26903314645524,"Daor1vsWT",3592886,3593758,873,"-"
"SCO3242",7.17e-12,4.16992500144231,"Daor1vsWT",3593755,3594630,876,"-"
"SCO3243",2.7e-14,3.8073549220576,"Daor1vsWT",3594627,3595793,1167,"-"
"SCO3244",5.33e-10,3.59693514238723,"Daor1vsWT",3595843,3596640,798,"-"
"SCO3245",1.23e-22,3.53605290024021,"Daor1vsWT",3596708,3597970,1263,"-"
"SCO3246",1.12e-09,3.28095631383106,"Daor1vsWT",3598017,3599009,993,"-"
"SCO3247",8.57e-15,3.48542682717024,"Daor1vsWT",3599006,3600808,1803,"-"
"SCO3248",2.76e-09,3.72246602447109,"Daor1vsWT",3600858,3602078,1221,"-"
"SCO3249",1.81e-14,3.99095486039699,"Daor1vsWT",3602075,3602320,246,"-"
"SCO3263",1.08e-06,2.32768736417605,"Daor1vsWT",3613332,3613631,300,"-"
"SCO3264",3.14e-11,2.22650852980868,"Daor1vsWT",3613628,3614359,732,"-"
"SCO3287",3.49e-06,1.6915341649192,"Daor1vsWT",3636329,3636847,519,"+"
"SCO3713",8.04e-07,1.78240856492737,"Daor1vsWT",4088998,4089171,174,"-"
"SCO3714",2.37e-09,2.28392177230762,"Daor1vsWT",4089285,4090508,1224,"-"
"SCO3750",2.96e-18,1.91838623444635,"Daor1vsWT",4120212,4121462,1251,"-"
"SCO3999",3.67e-18,1.89141918684608,"Daor1vsWT",4394003,4395133,1131,"+"
"SCO4005",4.34e-12,2.38956681176273,"Daor1vsWT",4397899,4398372,474,"+"
"SCO4118",4.92e-20,2.4905701304462,"Daor1vsWT",4523502,4524395,894,"-"
"SCO4174",1.46e-10,2.26903314645524,"Daor1vsWT",4587872,4588123,252,"-"
"SCO4175",1.64e-29,2.76977173924945,"Daor1vsWT",4588120,4588512,393,"-"
"SCO4214",3.04e-136,6.79441586635011,"Daor1vsWT",4622993,4623433,441,"-"
"SCO4265",1.27e-11,2.10433665981474,"Daor1vsWT",4680295,4681806,1512,"-"
"SCO4266",3.57e-23,4.33628338786443,"Daor1vsWT",4681886,4682866,981,"-"
"SCO4280",3.3e-06,2.30158764660319,"Daor1vsWT",4694592,4695200,609,"-"
"SCO4291",1.73e-10,1.81557542886257,"Daor1vsWT",4706614,4707315,702,"+"
"SCO4317",2.43e-13,1.89530262133331,"Daor1vsWT",4729548,4729769,222,"+"
"SCO4332",2.57e-10,1.74846123300404,"Daor1vsWT",4746028,4748436,2409,"-"
"SCO4562",5.41e-08,2.22650852980868,"Daor1vsWT",4980274,4980633,360,"+"
"SCO4563",5.07e-05,1.6959938131099,"Daor1vsWT",4980646,4981200,555,"+"
"SCO4578",4.73e-05,1.68257329734758,"Daor1vsWT",4999466,4999690,225,"-"
"SCO4617",2.89e-06,1.59931779369823,"Daor1vsWT",5040809,5042281,1473,"-"
"SCO4622",1.7e-07,1.81966818349646,"Daor1vsWT",5046484,5046984,501,"-"
"SCO4624",0.00018,1.70043971814109,"Daor1vsWT",5047328,5047663,336,"-"
