"chrom","chromStart","chromEnd","name"
"Chromosome",21667,21896,"Enriched in TopA depleted strain"
"Chromosome",77005,77188,"Enriched in TopA depleted strain"
"Chromosome",81398,81581,"Enriched in TopA depleted strain"
"Chromosome",329177,329291,"Enriched in TopA depleted strain"
"Chromosome",330212,330303,"Enriched in TopA depleted strain"
"Chromosome",609156,609339,"Enriched in TopA depleted strain"
"Chromosome",756379,756447,"Enriched in TopA depleted strain"
"Chromosome",886214,886420,"Enriched in TopA depleted strain"
"Chromosome",931409,931638,"Enriched in TopA depleted strain"
"Chromosome",965817,965885,"Enriched in TopA depleted strain"
"Chromosome",1104576,1104782,"Enriched in TopA depleted strain"
"Chromosome",1267439,1267622,"Enriched in TopA depleted strain"
"Chromosome",1333656,1333747,"Enriched in TopA depleted strain"
"Chromosome",1570533,1570693,"Enriched in TopA depleted strain"
"Chromosome",1666512,1666902,"Enriched in TopA depleted strain"
"Chromosome",1715755,1715892,"Enriched in TopA depleted strain"
"Chromosome",1876111,1876363,"Enriched in TopA depleted strain"
"Chromosome",1918891,1919304,"Enriched in TopA depleted strain"
"Chromosome",1939062,1939199,"Enriched in TopA depleted strain"
"Chromosome",1964822,1965350,"Enriched in TopA depleted strain"
"Chromosome",2025266,2025403,"Enriched in TopA depleted strain"
"Chromosome",2191234,2191348,"Enriched in TopA depleted strain"
"Chromosome",2262971,2263269,"Enriched in TopA depleted strain"
"Chromosome",2904487,2904762,"Enriched in TopA depleted strain"
"Chromosome",3061899,3062197,"Enriched in TopA depleted strain"
"Chromosome",3234422,3234743,"Enriched in TopA depleted strain"
"Chromosome",3236446,3236583,"Enriched in TopA depleted strain"
"Chromosome",3302042,3302156,"Enriched in TopA depleted strain"
"Chromosome",3483190,3483465,"Enriched in TopA depleted strain"
"Chromosome",3496691,3496920,"Enriched in TopA depleted strain"
"Chromosome",3685038,3685290,"Enriched in TopA depleted strain"
"Chromosome",3687798,3688211,"Enriched in TopA depleted strain"
"Chromosome",3826097,3826395,"Enriched in TopA depleted strain"
"Chromosome",3828834,3829017,"Enriched in TopA depleted strain"
"Chromosome",3830628,3830834,"Enriched in TopA depleted strain"
"Chromosome",3856986,3857169,"Enriched in TopA depleted strain"
"Chromosome",3908161,3908367,"Enriched in TopA depleted strain"
"Chromosome",4374049,4374278,"Enriched in TopA depleted strain"
"Chromosome",4387780,4388124,"Enriched in TopA depleted strain"
"Chromosome",4452180,4452386,"Enriched in TopA depleted strain"
"Chromosome",4460989,4461149,"Enriched in TopA depleted strain"
"Chromosome",4530012,4530287,"Enriched in TopA depleted strain"
"Chromosome",4532174,4532541,"Enriched in TopA depleted strain"
"Chromosome",4535808,4536083,"Enriched in TopA depleted strain"
"Chromosome",4593469,4593767,"Enriched in TopA depleted strain"
"Chromosome",4660238,4660329,"Enriched in TopA depleted strain"
"Chromosome",4697958,4698233,"Enriched in TopA depleted strain"
"Chromosome",4739450,4739725,"Enriched in TopA depleted strain"
"Chromosome",4792143,4792510,"Enriched in TopA depleted strain"
"Chromosome",4862431,4862913,"Enriched in TopA depleted strain"
"Chromosome",5016324,5016461,"Enriched in TopA depleted strain"
"Chromosome",5016853,5016990,"Enriched in TopA depleted strain"
"Chromosome",5047121,5047212,"Enriched in TopA depleted strain"
"Chromosome",5171298,5171504,"Enriched in TopA depleted strain"
"Chromosome",5191055,5191468,"Enriched in TopA depleted strain"
"Chromosome",5267392,5267506,"Enriched in TopA depleted strain"
"Chromosome",5329262,5329445,"Enriched in TopA depleted strain"
"Chromosome",5357023,5357298,"Enriched in TopA depleted strain"
"Chromosome",5595326,5595463,"Enriched in TopA depleted strain"
"Chromosome",5669846,5670075,"Enriched in TopA depleted strain"
"Chromosome",5726978,5727046,"Enriched in TopA depleted strain"
"Chromosome",5761616,5761891,"Enriched in TopA depleted strain"
"Chromosome",5771874,5771942,"Enriched in TopA depleted strain"
"Chromosome",5797703,5797817,"Enriched in TopA depleted strain"
"Chromosome",5826016,5826130,"Enriched in TopA depleted strain"
"Chromosome",5849223,5849314,"Enriched in TopA depleted strain"
"Chromosome",5875236,5875373,"Enriched in TopA depleted strain"
"Chromosome",5920316,5920407,"Enriched in TopA depleted strain"
"Chromosome",5922248,5922408,"Enriched in TopA depleted strain"
"Chromosome",6028600,6028691,"Enriched in TopA depleted strain"
"Chromosome",6062065,6062225,"Enriched in TopA depleted strain"
"Chromosome",6078096,6078164,"Enriched in TopA depleted strain"
"Chromosome",6132468,6132582,"Enriched in TopA depleted strain"
"Chromosome",6139621,6139919,"Enriched in TopA depleted strain"
"Chromosome",6151236,6151557,"Enriched in TopA depleted strain"
"Chromosome",6160137,6160251,"Enriched in TopA depleted strain"
"Chromosome",6272331,6272675,"Enriched in TopA depleted strain"
"Chromosome",6273366,6273710,"Enriched in TopA depleted strain"
"Chromosome",6275137,6275297,"Enriched in TopA depleted strain"
"Chromosome",6366102,6366193,"Enriched in TopA depleted strain"
"Chromosome",6443980,6444232,"Enriched in TopA depleted strain"
"Chromosome",6445820,6445957,"Enriched in TopA depleted strain"
"Chromosome",6533243,6533472,"Enriched in TopA depleted strain"
"Chromosome",6541178,6541292,"Enriched in TopA depleted strain"
"Chromosome",6599989,6600080,"Enriched in TopA depleted strain"
"Chromosome",6628670,6628876,"Enriched in TopA depleted strain"
"Chromosome",6671059,6671242,"Enriched in TopA depleted strain"
"Chromosome",6725362,6725453,"Enriched in TopA depleted strain"
