"gene","logFC","FDR","add_variable","start","end","strand"
"vnz_21495",9.57438297657938,2.89762565068109e-12,"MMC",4706798,4707208,"-"
"vnz_05700",9.54667112530563,3.90010136882035e-15,"MMC",1319178,1319687,"+"
"vnz_21480",9.49599529261611,1.18680010856999e-13,"MMC",4705290,4705553,"-"
"vnz_21535",9.40228652670438,1.03139063024462e-15,"MMC",4714853,4716058,"-"
"vnz_21555",9.37042985200739,3.64086101482725e-16,"MMC",4718719,4719021,"-"
"vnz_21565",9.31278234230728,2.53175165562784e-16,"MMC",4719521,4720126,"-"
"vnz_21505",9.20766408366353,7.95275052051682e-16,"MMC",4707836,4708966,"-"
"vnz_21490",9.20544377119497,4.5102347999594e-15,"MMC",4705809,4706720,"-"
"vnz_21540",9.15557579568402,4.13303295155945e-16,"MMC",4716090,4717103,"-"
"vnz_21530",9.11500672671175,1.24231455446694e-15,"MMC",4713609,4714856,"-"
"vnz_21570",9.08352419083857,2.28095582849248e-15,"MMC",4720229,4720636,"-"
"vnz_21520",9.07200174411979,4.17511279368977e-17,"MMC",4711386,4712579,"-"
"vnz_29465",9.06019852709919,2.5559918834199e-13,"MMC",6492822,6493448,"-"
"vnz_21525",9.04178244282011,7.94187982972223e-17,"MMC",4712629,4713561,"-"
"vnz_21510",9.01046442499389,8.03761854357193e-15,"MMC",4708978,4710123,"-"
"vnz_21515",8.8854165363239,4.17511279368977e-17,"MMC",4710155,4711348,"-"
"vnz_14095",8.82606493539087,2.60651216973187e-15,"MMC",3132544,3132903,"+"
"vnz_06120",8.55821299846887,2.8661131749639e-12,"MMC",1413433,1414191,"+"
"vnz_25280",8.44505573875097,5.84155000631589e-10,"MMC",5520479,5521732,"+"
"vnz_27575",8.40126665196515,5.27417263626741e-13,"MMC",6064346,6065263,"+"
"vnz_02930",8.26747661556055,8.0176172316617e-11,"MMC",709967,710536,"-"
"vnz_04405",7.78420644141624,1.72185546950544e-11,"MMC",1039602,1040390,"-"
"vnz_16245",7.70871074823189,1.49146715734644e-09,"MMC",3610926,3611450,"+"
"vnz_21550",7.57286982093127,3.11952774906189e-14,"MMC",4717712,4718689,"+"
"vnz_29620",7.51073738154239,1.68581926747872e-10,"MMC",6523428,6524408,"+"
"vnz_23230",7.50300790038647,3.97587594284034e-12,"MMC",5054029,5054583,"-"
"vnz_05735",7.44974112397151,8.41531314758533e-11,"MMC",1326096,1327124,"-"
"vnz_29580",7.38777567313547,3.93864749805962e-12,"MMC",6515019,6516575,"+"
"vnz_20675",7.31198212617329,8.16405620750728e-09,"MMC",4529004,4530221,"+"
"vnz_29575",7.31118986111478,5.30409229496192e-10,"MMC",6514267,6514944,"+"
"vnz_05745",7.27965530907822,5.11769401849922e-11,"MMC",1328918,1329868,"+"
"vnz_06610",7.20142210041731,1.83355462809275e-10,"MMC",1515215,1515721,"-"
"vnz_26875",7.15824856642674,5.46895033479283e-11,"MMC",5890002,5890676,"-"
"vnz_29595",6.91841130250782,1.09732791024011e-09,"MMC",6518850,6519638,"+"
"vnz_29605",6.86490965092505,1.74231487021563e-09,"MMC",6521224,6521454,"+"
"vnz_29600",6.64315977943102,1.05137775585733e-10,"MMC",6519635,6521209,"+"
"vnz_16220",6.45351912209195,1.12812275705984e-10,"MMC",3606793,3608100,"-"
"vnz_34150",6.43409022782646,1.10231159930905e-11,"MMC",7579014,7579790,"+"
"vnz_29590",6.42807433397828,4.43432324403244e-13,"MMC",6517502,6518878,"+"
"vnz_29615",6.32264404755093,1.26217293003123e-11,"MMC",6521995,6523410,"+"
"vnz_13870",6.29114515536584,2.65187605655962e-10,"MMC",3100153,3101835,"-"
"vnz_29665",6.19199191262445,2.97372368716445e-12,"MMC",6532294,6532956,"+"
"vnz_29625",6.05464406992925,1.41784281522495e-10,"MMC",6524545,6525414,"+"
"vnz_29635",5.86019045474365,2.79526393724212e-12,"MMC",6526656,6527624,"+"
"vnz_29630",5.67827000130693,1.70907754848168e-11,"MMC",6525466,6526659,"+"
"vnz_13865",5.64791961722964,6.94832196923152e-10,"MMC",3098939,3100135,"-"
"vnz_00080",5.6452555582952,5.872424986644e-12,"MMC",14532,15020,"+"
"vnz_29645",5.45598652683818,2.87849468100948e-11,"MMC",6528226,6529245,"+"
"vnz_22745",5.17618725934643,1.35172781644397e-09,"MMC",4956064,4957605,"+"
"vnz_15320",5.08989674595783,8.81970607957896e-11,"MMC",3417417,3418763,"-"
"vnz_29675",5.08755645843396,2.58113816428196e-10,"MMC",6533517,6534035,"-"
"vnz_09500",5.04636212969174,6.94335738116473e-14,"MMC",2159821,2161527,"-"
"vnz_21575",4.9411202393853,3.44498936061155e-10,"MMC",4720908,4721732,"+"
"vnz_06640",4.93630304330191,1.8683716395302e-10,"MMC",1520705,1524217,"-"
"vnz_29535",4.83328913368095,1.41401553300255e-09,"MMC",6505870,6507624,"+"
"vnz_27765",4.74181530917104,3.4167428235909e-09,"MMC",6106547,6106768,"-"
"vnz_17175",4.60754288699116,3.41019994734704e-06,"MMC",3800174,3801244,"-"
"vnz_05740",4.51209307197743,1.96321803676661e-08,"MMC",1327267,1328721,"+"
"vnz_31145",4.31902158256193,1.67014196291412e-10,"MMC",6887778,6888809,"-"
"vnz_32560",4.3145589924784,4.9620764739523e-10,"MMC",7216177,7217235,"+"
"vnz_33680",4.24177152252945,5.41456358475106e-10,"MMC",7478170,7480347,"-"
"vnz_12460",4.23741764865742,1.23531904827976e-06,"MMC",2769140,2769703,"-"
"vnz_15985",4.23382929709219,2.52156612753517e-10,"MMC",3557637,3558644,"-"
"vnz_05705",4.14943668818804,1.55320694065167e-08,"MMC",1319699,1321126,"-"
"vnz_27560",4.12250007924501,5.24090968967139e-08,"MMC",6060638,6062137,"+"
"vnz_21410",4.11133854188691,1.58087369923901e-09,"MMC",4688272,4688904,"-"
"vnz_26055",4.04589874914167,3.00931592151309e-09,"MMC",5691069,5691653,"+"
"vnz_11270",4.04244636747446,9.2143265876479e-10,"MMC",2487961,2488266,"-"
"vnz_15860",4.02899329396103,1.52597769926023e-09,"MMC",3530370,3531950,"-"
"vnz_25005",3.97480156402499,2.89579836306866e-07,"MMC",5441937,5442659,"+"
"vnz_15995",3.91868350500524,7.50739968378943e-08,"MMC",3559414,3560100,"-"
"vnz_13240",3.90554868420045,3.30814927147615e-09,"MMC",2939264,2941363,"+"
"vnz_18590",3.8509879102955,1.47853554408211e-07,"MMC",4106563,4107006,"-"
"vnz_29530",3.7980102273546,2.89556756586293e-12,"MMC",6504835,6505473,"+"
"vnz_17470",3.79573883559955,6.65651981147314e-08,"MMC",3855203,3857254,"-"
"vnz_06635",3.78041676371577,2.37739687929774e-07,"MMC",1519749,1520708,"-"
"vnz_14440",3.76684615960303,1.07606590093372e-10,"MMC",3209419,3211680,"-"
"vnz_16805",3.76053885986135,2.6120819441628e-09,"MMC",3731285,3733279,"-"
"vnz_32495",3.75876555010378,1.05075313384802e-08,"MMC",7196925,7198508,"+"
"vnz_13855",3.74995886033404,3.02785755222085e-08,"MMC",3096337,3097551,"-"
"vnz_18340",3.68733144708429,9.96372608489994e-09,"MMC",4052941,4053588,"+"
"vnz_15750",3.63971865457641,1.5318093127368e-09,"MMC",3506569,3507165,"+"
"vnz_14515",3.62320833983946,1.3623166370805e-08,"MMC",3225753,3226517,"+"
"vnz_29650",3.61363375163895,6.55621058173216e-09,"MMC",6529302,6529916,"-"
"vnz_26855",3.60575450433886,1.08014288796325e-08,"MMC",5885669,5886082,"-"
"vnz_02945",3.59137485206915,2.7979537419335e-05,"MMC",712687,714132,"+"
"vnz_15760",3.56636576118511,1.41973515111091e-10,"MMC",3508097,3508834,"-"
"vnz_21465",3.56288339836809,2.60679543132245e-09,"MMC",4696800,4697186,"+"
"vnz_28895",3.55437164760773,1.59792682023704e-06,"MMC",6365461,6366183,"-"
"vnz_20580",3.55236922314922,6.24261707082752e-09,"MMC",4510437,4511198,"-"
"vnz_27565",3.5462556397639,4.49283591473125e-09,"MMC",6062134,6063285,"+"
"vnz_31705",3.5381215593742,1.33171543713182e-05,"MMC",7010450,7010902,"-"
"vnz_02315",3.52211511046216,6.19063076086558e-07,"MMC",533856,535133,"+"
"vnz_14070",3.50429238256578,3.33259488922128e-05,"MMC",3127659,3127841,"+"
"vnz_33035",3.50114977281822,3.29962751700542e-07,"MMC",7331502,7331753,"-"
"vnz_21560",3.49396267527535,2.13046532434548e-08,"MMC",4719135,4719425,"-"
"vnz_11330",3.47979813867381,9.2143265876479e-10,"MMC",2502632,2503111,"-"
"vnz_15540",3.47575481488817,4.08833014779142e-10,"MMC",3459705,3461129,"+"
"vnz_20975",3.46549106923326,8.06403435044029e-11,"MMC",4596979,4597383,"+"
"vnz_32390",3.46235328012789,1.17505227014401e-07,"MMC",7173710,7174360,"+"
"vnz_15765",3.46108288439327,1.0631811249151e-09,"MMC",3508831,3509691,"-"
"vnz_13860",3.44944605978202,1.67211607370443e-06,"MMC",3097611,3098948,"-"
"vnz_00275",3.44537453330606,2.66801989925235e-09,"MMC",60357,61556,"+"
"vnz_11180",3.4421060537818,1.4048704186643e-08,"MMC",2466864,2468024,"+"
"vnz_24605",3.38955728225671,4.23583989473893e-08,"MMC",5357428,5358315,"-"
"vnz_19995",3.38545340213091,1.19032738536435e-07,"MMC",4384698,4386326,"+"
"vnz_09495",3.36711617799828,5.89426575030014e-11,"MMC",2159002,2159529,"-"
"vnz_21455",3.36004703439379,3.22696690159443e-09,"MMC",4695111,4695905,"+"
"vnz_21830",3.35968501511502,1.29722587771368e-06,"MMC",4757759,4758529,"+"
"vnz_20075",3.34152600282618,3.00888220726305e-07,"MMC",4400739,4408097,"+"
"vnz_25680",3.3292000950053,1.63918263117253e-10,"MMC",5615702,5616628,"+"
"vnz_21595",3.32101790040187,3.88250445211794e-12,"MMC",4723279,4723728,"+"
"vnz_00460",3.30989191256342,2.03209402256398e-06,"MMC",103168,103734,"-"
"vnz_28860",3.3086519895682,4.54585174301117e-05,"MMC",6357117,6358517,"-"
"vnz_26615",3.29314895735887,9.31603734014053e-11,"MMC",5821925,5822215,"+"
"vnz_05885",3.26879938831023,1.5703366427694e-09,"MMC",1357829,1359184,"-"
"vnz_15775",3.264246948303,5.3348082893149e-08,"MMC",3510391,3510714,"-"
"vnz_26610",3.2612630059554,1.63918263117253e-10,"MMC",5821533,5821871,"+"
"vnz_15235",3.25699671500678,4.63405500439412e-09,"MMC",3399123,3399353,"+"
"vnz_00495",3.23660640346941,4.2844993730267e-10,"MMC",111292,112890,"-"
"vnz_12720",3.23593525431823,1.12543484119143e-08,"MMC",2833721,2834560,"+"
"vnz_24765",3.23137188295518,5.23760104726184e-08,"MMC",5394431,5395528,"+"
"vnz_14710",3.22802016913272,1.75528362913441e-09,"MMC",3272158,3272775,"+"
"vnz_23440",3.21929231268226,6.10667694265859e-10,"MMC",5099083,5100261,"+"
"vnz_25245",3.21316234320137,2.54236796969512e-09,"MMC",5503230,5509385,"+"
"vnz_30300",3.20880697539786,4.27844324343369e-09,"MMC",6683352,6684839,"+"
"vnz_15695",3.20582507444348,3.02506667308407e-09,"MMC",3492205,3492852,"-"
"vnz_22555",3.19833771608654,9.62310688579542e-06,"MMC",4916956,4918239,"-"
