"gene","add_variable","logFC","FDR","start","end","width","strand"
"SCO1674","DohkAvsM145_48h",-3.64385618977472,0,1794330,1795109,780,"-"
"SCO1674","DohkAvsM145_64h",-4.05889368905357,0,1794330,1795109,780,"-"
"SCO1674","DohkAvsM145_88h",-3.47393118833241,0,1794330,1795109,780,"-"
"SCO1675","DohkAvsM145_48h",-3.64385618977472,0,1795289,1795522,234,"-"
"SCO1675","DohkAvsM145_64h",-4.05889368905357,0,1795289,1795522,234,"-"
"SCO1675","DohkAvsM145_88h",-3.05889368905357,0,1795289,1795522,234,"-"
"SCO1800","DohkAvsM145_48h",-2.25153876699596,0,1928593,1928841,249,"-"
"SCO1800","DohkAvsM145_64h",-2.94341647163363,0,1928593,1928841,249,"-"
"SCO1800","DohkAvsM145_88h",-2.25153876699596,0,1928593,1928841,249,"-"
"SCO2699","DohkAvsM145_48h",-3.47393118833241,0,2943092,2943364,273,"+"
"SCO2699","DohkAvsM145_64h",-3.64385618977472,0,2943092,2943364,273,"+"
"SCO2699","DohkAvsM145_88h",-2.83650126771712,0,2943092,2943364,273,"+"
"SCO2705","DohkAvsM145_48h",-3.18442457113743,0,2947104,2947370,267,"-"
"SCO2705","DohkAvsM145_64h",-3.64385618977472,0,2947104,2947370,267,"-"
"SCO2705","DohkAvsM145_88h",-2.64385618977472,0,2947104,2947370,267,"-"
"SCO2716","DohkAvsM145_48h",-3.47393118833241,0,2960170,2960928,759,"-"
"SCO2716","DohkAvsM145_64h",-3.64385618977472,0,2960170,2960928,759,"-"
"SCO2716","DohkAvsM145_88h",-2.73696559416621,0,2960170,2960928,759,"-"
"SCO2717","DohkAvsM145_48h",-5.05889368905357,0,2961104,2961331,228,"-"
"SCO2717","DohkAvsM145_64h",-5.05889368905357,0,2961104,2961331,228,"-"
"SCO2717","DohkAvsM145_88h",-4.32192809488736,0,2961104,2961331,228,"-"
"SCO7257","DohkAvsM145_48h",-4.32192809488736,0,8069445,8070158,714,"+"
"SCO7257","DohkAvsM145_64h",-4.05889368905357,0,8069445,8070158,714,"+"
"SCO7257","DohkAvsM145_88h",-3.83650126771712,0,8069445,8070158,714,"+"
"SCO2718","DohkAvsM145_48h",-6.64385618977472,0,2961619,2962014,396,"-"
"SCO2718","DohkAvsM145_64h",-6.64385618977472,0,2961619,2962014,396,"-"
"SCO2718","DohkAvsM145_88h",-5.05889368905357,0,2961619,2962014,396,"-"
"SCO2719","DohkAvsM145_48h",-4.64385618977472,0,2962235,2962678,444,"+"
"SCO2719","DohkAvsM145_64h",-4.05889368905357,0,2962235,2962678,444,"+"
"SCO2719","DohkAvsM145_88h",-3.32192809488736,0,2962235,2962678,444,"+"
"SCO3167","DohkAvsM145_48h",-2.64385618977472,0,3469606,3470205,600,"-"
"SCO3167","DohkAvsM145_64h",-1.18442457113743,0,3469606,3470205,600,"-"
"SCO3167","DohkAvsM145_88h",-1.21759143507263,0,3469606,3470205,600,"-"
