"product" "gene" "start" "end" "strand"
"1" "hypothetical protein" "vnz_00010" 1093 1605 "+"
"2" "hypothetical protein" "vnz_00020" 2424 2711 "+"
"3" "ATP-binding protein" "vnz_00025" 2781 3540 "+"
"4" "hypothetical protein" "vnz_00030" 3606 4094 "-"
"5" "SDR family oxidoreductase" "vnz_00035" 5340 6278 "+"
"6" "SRPBCC family protein" "vnz_00040" 6281 6739 "+"
"7" "NAD(P)/FAD-dependent oxidoreductase" "vnz_00045" 6756 8356 "+"
"8" "SigE family RNA polymerase sigma factor" "vnz_00055" 9319 9816 "+"
"9" "hypothetical protein" "vnz_00060" 9809 10252 "+"
"10" "hypothetical protein" "vnz_00065" 10513 11720 "+"
"11" "GNAT family N-acetyltransferase" "vnz_00070" 11937 12506 "+"
"12" "serine/threonine protein kinase" "vnz_00075" 12689 14266 "-"
"13" "EF-hand domain-containing protein" "vnz_00080" 14532 15020 "+"
"14" "hypothetical protein" "vnz_00085" 16108 17049 "-"
"15" "hypothetical protein" "vnz_00090" 17165 17935 "-"
"16" "nuclear transport factor 2 family protein" "vnz_00095" 18030 18473 "-"
"17" "hypothetical protein" "vnz_00100" 18671 19219 "+"
"18" "MFS transporter" "vnz_00105" 19286 20749 "-"
"19" "TetR/AcrR family transcriptional regulator" "vnz_00110" 20980 21546 "+"
"20" "crotonase/enoyl-CoA hydratase family protein" "vnz_00115" 21619 22425 "-"
"21" "LysR family transcriptional regulator" "vnz_00120" 22514 23443 "-"
"22" "MFS transporter" "vnz_00125" 23536 24972 "+"
"23" "hypothetical protein" "vnz_00130" 25432 26241 "+"
"24" "SGNH/GDSL hydrolase family protein" "vnz_00135" 26406 29378 "-"
"25" "RICIN domain-containing protein" "vnz_00140" 30415 31074 "-"
"26" "hypothetical protein" "vnz_00145" 31118 32122 "-"
"27" "hypothetical protein" "vnz_00150" 32126 32632 "-"
"28" "CHAT domain-containing protein" "vnz_00155" 32629 35982 "-"
"29" "class I SAM-dependent methyltransferase" "vnz_00160" 36317 37048 "+"
"30" "VOC family protein" "vnz_00165" 37206 37946 "+"
"31" "C40 family peptidase" "vnz_00170" 38111 39868 "+"
"32" "TIGR03086 family protein" "vnz_00175" 39969 40571 "-"
"33" "carotenoid oxygenase family protein" "vnz_00180" 40688 41281 "-"
"34" "MFS transporter" "vnz_00185" 41179 42522 "-"
"35" "peptidase C45" "vnz_00190" 42604 43785 "-"
"36" "LacI family DNA-binding transcriptionalregulator" "vnz_00195" 43880 44929 "+"
"37" "hypothetical protein" "vnz_00200" 44965 45336 "-"
"38" "phosphotransferase" "vnz_00205" 45506 46564 "-"
"39" "MerR family transcriptional regulator" "vnz_00210" 46725 47096 "+"
"40" "zinc-binding dehydrogenase" "vnz_00215" 47146 48159 "+"
"41" "hypothetical protein" "vnz_00220" 48369 51179 "+"
"42" "hypothetical protein" "vnz_00225" 51489 51767 "+"
"43" "polyprenyl synthetase family protein" "vnz_00230" 51760 52812 "+"
"44" "DUF2236 domain-containing protein" "vnz_00235" 52914 54080 "+"
"45" "ABC transporter permease" "vnz_00240" 54125 54952 "-"
"46" "ATP-binding cassette domain-containing protein" "vnz_00245" 55051 55959 "-"
"47" "cold-shock protein" "vnz_00250" 56161 56364 "-"
"48" "hypothetical protein" "vnz_00255" 56497 57429 "-"
"49" "zf-HC2 domain-containing protein" "vnz_00260" 57635 58378 "-"
"50" "sigma-70 family RNA polymerase sigma factor" "vnz_00265" 58375 58953 "-"
"51" "DUF1996 domain-containing protein" "vnz_00270" 59062 60072 "-"
"52" "S8 family peptidase" "vnz_00275" 60357 61556 "+"
"53" "DUF2071 domain-containing protein" "vnz_00280" 61643 62470 "+"
"54" "SRPBCC family protein" "vnz_00285" 62433 62891 "-"
"55" "amidohydrolase family protein" "vnz_00290" 62993 63979 "-"
"56" "L-rhamnose mutarotase" "vnz_00295" 63886 64197 "-"
"57" "aldo/keto reductase" "vnz_00300" 64258 65310 "-"
"58" "SDR family oxidoreductase" "vnz_00305" 65307 66068 "-"
"59" "fuconate dehydratase" "vnz_00310" 66065 67396 "-"
"60" "FadR family transcriptional regulator" "vnz_00315" 67709 68380 "-"
"61" "right-handed parallel beta-helixrepeat-containing protein" "vnz_00320" 68484 69944 "-"
"62" "alpha-L-fucosidase" "vnz_00325" 70061 71371 "-"
"63" "glucarate dehydratase" "vnz_00330" 71416 72684 "-"
"64" "carbohydrate ABC transporter permease" "vnz_00340" 73772 74638 "-"
"65" "sugar ABC transporter permease" "vnz_00345" 74635 75642 "-"
"66" "sugar ABC transporter substrate-binding protein" "vnz_00350" 75639 76964 "-"
"67" "hydroxyacid dehydrogenase" "vnz_00355" 77329 78351 "-"
"68" "fumarylacetoacetate hydrolase family protein" "vnz_00360" 78552 79412 "+"
"69" "SGNH/GDSL hydrolase family protein" "vnz_00365" 79426 80043 "+"
"70" "DUF11 domain-containing protein" "vnz_00370" 80149 82110 "-"
"71" "serine hydrolase" "vnz_00375" 82564 83877 "+"
"72" "RNA 2',3'-cyclic phosphodiesterase" "vnz_00380" 84069 84686 "+"
"73" "4a-hydroxytetrahydrobiopterin dehydratase" "vnz_00385" 84784 85476 "+"
"74" "class A beta-lactamase" "vnz_00390" 85607 86533 "+"
"75" "UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase" "vnz_00395" 87182 88591 "+"
"76" "DinB family protein" "vnz_00400" 88632 89147 "-"
"77" "VCBS repeat-containing protein" "vnz_00405" 89200 91464 "-"
"78" "hypothetical protein" "vnz_00410" 91649 92386 "-"
"79" "nicotinate phosphoribosyltransferase" "vnz_00415" 92502 93860 "+"
"80" "two pore domain potassium channel familyprotein" "vnz_00420" 93857 94780 "+"
"81" "ABC transporter permease" "vnz_00425" 94901 95731 "-"
"82" "ABC transporter ATP-binding protein" "vnz_00430" 95728 96888 "-"
"83" "ABC transporter permease" "vnz_00435" 96888 97691 "-"
"84" "winged helix-turn-helix transcriptionalregulator" "vnz_00440" 97827 98708 "+"
"85" "hypothetical protein" "vnz_00445" 99056 100378 "+"
"86" "phytase" "vnz_00450" 100566 101876 "+"
"87" "FAD-dependent monooxygenase" "vnz_00455" 101968 103101 "-"
"88" "ATP/GTP-binding protein" "vnz_00460" 103168 103734 "-"
"89" "DUF742 domain-containing protein" "vnz_00465" 103740 104096 "-"
"90" "roadblock/LC7 domain-containing protein" "vnz_00470" 104156 104593 "-"
"91" "sensor histidine kinase" "vnz_00475" 104590 107208 "-"
"92" "protein kinase" "vnz_00480" 107456 109231 "-"
"93" "thiol reductase thioredoxin" "vnz_00485" 109373 109711 "+"
"94" "Mannan endo-1,4-beta-mannosidase precursor" "vnz_00490" 109826 111208 "+"
"95" "alpha/beta hydrolase" "vnz_00495" 111292 112890 "-"
"96" "aromatic ring-hydroxylating dioxygenase subunitalpha" "vnz_00500" 113067 114077 "-"
"97" "hypothetical protein" "vnz_00505" 114079 114315 "-"
"98" "oxidoreductase" "vnz_00510" 114347 115282 "-"
"99" "MarR family transcriptional regulator" "vnz_00515" 115629 116096 "+"
"100" "serine/threonine-protein phosphatase" "vnz_00520" 116329 118047 "+"
"101" "hemerythrin domain-containing protein" "vnz_00525" 118227 118670 "-"
"102" "SDR family oxidoreductase" "vnz_00530" 118821 119588 "-"
"103" "NADP-dependent oxidoreductase" "vnz_00535" 119770 120693 "-"
"104" "helix-turn-helix domain-containing protein" "vnz_00540" 120821 121840 "+"
"105" "dihydrofolate reductase family protein" "vnz_00545" 121851 122432 "-"
"106" "cation:proton antiporter" "vnz_00550" 122563 123792 "+"
"107" "ABC transporter substrate-binding protein" "vnz_00555" 123798 124772 "-"
"108" "ABC transporter permease subunit" "vnz_00560" 124774 126771 "-"
"109" "betaine/proline/choline family ABC transporterATP-binding protein" "vnz_00565" 126842 127987 "-"
"110" "GMC family oxidoreductase N-terminaldomain-containing protein" "vnz_00570" 127954 129480 "-"
"111" "aldehyde dehydrogenase family protein" "vnz_00575" 129477 130985 "-"
"112" "PRC domain containing protein" "vnz_00580" 131314 131682 "-"
"113" "SsgA family sporulation/cell division regulator" "vnz_00585" 131958 132413 "+"
"114" "WhiB family transcriptional regulator" "vnz_00590" 132471 132731 "+"
"115" "aldo/keto reductase" "vnz_00595" 132831 133739 "-"
"116" "VanZ family protein" "vnz_00600" 133823 134365 "-"
"117" "DUF4230 domain-containing protein" "vnz_00605" 134392 135081 "-"
"118" "DUF1232 domain-containing protein" "vnz_00610" 135435 135737 "+"
"119" "FAD-dependent oxidoreductase" "vnz_00615" 135822 137021 "+"
"120" "sigma-70 family RNA polymerase sigma factor" "vnz_00620" 137044 137994 "+"
"121" "FUSC family protein" "vnz_00625" 138191 139363 "+"
