"gene","logFC","FDR","add_variable","start","end","width","strand"
"SCO1550",-2.2,8.7e-15,NA,1658389,1658571,183,"-"
"SCO2165",-14.1,1.7e-11,NA,2329632,2330315,684,"-"
"SCO2166",-10.8,2.6e-13,NA,2330312,2331562,1251,"-"
"SCO3899",-3.1,1.4e-93,NA,4293746,4294828,1083,"-"
"SCO3900",-2.8,2.4e-35,NA,4294873,4295550,678,"-"
"SCO4902",2.4,3.1e-07,NA,5335877,5336245,369,"+"
"SCO6273",-2,0.029,NA,6900898,6907356,6459,"-"
"SCO6274",-2.2,0.004,NA,6907413,6918143,10731,"-"
"SCO6275",-2.3,0.001,NA,6918286,6931959,13674,"-"
"SCO6682",2.9,4.5e-09,NA,7422494,7422622,129,"+"
"SCO6931",2.3,4.5e-05,NA,7699447,7699626,180,"-"
"SCO7013",7.1,8.8e-13,NA,7790150,7791565,1416,"-"
"SCO7014",4.2,2.2e-05,NA,7791717,7792730,1014,"-"
"SCO7314",2.1,6.6e-07,NA,8120541,8121440,900,"+"
"SCO7536",-17.2,4.8e-254,NA,8355539,8357758,2220,"+"
