"logFC","FDR","gene","add_variable","start","end","width","strand"
4.9584,0,"SCO5632","liquid culture",6132437,6132679,243,"-"
0.8492,0.002147,"SCO2718","liquid culture",2961619,2962014,396,"-"
6.0526,0,"SCO4174","liquid culture",4587872,4588123,252,"-"
4.7483,0,"SCO0955","liquid culture",1004534,1004710,177,"-"
-0.5393,0.011965,"SCO6164","liquid culture",6767705,6768031,327,"+"
4.7006,0,"SCO6650","liquid culture",7385660,7386058,399,"+"
5.8134,0,"SCO6992","liquid culture",7759825,7760904,1080,"-"
3.446,0,"SCO2717","liquid culture",2961104,2961331,228,"-"
3.8374,0,"SCO3290","liquid culture",3639201,3639950,750,"+"
7.2064,0,"SCO1800","liquid culture",1928593,1928841,249,"-"
3.6603,0,"SCO3288","liquid culture",3636856,3637587,732,"+"
5.2439,0,"SCO5521","liquid culture",6015052,6015183,132,"+"
4.9534,0,"SCO2217","liquid culture",2380490,2381995,1506,"+"
2.1796,1e-06,"SCO3289","liquid culture",3637594,3639204,1611,"+"
3.6271,0,"SCO4440","liquid culture",4862642,4863400,759,"+"
5.3249,0,"SCO4442","liquid culture",4864681,4864872,192,"+"
4.9097,0,"SCO1675","liquid culture",1795289,1795522,234,"-"
5.1454,0,"SCO0682","liquid culture",724639,725013,375,"-"
2.0577,0,"SCO6995","liquid culture",7766257,7767690,1434,"+"
3.7061,0,"SCO1756","liquid culture",1877577,1878374,798,"+"
0.4798,0.034142,"SCO2719","liquid culture",2962235,2962678,444,"+"
5.8345,0,"SCO6682","liquid culture",7422494,7422622,129,"+"
5.2615,0,"SCO2492","liquid culture",2682933,2683406,474,"+"
6.2711,0,"SCO5826","liquid culture",6375779,6376357,579,"+"
1.7325,1e-06,"SCO6440","liquid culture",7123131,7123883,753,"+"
6.5165,0,"SCO1839","liquid culture",1967236,1967457,222,"-"
4.5054,0,"SCO1674","liquid culture",1794330,1795109,780,"-"
1.5879,2e-06,"SCO6441","liquid culture",7123886,7125292,1407,"+"
4.6545,0,"SCO0930","liquid culture",977491,978444,954,"-"
5.8041,0,"SCO4175","liquid culture",4588120,4588512,393,"-"
4.8561,0,"SCO3323","liquid culture",3675442,3675975,534,"+"
6.0891,0,"SCO0683","liquid culture",725056,725580,525,"-"
3.0569,0,"SCO7647","liquid culture",8474635,8475174,540,"+"
-0.0911,0.710901,"SCO6165","liquid culture",6768101,6768478,378,"+"
6.737,0,"SCO3328","liquid culture",3680056,3680268,213,"-"
5.2142,0,"SCO4677","liquid culture",5108377,5108811,435,"-"
4.3335,0,"SCO6652","liquid culture",7387290,7388675,1386,"+"
3.7901,0,"SCO1573","liquid culture",1683419,1684756,1338,"+"
7.9333,0,"SCO7251","liquid culture",8060696,8061733,1038,"-"
0.1446,0.517057,"SCO7434","liquid culture",8247219,8247980,762,"+"
0.1355,0.574995,"SCO0934","liquid culture",980917,981558,642,"-"
1.9942,1e-06,"SCO1474","liquid culture",1574728,1575279,552,"+"
4.6169,0,"SCO4793","liquid culture",5214259,5215302,1044,"-"
0.1275,0.550534,"SCO5316","liquid culture",5786603,5786875,273,"-"
5.457,0,"SCO1029","liquid culture",1087360,1087587,228,"+"
1.9791,0,"SCO1541","liquid culture",1650311,1650790,480,"+"
5.9357,0,"SCO2819","liquid culture",3079189,3079803,615,"-"
4.3514,0,"SCO2954","liquid culture",3212154,3212738,585,"-"
3.855,0,"SCO0644","liquid culture",685288,687444,2157,"-"
5.551,0,"SCO0383","liquid culture",398881,400104,1224,"+"
0.0381,0.877696,"SCO6162","liquid culture",6765623,6766405,783,"-"
4.7782,0,"SCO2976","liquid culture",3240815,3241444,630,"-"
-1.0256,0.000845,"SCO3487","liquid culture",3852249,3854645,2397,"+"
3.6669,0,"SCO6655","liquid culture",7390536,7391201,666,"+"
0.7797,0.001268,"SCO0671","liquid culture",711379,711633,255,"-"
5.7625,0,"SCO1630","liquid culture",1743055,1744680,1626,"-"
5.5681,0,"SCO5071","liquid culture",5513809,5514249,441,"-"
0.5116,0.009636,"SCO7574","liquid culture",8398334,8398483,150,"+"
5.5332,0,"SCO2804","liquid culture",3061566,3061961,396,"-"
5.9696,0,"SCO5074","liquid culture",5516299,5516943,645,"+"
4.337,0,"SCO1161","liquid culture",1221241,1221975,735,"-"
-1.0602,3e-06,"SCO3863","liquid culture",4248267,4248656,390,"+"
4.9308,0,"SCO4335","liquid culture",4750489,4750677,189,"-"
5.3037,0,"SCO0381","liquid culture",395939,397414,1476,"+"
-0.4541,0.011551,"SCO2063","liquid culture",2211403,2211570,168,"+"
1.5027,1e-06,"SCO7786","liquid culture",8612498,8613085,588,"-"
4.0028,0,"SCO5175","liquid culture",5623391,5624458,1068,"+"
6.6965,0,"SCO3579","liquid culture",3957444,3957782,339,"-"
4.7387,0,"SCO0393","liquid culture",414494,415303,810,"+"
5.0921,0,"SCO5174","liquid culture",5621463,5623244,1782,"+"
2.7613,0,"SCO6543","liquid culture",7236695,7236940,246,"-"
8.209,0,"SCO5089","liquid culture",5532449,5532709,261,"+"
5.1954,0,"SCO3324","liquid culture",3676214,3677473,1260,"+"
4.4686,0,"SCO4768","liquid culture",5179727,5180338,612,"+"
4.0257,0,"SCO1627","liquid culture",1741637,1742167,531,"-"
0.5038,0.009052,"SCO7336","liquid culture",8150499,8150771,273,"-"
4.2366,0,"SCO6651","liquid culture",7386055,7387293,1239,"+"
4.3169,0,"SCO2805","liquid culture",3062230,3063669,1440,"+"
7.5663,0,"SCO3113","liquid culture",NA,NA,NA,NA
2.0891,0,"SCO7701","liquid culture",8538368,8539246,879,"+"
0.4636,0.016164,"SCO3108","liquid culture",3404444,3404641,198,"+"
-0.6305,0.003477,"SCO7453","liquid culture",8268376,8269446,1071,"-"
5.9423,0,"SCO0396","liquid culture",416973,418247,1275,"+"
-0.3848,0.05677,"SCO6166","liquid culture",6768481,6769299,819,"+"
-1.0746,0.000203,"SCO5191","liquid culture",5648112,5648435,324,"+"
5.2017,0,"SCO0399","liquid culture",420492,421715,1224,"+"
5.3654,0,"SCO5351","liquid culture",5818975,5819478,504,"+"
1.9585,0,"SCO1810","liquid culture",1940925,1941131,207,"-"
5.2476,0,"SCO0684","liquid culture",725619,726395,777,"-"
1.7801,0,"SCO7699","liquid culture",8535532,8536947,1416,"+"
-0.5552,0.000252,"SCO6163","liquid culture",6766414,6767325,912,"-"
0.2158,0.48991,"SCO1379","liquid culture",1458078,1458473,396,"+"
5.3758,0,"SCO0395","liquid culture",415951,416976,1026,"+"
4.7494,0,"SCO3134","liquid culture",3434985,3435941,957,"-"
5.1437,0,"SCO0394","liquid culture",415300,415947,648,"+"
6.732,0,"SCO7252","liquid culture",8062135,8063643,1509,"+"
-1.584,1e-06,"SCO5190","liquid culture",5647747,5648115,369,"+"
3.947,0,"SCO7253","liquid culture",8063663,8064979,1317,"-"
1.6929,1e-06,"SCO5834","liquid culture",6384501,6385247,747,"-"
4.7726,0,"SCO2302","liquid culture",2471382,2472650,1269,"+"
-0.0339,0.891896,"SCO2716","liquid culture",2960170,2960928,759,"-"
2.2802,0,"SCO4173","liquid culture",4587481,4587828,348,"-"
3.1415,0,"SCO3714","liquid culture",4089285,4090508,1224,"-"
5.5061,0,"SCO4412","liquid culture",4829856,4830347,492,"+"
6.2438,0,"SCO5582","liquid culture",6084219,6085721,1503,"+"
2.0562,0,"SCO0585","liquid culture",627628,628164,537,"-"
4.2733,0,"SCO0382","liquid culture",397485,398810,1326,"+"
1.0858,1e-06,"SCO6442","liquid culture",7125293,7126396,1104,"+"
-0.9487,7.7e-05,"SCO7449","liquid culture",8264413,8265090,678,"+"
3.1649,0,"SCO5177","liquid culture",5625610,5626359,750,"+"
-0.7138,0.005579,"SCO3471","liquid culture",3831705,3832634,930,"-"
1.8618,2e-06,"SCO0944","liquid culture",989560,990210,651,"+"
4.2456,0,"SCO5995","liquid culture",6568057,6568779,723,"+"
0.4851,0.00649,"SCO5314","liquid culture",5785753,5786088,336,"-"
4.0201,0,"SCO1159","liquid culture",1218156,1218593,438,"-"
5.6014,0,"SCO1860","liquid culture",1994050,1995057,1008,"-"
3.7181,0,"SCO3327","liquid culture",3679848,3679946,99,"-"
1.5075,1e-06,"SCO0141","liquid culture",133570,134121,552,"-"
1.9721,6e-05,"SCO0867","liquid culture",913768,914472,705,"-"
4.733,0,"SCO0400","liquid culture",421712,422263,552,"+"
1.5211,0,"SCO2525","liquid culture",2723027,2723800,774,"-"
2.0755,0,"SCO4176","liquid culture",4588684,4589526,843,"+"
3.3927,0,"SCO6653","liquid culture",7388672,7389874,1203,"+"
1.8437,9e-06,"SCO1835","liquid culture",1964648,1964833,186,"-"
-1.7588,0,"SCO0853","liquid culture",898895,899293,399,"+"
1.3259,0,"SCO0954","liquid culture",1003996,1004478,483,"-"
5.4315,0,"SCO0387","liquid culture",405070,407250,2181,"+"
2.5073,0,"SCO5466","liquid culture",5951416,5951973,558,"-"
2.0492,0,"SCO1427","liquid culture",1522938,1523255,318,"+"
2.8522,0,"SCO1563","liquid culture",1673718,1674203,486,"-"
3.532,0,"SCO4080","liquid culture",4474193,4474777,585,"-"
2.6647,0,"SCO4979","liquid culture",5416288,5418117,1830,"+"
5.3096,0,"SCO1375","liquid culture",1452656,1452859,204,"+"
-0.2104,0.193483,"SCO5117","liquid culture",5563836,5565470,1635,"+"
4.8822,0,"SCO0392","liquid culture",413247,414497,1251,"+"
2.5984,0,"SCO1432","liquid culture",1527125,1528564,1440,"-"
